chamber,ecosystem_name,ecosystem_block,rep,gas,estimate,p.value,average_temp_kelvin,total_vol_m3,flux,units,date,plot,sensor_soil_moisture_percent,oven_soil_moisture_percent,plant_biomass_g,plant_cover_percent,soil_temperature_c
UP 2-4,UP,2,4,n2o,0.000293786,0.789362394,308.35,0.008475211,0.124335671,mugn-n2o_m2_d,7/9/22,UP_2,NA,NA,NA,5,NA
SW 1-1,SW,1,1,co2,25.36323145,0.006281521,309.7,0.006385043,2.197090454,mgc-co2_m2_d,7/22/22,SW_1,NA,NA,59.72,10,22.6
SW 1-2,SW,1,2,co2,38.28197264,0.012046311,310.35,0.007651811,3.965770013,mgc-co2_m2_d,7/22/22,SW_1,NA,NA,59.72,5,22.9
SW 1-3,SW,1,3,co2,30.20157782,4.94E-06,310.1,0.006955088,2.846107022,mgc-co2_m2_d,7/22/22,SW_1,NA,NA,59.72,15,22.5
SW 2-1,SW,2,1,co2,23.34507477,0.057391085,308.05,0.007588473,2.41629069,mgc-co2_m2_d,7/22/22,SW_2,NA,NA,41.74,15,23.6
SW 2-2,SW,2,2,co2,29.19222309,0.000863772,309.35,0.007145104,2.832998436,mgc-co2_m2_d,7/22/22,SW_2,NA,NA,41.74,5,23.2
SW 2-3,SW,2,3,co2,28.33430342,0.021588997,306.65,0.007081765,2.74936129,mgc-co2_m2_d,7/22/22,SW_2,NA,NA,41.74,10,23.3
SW 2-4,SW,2,4,co2,25.20004183,0.002120553,306.4,0.008538549,2.950647348,mgc-co2_m2_d,7/22/22,SW_2,NA,NA,41.74,30,23.9
UP 1-1,UP,1,1,co2,23.50736293,0.007782996,308.25,0.009171934,2.938884237,mgc-co2_m2_d,7/22/22,UP_1,NA,NA,61.13,NA,21.9
UP 1-2,UP,1,2,co2,21.5773072,0.002729927,306.95,0.009551964,2.821259375,mgc-co2_m2_d,7/22/22,UP_1,NA,NA,61.13,10,21.8
UP 1-3,UP,1,3,co2,11.53642939,0.444225568,308.9,0.007968503,1.25040579,mgc-co2_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.8
UP 1-4,UP,1,4,co2,28.88799237,0.000126104,309,0.007905165,3.105206965,mgc-co2_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.1
UP 2-1,UP,2,1,co2,22.79448283,0.000903975,308.95,0.00891858,2.7647635,mgc-co2_m2_d,7/22/22,UP_2,NA,NA,54.47,5,21.7
UP 2-2,UP,2,2,co2,20.04268812,0.018700721,308.85,0.006765073,1.844597355,mgc-co2_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,22.7
UP 2-3,UP,2,3,co2,19.43185624,0.001215035,308.9,0.008981918,2.374029972,mgc-co2_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,21.9
UP 2-4,UP,2,4,co2,16.64686452,0.066067214,307.75,0.008475211,1.926218874,mgc-co2_m2_d,7/22/22,UP_2,NA,NA,54.47,10,21.3
SW 1-1,SW,1,1,ch4,-0.013535558,0.408910571,309.7,0.006385043,-1.172517986,mugc-ch4_m2_d,7/22/22,SW_1,NA,NA,59.72,10,22.6
SW 1-2,SW,1,2,ch4,0.001816776,0.851893813,310.35,0.007651811,0.188206447,mugc-ch4_m2_d,7/22/22,SW_1,NA,NA,59.72,5,22.9
SW 1-3,SW,1,3,ch4,-0.008589914,0.129226929,310.1,0.006955088,-0.809488008,mugc-ch4_m2_d,7/22/22,SW_1,NA,NA,59.72,15,22.5
SW 2-1,SW,2,1,ch4,-0.00394908,0.457525041,308.05,0.007588473,-0.408742541,mugc-ch4_m2_d,7/22/22,SW_2,NA,NA,41.74,15,23.6
SW 2-2,SW,2,2,ch4,-0.01584912,0.173106759,309.35,0.007145104,-1.538099099,mugc-ch4_m2_d,7/22/22,SW_2,NA,NA,41.74,5,23.2
SW 2-3,SW,2,3,ch4,0.010339903,0.6766012,306.65,0.007081765,1.003311389,mugc-ch4_m2_d,7/22/22,SW_2,NA,NA,41.74,10,23.3
SW 2-4,SW,2,4,ch4,-0.015078215,0.099018323,306.4,0.008538549,-1.765492873,mugc-ch4_m2_d,7/22/22,SW_2,NA,NA,41.74,30,23.9
UP 1-1,UP,1,1,ch4,-0.00967301,0.017657302,308.25,0.009171934,-1.209317174,mugc-ch4_m2_d,7/22/22,UP_1,NA,NA,61.13,NA,21.9
UP 1-2,UP,1,2,ch4,-0.018519261,0.180825718,306.95,0.009551964,-2.421416095,mugc-ch4_m2_d,7/22/22,UP_1,NA,NA,61.13,10,21.8
UP 1-3,UP,1,3,ch4,-0.031153005,0.091440034,308.9,0.007968503,-3.376599114,mugc-ch4_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.8
UP 1-4,UP,1,4,ch4,-0.017187102,0.025863832,309,0.007905165,-1.847463388,mugc-ch4_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.1
UP 2-1,UP,2,1,ch4,-0.012609959,0.250888598,308.95,0.00891858,-1.52947332,mugc-ch4_m2_d,7/22/22,UP_2,NA,NA,54.47,5,21.7
UP 2-2,UP,2,2,ch4,-0.006039467,0.046725718,308.85,0.006765073,-0.555832848,mugc-ch4_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,22.7
UP 2-3,UP,2,3,ch4,-0.005188313,0.080791268,308.9,0.008981918,-0.633866929,mugc-ch4_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,21.9
UP 2-4,UP,2,4,ch4,-0.013001782,0.016131242,307.75,0.008475211,-1.504444093,mugc-ch4_m2_d,7/22/22,UP_2,NA,NA,54.47,10,21.3
SW 1-1,SW,1,1,n2o,-0.001326791,0.636960999,309.7,0.006385043,-0.421195708,mugn-n2o_m2_d,7/22/22,SW_1,NA,NA,59.72,10,22.6
SW 1-2,SW,1,2,n2o,0.001596933,0.557224829,310.35,0.007651811,0.606258591,mugn-n2o_m2_d,7/22/22,SW_1,NA,NA,59.72,5,22.9
SW 1-3,SW,1,3,n2o,0.000352204,0.510890242,310.1,0.006955088,0.121633575,mugn-n2o_m2_d,7/22/22,SW_1,NA,NA,59.72,15,22.5
SW 2-1,SW,2,1,n2o,-0.000279228,0.908637118,308.05,0.007588473,-0.105913412,mugn-n2o_m2_d,7/22/22,SW_2,NA,NA,41.74,15,23.6
SW 2-2,SW,2,2,n2o,-0.001052807,0.254681459,309.35,0.007145104,-0.374426042,mugn-n2o_m2_d,7/22/22,SW_2,NA,NA,41.74,5,23.2
SW 2-3,SW,2,3,n2o,0.00348427,0.454987006,306.65,0.007081765,1.238993463,mugn-n2o_m2_d,7/22/22,SW_2,NA,NA,41.74,10,23.3
SW 2-4,SW,2,4,n2o,-0.001189043,0.155443293,306.4,0.008538549,-0.510212915,mugn-n2o_m2_d,7/22/22,SW_2,NA,NA,41.74,30,23.9
UP 1-1,UP,1,1,n2o,0.000515134,0.594841007,308.25,0.009171934,0.236013565,mugn-n2o_m2_d,7/22/22,UP_1,NA,NA,61.13,NA,21.9
UP 1-2,UP,1,2,n2o,-0.001052072,0.320674686,306.95,0.009551964,-0.504114728,mugn-n2o_m2_d,7/22/22,UP_1,NA,NA,61.13,10,21.8
UP 1-3,UP,1,3,n2o,-0.005035567,0.061266984,308.9,0.007968503,-2.000165275,mugn-n2o_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.8
UP 1-4,UP,1,4,n2o,-0.000132561,0.796735503,309,0.007905165,-0.052218986,mugn-n2o_m2_d,7/22/22,UP_1,NA,NA,61.13,5,21.1
UP 2-1,UP,2,1,n2o,-0.00153126,0.37550608,308.95,0.00891858,-0.680636298,mugn-n2o_m2_d,7/22/22,UP_2,NA,NA,54.47,5,21.7
UP 2-2,UP,2,2,n2o,0.000198912,0.314055933,308.85,0.006765073,0.067087827,mugn-n2o_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,22.7
UP 2-3,UP,2,3,n2o,-0.000156269,0.467581761,308.9,0.008981918,-0.069965395,mugn-n2o_m2_d,7/22/22,UP_2,NA,NA,54.47,NA,21.9
UP 2-4,UP,2,4,n2o,-0.001213843,0.661605985,307.75,0.008475211,-0.51472328,mugn-n2o_m2_d,7/22/22,UP_2,NA,NA,54.47,10,21.3
SW 1-1,SW,1,1,co2,18.03129645,0.000256106,300.75,0.006385043,1.608443741,mgc-co2_m2_d,8/12/22,SW_1,37.8,23.8,NA,20,20.4
SW 1-2,SW,1,2,co2,19.81411646,0.001326978,300.65,0.007651811,2.118841491,mgc-co2_m2_d,8/12/22,SW_1,42.7,15.5,NA,15,21.2
SW 1-3,SW,1,3,co2,20.68843018,0.049439266,301.25,0.006955088,2.006891266,mgc-co2_m2_d,8/12/22,SW_1,41,28.6,NA,20,22.1
SW 1-4,SW,1,4,co2,10.26953047,0.036960017,301.1,0.01012201,1.450532039,mgc-co2_m2_d,8/12/22,SW_1,35.2,23.1,NA,15,20.9
SW 2-1,SW,2,1,co2,22.98771331,0.001058761,300.05,0.007588473,2.442740121,mgc-co2_m2_d,8/12/22,SW_2,3.9,23.1,NA,40,22.7
SW 2-2,SW,2,2,co2,19.10408215,0.000236497,299.9,0.007145104,1.912401154,mgc-co2_m2_d,8/12/22,SW_2,9.8,20.9,NA,10,21.3
SW 2-3,SW,2,3,co2,18.24998928,5.88E-05,299.75,0.007081765,1.811613984,mgc-co2_m2_d,8/12/22,SW_2,10.8,22.1,NA,5,21.9
SW 2-4,SW,2,4,co2,23.33524899,0.008700935,300.25,0.008538549,2.78826617,mgc-co2_m2_d,8/12/22,SW_2,8.3,16.8,NA,55,21.6
UP 1-1,UP,1,1,co2,26.04864892,0.004919202,299.8,0.009171934,3.348383755,mgc-co2_m2_d,8/12/22,UP_1,17.3,21.7,NA,10,21
UP 1-2,UP,1,2,co2,17.92725693,0.000188013,299.55,0.009551964,2.401916619,mgc-co2_m2_d,8/12/22,UP_1,20.6,16.5,NA,15,21.1
UP 1-3,UP,1,3,co2,22.60224896,0.000426561,299.35,0.007968503,2.527958054,mgc-co2_m2_d,8/12/22,UP_1,18.7,20.6,NA,5,20.9
UP 1-4,UP,1,4,co2,21.98788688,0.000403804,299.8,0.007905165,2.436035068,mgc-co2_m2_d,8/12/22,UP_1,16.9,14.1,NA,15,20.6
UP 2-1,UP,2,1,co2,17.32915815,0.000245659,299.85,0.00891858,2.165657908,mgc-co2_m2_d,8/12/22,UP_2,25.1,15.5,NA,10,20.6
UP 2-2,UP,2,2,co2,18.5041141,0.004281978,299.4,0.006765073,1.756749022,mgc-co2_m2_d,8/12/22,UP_2,21.7,13.4,NA,NA,22.1
UP 2-3,UP,2,3,co2,16.16826074,0.000109994,299.25,0.008981918,2.039008153,mgc-co2_m2_d,8/12/22,UP_2,35.4,17.9,NA,NA,22.1
UP 2-4,UP,2,4,co2,20.38705018,0.00173556,299.55,0.008475211,2.423574188,mgc-co2_m2_d,8/12/22,UP_2,25.4,12.6,NA,10,21.5
SW 1-1,SW,1,1,ch4,-0.014261245,0.15873805,300.75,0.006385043,-1.272144276,mugc-ch4_m2_d,8/12/22,SW_1,37.8,23.8,NA,20,20.4
SW 1-2,SW,1,2,ch4,0.002647088,0.180085047,300.65,0.007651811,0.283068932,mugc-ch4_m2_d,8/12/22,SW_1,42.7,15.5,NA,15,21.2
SW 1-3,SW,1,3,ch4,-0.002983219,0.442324396,301.25,0.006955088,-0.289388639,mugc-ch4_m2_d,8/12/22,SW_1,41,28.6,NA,20,22.1
SW 1-4,SW,1,4,ch4,-0.007294607,0.219397037,301.1,0.01012201,-1.03033547,mugc-ch4_m2_d,8/12/22,SW_1,35.2,23.1,NA,15,20.9
SW 2-1,SW,2,1,ch4,-0.014741214,0.153624066,300.05,0.007588473,-1.566443574,mugc-ch4_m2_d,8/12/22,SW_2,3.9,23.1,NA,40,22.7
SW 2-2,SW,2,2,ch4,-0.002920115,0.349339148,299.9,0.007145104,-0.292316083,mugc-ch4_m2_d,8/12/22,SW_2,9.8,20.9,NA,10,21.3
SW 2-3,SW,2,3,ch4,-0.013301284,0.132695311,299.75,0.007081765,-1.32037291,mugc-ch4_m2_d,8/12/22,SW_2,10.8,22.1,NA,5,21.9
SW 2-4,SW,2,4,ch4,-0.009772611,0.025870188,300.25,0.008538549,-1.167703017,mugc-ch4_m2_d,8/12/22,SW_2,8.3,16.8,NA,55,21.6
UP 1-1,UP,1,1,ch4,0.0103714,0.525054374,299.8,0.009171934,1.333175813,mugc-ch4_m2_d,8/12/22,UP_1,17.3,21.7,NA,10,21
UP 1-2,UP,1,2,ch4,-0.006247825,0.015581607,299.55,0.009551964,-0.83709156,mugc-ch4_m2_d,8/12/22,UP_1,20.6,16.5,NA,15,21.1
UP 1-3,UP,1,3,ch4,-0.01439609,0.069595699,299.35,0.007968503,-1.610136761,mugc-ch4_m2_d,8/12/22,UP_1,18.7,20.6,NA,5,20.9
UP 1-4,UP,1,4,ch4,-0.007138404,0.011659325,299.8,0.007905165,-0.790862857,mugc-ch4_m2_d,8/12/22,UP_1,16.9,14.1,NA,15,20.6
UP 2-1,UP,2,1,ch4,-0.01325164,0.147553645,299.85,0.00891858,-1.656082756,mugc-ch4_m2_d,8/12/22,UP_2,25.1,15.5,NA,10,20.6
UP 2-2,UP,2,2,ch4,-0.003387094,0.047998394,299.4,0.006765073,-0.321564949,mugc-ch4_m2_d,8/12/22,UP_2,21.7,13.4,NA,NA,22.1
UP 2-3,UP,2,3,ch4,-0.007317663,0.34604283,299.25,0.008981918,-0.922843462,mugc-ch4_m2_d,8/12/22,UP_2,35.4,17.9,NA,NA,22.1
UP 2-4,UP,2,4,ch4,0.00957711,0.426126657,299.55,0.008475211,1.138508857,mugc-ch4_m2_d,8/12/22,UP_2,25.4,12.6,NA,10,21.5
SW 1-1,SW,1,1,n2o,0.000421477,0.672180467,300.75,0.006385043,0.137781377,mugn-n2o_m2_d,8/12/22,SW_1,37.8,23.8,NA,20,20.4
SW 1-2,SW,1,2,n2o,-0.000437502,0.797990229,300.65,0.007651811,-0.171451558,mugn-n2o_m2_d,8/12/22,SW_1,42.7,15.5,NA,15,21.2
SW 1-3,SW,1,3,n2o,0.000428837,0.431695508,301.25,0.006955088,0.15244978,mugn-n2o_m2_d,8/12/22,SW_1,41,28.6,NA,20,22.1
SW 1-4,SW,1,4,n2o,-0.001177993,0.476541494,301.1,0.01012201,-0.609757638,mugn-n2o_m2_d,8/12/22,SW_1,35.2,23.1,NA,15,20.9
SW 2-1,SW,2,1,n2o,-0.000394145,0.583643745,300.05,0.007588473,-0.153488338,mugn-n2o_m2_d,8/12/22,SW_2,3.9,23.1,NA,40,22.7
SW 2-2,SW,2,2,n2o,0.001803214,0.190668801,299.9,0.007145104,0.661512414,mugn-n2o_m2_d,8/12/22,SW_2,9.8,20.9,NA,10,21.3
SW 2-3,SW,2,3,n2o,-0.000785053,0.172190145,299.75,0.007081765,-0.28558792,mugn-n2o_m2_d,8/12/22,SW_2,10.8,22.1,NA,5,21.9
SW 2-4,SW,2,4,n2o,-0.00055734,0.626327931,300.25,0.008538549,-0.244050702,mugn-n2o_m2_d,8/12/22,SW_2,8.3,16.8,NA,55,21.6
UP 1-1,UP,1,1,n2o,0.004350358,0.258320081,299.8,0.009171934,2.049334949,mugn-n2o_m2_d,8/12/22,UP_1,17.3,21.7,NA,10,21
UP 1-2,UP,1,2,n2o,0.00086,0.6026342,299.55,0.009551964,0.422260633,mugn-n2o_m2_d,8/12/22,UP_1,20.6,16.5,NA,15,21.1
UP 1-3,UP,1,3,n2o,-0.001784446,0.086377222,299.35,0.007968503,-0.731407892,mugn-n2o_m2_d,8/12/22,UP_1,18.7,20.6,NA,5,20.9
UP 1-4,UP,1,4,n2o,2.97E-05,0.984878331,299.8,0.007905165,0.012078141,mugn-n2o_m2_d,8/12/22,UP_1,16.9,14.1,NA,15,20.6
UP 2-1,UP,2,1,n2o,-0.00023709,0.828287423,299.85,0.00891858,-0.108583664,mugn-n2o_m2_d,8/12/22,UP_2,25.1,15.5,NA,10,20.6
UP 2-2,UP,2,2,n2o,0.002108738,0.09363009,299.4,0.006765073,0.73367221,mugn-n2o_m2_d,8/12/22,UP_2,21.7,13.4,NA,NA,22.1
UP 2-3,UP,2,3,n2o,-5.29E-05,0.940384557,299.25,0.008981918,-0.024432073,mugn-n2o_m2_d,8/12/22,UP_2,35.4,17.9,NA,NA,22.1
UP 2-4,UP,2,4,n2o,0.002244864,0.360906336,299.55,0.008475211,0.977979962,mugn-n2o_m2_d,8/12/22,UP_2,25.4,12.6,NA,10,21.5
SW 1-1,SW,1,1,co2,32.00251807,5.54E-05,305.7,0.006385043,2.808492512,mgc-co2_m2_d,9/2/22,SW_1,43.2,47.9,41.09,20,20.6
SW 1-2,SW,1,2,co2,23.53036954,0.020770383,306.5,0.007651811,2.468216405,mgc-co2_m2_d,9/2/22,SW_1,41.9,45.5,41.09,10,20.5
SW 1-3,SW,1,3,co2,25.54200871,0.014678565,305.15,0.006955088,2.446048337,mgc-co2_m2_d,9/2/22,SW_1,40.5,51.4,41.09,10,20.3
SW 1-4,SW,1,4,co2,17.27097748,0.036989426,305.15,0.01012201,2.407082841,mgc-co2_m2_d,9/2/22,SW_1,39.9,43.5,41.09,10,20.5
SW 2-1,SW,2,1,co2,15.35226386,0.37158124,305.6,0.007588473,1.601748038,mgc-co2_m2_d,9/2/22,SW_2,19.4,32.8,64.21,40,21.4
SW 2-2,SW,2,2,co2,29.22759441,0.000126357,308.6,0.007145104,2.843324558,mgc-co2_m2_d,9/2/22,SW_2,15.2,44.6,64.21,3,21.2
SW 2-3,SW,2,3,co2,33.40617846,0.072160957,305.3,0.007081765,3.255833856,mgc-co2_m2_d,9/2/22,SW_2,31.2,31.7,64.21,3,21.4
SW 2-4,SW,2,4,co2,29.70483966,0.000376065,305.05,0.008538549,3.493501945,mgc-co2_m2_d,9/2/22,SW_2,6.4,25,64.21,60,21.2
UP 1-1,UP,1,1,co2,24.87051204,0.03823402,306.45,0.009171934,3.127567945,mgc-co2_m2_d,9/2/22,UP_1,21.6,31.6,53.12,5,21.8
UP 1-2,UP,1,2,co2,17.65928237,7.86E-05,306,0.009551964,2.316141204,mgc-co2_m2_d,9/2/22,UP_1,18.5,29.9,53.12,10,22.3
UP 1-3,UP,1,3,co2,48.97184201,2.12E-05,305.55,0.007968503,5.36613536,mgc-co2_m2_d,9/2/22,UP_1,19.5,34.1,53.12,5,22
UP 1-4,UP,1,4,co2,24.30055883,0.000666868,305.75,0.007905165,2.639863466,mgc-co2_m2_d,9/2/22,UP_1,23.3,32.4,53.12,5,21.4
UP 2-1,UP,2,1,co2,17.98315023,8.38E-05,306.3,0.00891858,2.200063516,mgc-co2_m2_d,9/2/22,UP_2,24.6,30.5,88.47,5,22.4
UP 2-2,UP,2,2,co2,19.48964405,0.00118592,306.25,0.006765073,1.808926948,mgc-co2_m2_d,9/2/22,UP_2,35.2,27.8,88.47,NA,23.1
UP 2-3,UP,2,3,co2,13.30317588,0.088627414,305.2,0.008981918,1.644979995,mgc-co2_m2_d,9/2/22,UP_2,39.1,29,88.47,NA,22.9
UP 2-4,UP,2,4,co2,NA,NA,305.75,0.008475211,NA,mgc-co2_m2_d,9/2/22,UP_2,27.5,20.8,88.47,10,22.8
SW 1-1,SW,1,1,ch4,-0.009902543,0.089604889,305.7,0.006385043,-0.8690322,mugc-ch4_m2_d,9/2/22,SW_1,43.2,47.9,41.09,20,20.6
SW 1-2,SW,1,2,ch4,0.041601298,0.302656101,306.5,0.007651811,4.3637651,mugc-ch4_m2_d,9/2/22,SW_1,41.9,45.5,41.09,10,20.5
SW 1-3,SW,1,3,ch4,-0.007923032,0.144950531,305.15,0.006955088,-0.758754726,mugc-ch4_m2_d,9/2/22,SW_1,40.5,51.4,41.09,10,20.3
SW 1-4,SW,1,4,ch4,-0.002625579,0.623282376,305.15,0.01012201,-0.365930948,mugc-ch4_m2_d,9/2/22,SW_1,39.9,43.5,41.09,10,20.5
SW 2-1,SW,2,1,ch4,-0.081480588,0.006246033,305.6,0.007588473,-8.501115777,mugc-ch4_m2_d,9/2/22,SW_2,19.4,32.8,64.21,40,21.4
