chamber,gas,estimate,p.value,date,average_temp_kelvin,plot,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units,term,std.error,statistic,soil_moist_percent,soil_temp_c,plant_cover_percent
UP 2-2,co2,1.7647738883959574,0.03012104565811616,2023-03-22,286.45,UP_2,UP,2,2,0.006765073,0.16876279578900058,umol_m2_s1,NA,NA,NA,48.9,5.7,NA
UP 2-3,co2,2.658180121947189,0.02123927372340136,2023-03-22,285.85,UP_2,UP,2,3,0.008981918,0.33820441815652563,umol_m2_s1,NA,NA,NA,49.2,5.4,NA
UP 2-4,co2,3.174422259976158,0.0096244494020055,2023-03-22,286.05,UP_2,UP,2,4,0.008475211,0.3808353418275554,umol_m2_s1,NA,NA,NA,43.1,5.3,NA
SW 1-1,ch4,NA,NA,2023-03-22,273,SW_1,SW,1,1,0.006385043,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,ch4,NA,NA,2023-03-22,273,SW_1,SW,1,3,0.006955088,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,ch4,NA,NA,2023-03-22,273,SW_1,SW,1,4,0.01012201,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,ch4,7.76632293130812e-5,0.9629548315706902,2023-03-22,285.7,SW_2,SW,2,1,0.007588473,0.00835263645327381,nmol_m2_s1,NA,NA,NA,55.2,6.3,NA
SW 2-3,ch4,0.00138777441587867,0.00351563710974887,2023-03-22,285.9,SW_2,SW,2,3,0.007081765,0.13919069842338488,nmol_m2_s1,NA,NA,NA,57.2,6.8,NA
SW 2-4,ch4,0.00112758111640099,0.39489629179356944,2023-03-22,285.6,SW_2,SW,2,4,0.008538549,0.13650157029962226,nmol_m2_s1,NA,NA,NA,56.1,5.9,NA
UP 1-1,ch4,0.00241975722368866,7.849605806444587e-4,2023-03-22,286.1,UP_1,UP,1,1,0.009171934,0.314107885740159,nmol_m2_s1,NA,NA,NA,53.3,5.2,NA
UP 1-2,ch4,0.00205045079211516,0.03216307351717031,2023-03-22,285.85,UP_1,UP,1,2,0.009551964,0.27743919339296513,nmol_m2_s1,NA,NA,NA,52.4,4.9,NA
UP 1-3,ch4,-6.418652143557899e-4,0.5094911450496484,2023-03-22,285.7,UP_1,UP,1,3,0.007968503,-0.07248936934260582,nmol_m2_s1,NA,NA,NA,54.7,4.9,NA
UP 1-4,ch4,4.999736136805386e-4,0.7010942150606302,2023-03-22,285.95,UP_1,UP,1,4,0.007905165,0.0559669840853278,nmol_m2_s1,NA,NA,NA,54.1,4.8,NA
UP 2-1,ch4,1.871616438658588e-4,0.8132301654692281,2023-03-22,286.25,UP_2,UP,2,1,0.00891858,0.02361190620495473,nmol_m2_s1,NA,NA,NA,49.1,5.3,NA
UP 2-2,ch4,0.00233287372769463,0.05433090205850195,2023-03-22,286.45,UP_2,UP,2,2,0.006765073,0.22308936861384449,nmol_m2_s1,NA,NA,NA,48.9,5.7,NA
UP 2-3,ch4,0.00244122211937378,0.05041364631377802,2023-03-22,285.85,UP_2,UP,2,3,0.008981918,0.3106005118527678,nmol_m2_s1,NA,NA,NA,49.2,5.4,NA
UP 2-4,ch4,-4.822475629878355e-4,0.4020730703011106,2023-03-22,286.05,UP_2,UP,2,4,0.008475211,-0.0578552254410405,nmol_m2_s1,NA,NA,NA,43.1,5.3,NA
SW 1-1,n2o,NA,NA,2023-03-22,273,SW_1,SW,1,1,0.006385043,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,n2o,NA,NA,2023-03-22,273,SW_1,SW,1,3,0.006955088,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,n2o,NA,NA,2023-03-22,273,SW_1,SW,1,4,0.01012201,NA,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,n2o,6.081462965336439e-4,0.02805595787759783,2023-03-22,285.7,SW_2,SW,2,1,0.007588473,0.06540579074909514,nmol_m2_s1,NA,NA,NA,55.2,6.3,NA
SW 2-3,n2o,4.4961534352452507e-4,0.04721467839237862,2023-03-22,285.9,SW_2,SW,2,3,0.007081765,0.04509542254922229,nmol_m2_s1,NA,NA,NA,57.2,6.8,NA
SW 2-4,n2o,5.017664362283432e-4,0.18206743432506867,2023-03-22,285.6,SW_2,SW,2,4,0.008538549,0.06074233194630499,nmol_m2_s1,NA,NA,NA,56.1,5.9,NA
UP 1-1,n2o,6.061999251521953e-4,0.00870283242627883,2023-03-22,286.1,UP_1,UP,1,1,0.009171934,0.07869061200079229,nmol_m2_s1,NA,NA,NA,53.3,5.2,NA
UP 1-2,n2o,5.55622348694224e-4,0.00962252694338914,2023-03-22,285.85,UP_1,UP,1,2,0.009551964,0.0751792809881646,nmol_m2_s1,NA,NA,NA,52.4,4.9,NA
UP 1-3,n2o,5.547355315372026e-4,0.03681310824173983,2023-03-22,285.7,UP_1,UP,1,3,0.007968503,0.06264933499072134,nmol_m2_s1,NA,NA,NA,54.7,4.9,NA
UP 1-4,n2o,4.841449470683672e-4,0.1017481488778034,2023-03-22,285.95,UP_1,UP,1,4,0.007905165,0.05419512511490343,nmol_m2_s1,NA,NA,NA,54.1,4.8,NA
UP 2-1,n2o,4.452128145554466e-4,0.07520509136897979,2023-03-22,286.25,UP_2,UP,2,1,0.00891858,0.05616708103964628,nmol_m2_s1,NA,NA,NA,49.1,5.3,NA
UP 2-2,n2o,3.3310193877724494e-4,0.1461774064676361,2023-03-22,286.45,UP_2,UP,2,2,0.006765073,0.03185406064789389,nmol_m2_s1,NA,NA,NA,48.9,5.7,NA
UP 2-3,n2o,5.106066469964447e-4,0.00455570771217633,2023-03-22,285.85,UP_2,UP,2,3,0.008981918,0.06496528302521026,nmol_m2_s1,NA,NA,NA,49.2,5.4,NA
UP 2-4,n2o,2.7375844965250894e-4,0.21524611182817105,2023-03-22,286.05,UP_2,UP,2,4,0.008475211,0.03284279286536313,nmol_m2_s1,NA,NA,NA,43.1,5.3,NA
SW 1-1,co2,34.69893709239287,6.58818268143882e-5,2023-06-02,312.1,SW_1,SW,1,1,0.006385043,2.8744198985910097,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-2,co2,32.671603903533395,0.00230577360920442,2023-06-02,312.1,SW_1,SW,1,2,0.007651811,3.243432785690235,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,co2,34.814928142243375,9.929614129305448e-5,2023-06-02,311.55,SW_1,SW,1,3,0.006955088,3.147055183197853,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,co2,43.921340707489456,3.979726684035082e-6,2023-06-02,312.6,SW_1,SW,1,4,0.01012201,5.75860590620229,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,co2,48.743717697143744,0.02967372895997155,2023-06-02,308.55,SW_2,SW,2,1,0.007588473,4.85413078959247,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-2,co2,35.042976581347716,0.00168475618804622,2023-06-02,309.5,SW_2,SW,2,2,0.007145104,3.2757660003333133,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-3,co2,23.83480916766896,5.974384363569951e-4,2023-06-02,310.25,SW_2,SW,2,3,0.007081765,2.202953760349057,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-4,co2,45.129249115509914,0.0014296822236309,2023-06-02,310,SW_2,SW,2,4,0.008538549,5.033203271070657,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-1,co2,32.91946472904628,3.880707213811749e-4,2023-06-02,309.25,UP_1,UP,1,1,0.009171934,3.953374521496892,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-2,co2,28.57389557332153,7.480010859270902e-4,2023-06-02,309.8,UP_1,UP,1,2,0.009551964,3.5673415990466126,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-3,co2,29.122574847958948,0.00126318081831305,2023-06-02,309.8,UP_1,UP,1,3,0.007968503,3.033116409180581,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-4,co2,29.140107222521603,7.594059444279944e-4,2023-06-02,310.35,UP_1,UP,1,4,0.007905165,3.005483280163448,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-1,co2,26.31728900106652,2.251245546168976e-4,2023-06-02,309,UP_2,UP,2,1,0.00891858,3.075688607223498,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-2,co2,26.611521815791708,0.00146180890147641,2023-06-02,308.7,UP_2,UP,2,2,0.006765073,2.361399952777926,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-3,co2,14.67610733267842,0.0326193175825818,2023-06-02,308.55,UP_2,UP,2,3,0.008981918,1.7298896322091029,umol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-4,co2,36.43047126952703,7.101936253800824e-4,2023-06-02,310.4,UP_2,UP,2,4,0.008475211,4.027704288845707,umol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-1,ch4,0.00130178901267736,0.489176381426643,2023-06-02,312.1,SW_1,SW,1,1,0.006385043,0.10783869926169272,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-2,ch4,-0.00763349574332692,0.27123261575070445,2023-06-02,312.1,SW_1,SW,1,2,0.007651811,-0.7578057825516107,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,ch4,-0.00108163697101822,0.7606481257172281,2023-06-02,311.55,SW_1,SW,1,3,0.006955088,-0.09777332361777992,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,ch4,0.01187898195199571,0.02525141586521735,2023-06-02,312.6,SW_1,SW,1,4,0.01012201,1.5574746700928523,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,ch4,-0.00515800605756823,0.26162126716936274,2023-06-02,308.55,SW_2,SW,2,1,0.007588473,-0.5136587277259231,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-2,ch4,-0.0061684968532024,0.04940277441439277,2023-06-02,309.5,SW_2,SW,2,2,0.007145104,-0.5766220291811277,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-3,ch4,-0.00942418209972757,0.09353450299781976,2023-06-02,310.25,SW_2,SW,2,3,0.007081765,-0.8710385406806909,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-4,ch4,-0.01212707113087139,0.05374274564927314,2023-06-02,310,SW_2,SW,2,4,0.008538549,-1.3525156141680854,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-1,ch4,-0.00587851998867842,0.3863733530502724,2023-06-02,309.25,UP_1,UP,1,1,0.009171934,-0.7059650373611879,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-2,ch4,-0.00687107299275187,0.00556292655066563,2023-06-02,309.8,UP_1,UP,1,2,0.009551964,-0.8578271889540665,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-3,ch4,-0.00964660157270103,0.02358095087063783,2023-06-02,309.8,UP_1,UP,1,3,0.007968503,-1.004693632885875,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-4,ch4,-0.01119645635977402,0.06773531339942247,2023-06-02,310.35,UP_1,UP,1,4,0.007905165,-1.1547919892474778,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-1,ch4,0.00421304155422209,0.1405706629575751,2023-06-02,309,UP_2,UP,2,1,0.00891858,0.49237609198861376,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-2,ch4,-0.00223308873402283,0.45752069731004424,2023-06-02,308.7,UP_2,UP,2,2,0.006765073,-0.19815535795255493,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-3,ch4,-0.00405078769895001,0.2190885086585437,2023-06-02,308.55,UP_2,UP,2,3,0.008981918,-0.477470999894556,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-4,ch4,0.00231465743532585,0.3892220531155764,2023-06-02,310.4,UP_2,UP,2,4,0.008475211,0.255905437250512,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-1,n2o,0.00125817680999923,0.12510588608937576,2023-06-02,312.1,SW_1,SW,1,1,0.006385043,0.1042259147298321,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-2,n2o,0.00183370629304797,0.03257228963031028,2023-06-02,312.1,SW_1,SW,1,2,0.007651811,0.18203890839760936,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-3,n2o,0.0029856087440274302,0.01564300973162623,2023-06-02,311.55,SW_1,SW,1,3,0.006955088,0.269880651038647,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-4,n2o,0.00130703616472687,0.01454900176029177,2023-06-02,312.6,SW_1,SW,1,4,0.01012201,0.17136786028329715,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-1,n2o,0.00148762446659273,0.25590987443355256,2023-06-02,308.55,SW_2,SW,2,1,0.007588473,0.1481447059804793,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-2,n2o,1.6394024659058108e-4,0.8424705642786043,2023-06-02,309.5,SW_2,SW,2,2,0.007145104,0.01532489355237959,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-3,n2o,-6.217458609945525e-4,0.279968826519817,2023-06-02,310.25,SW_2,SW,2,3,0.007081765,-0.0574654226440096,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 2-4,n2o,4.653930552048581e-5,0.7514845727099604,2023-06-02,310,SW_2,SW,2,4,0.008538549,0.00519046492839966,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-1,n2o,4.03607737503415e-4,0.516924827260259,2023-06-02,309.25,UP_1,UP,1,1,0.009171934,0.04847018501844374,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-2,n2o,4.475252370919357e-4,0.03009132393417868,2023-06-02,309.8,UP_1,UP,1,2,0.009551964,0.05587181456601371,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-3,n2o,1.7848661426952088e-4,0.6878915753055174,2023-06-02,309.8,UP_1,UP,1,3,0.007968503,0.01858938233951901,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 1-4,n2o,3.047049622571466e-4,0.38540459126193766,2023-06-02,310.35,UP_1,UP,1,4,0.007905165,0.03142698351977588,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-1,n2o,9.546384004015704e-4,0.03371117657738604,2023-06-02,309,UP_2,UP,2,1,0.00891858,0.11156811980193648,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-2,n2o,7.084813544739799e-4,0.05772685816655758,2023-06-02,308.7,UP_2,UP,2,2,0.006765073,0.0628678002175023,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-3,n2o,1.8289193779291507e-4,0.6001665735450666,2023-06-02,308.55,UP_2,UP,2,3,0.008981918,0.02155768282629856,nmol_m2_s1,NA,NA,NA,NA,NA,NA
UP 2-4,n2o,1.446307381495157e-4,0.37460381692987504,2023-06-02,310.4,UP_2,UP,2,4,0.008475211,0.01599018140704079,nmol_m2_s1,NA,NA,NA,NA,NA,NA
SW 1-1,co2,30.614427313128825,0.00166000254814109,2023-06-15,305.5,SW_1,SW,1,1,0.006385043,2.5908527630920384,umol_m2_s1,min_elapsed,2.812894620666854,10.883602637723788,41.3,24.1,15
SW 1-2,co2,29.43761625094519,2.0261791501923057e-4,2023-06-15,303.05,SW_1,SW,1,2,0.007651811,3.0096539757305885,umol_m2_s1,min_elapsed,1.3315830984168349,22.107231824994315,45.2,24.4,5
SW 1-3,co2,25.42109168394354,1.3402898051376806e-4,2023-06-15,303.365,SW_1,SW,1,3,0.006955088,2.359909421070129,umol_m2_s1,min_elapsed,1.0013295036600152,25.38733912366059,40.1,24.2,10
SW 1-4,co2,31.641649798943163,7.740291027882985e-5,2023-06-15,304.35,SW_1,SW,1,4,0.01012201,4.261049279908353,umol_m2_s1,min_elapsed,1.0373227362801425,30.503187380632063,45.7,23.9,30
SW 2-1,co2,42.27010488296445,1.574311982758033e-4,2023-06-15,301.2,SW_2,SW,2,1,0.007588473,4.312178526227034,umol_m2_s1,min_elapsed,1.7571346219464667,24.056269994919184,11.9,18.8,40
SW 2-2,co2,37.18193428298786,2.364776595956615e-4,2023-06-15,301,SW_2,SW,2,2,0.007145104,3.5738639790623794,umol_m2_s1,min_elapsed,1.771266913886261,20.991717279587512,14.1,19.1,5
SW 2-3,co2,36.131869194763034,3.639080221433776e-4,2023-06-15,301.9,SW_2,SW,2,3,0.007081765,3.4318856503678643,umol_m2_s1,min_elapsed,1.989008338656194,18.165770596605093,19.5,18.2,10
SW 2-4,co2,51.537502652454755,4.226225308473694e-4,2023-06-15,302.4,SW_2,SW,2,4,0.008538549,5.8923649810074865,umol_m2_s1,min_elapsed,2.9832431872651677,17.2756625649754,25.3,18.2,60
UP 1-1,co2,45.496522837732385,7.329859567618483e-5,2023-06-15,300.55,UP_1,UP,1,1,0.009171934,5.621942198840627,umol_m2_s1,min_elapsed,1.464622838922226,31.06364425616357,17.3,18.8,40
UP 1-2,co2,38.01809716957237,5.940644717889116e-4,2023-06-15,302.7,UP_1,UP,1,2,0.009551964,4.857743885619951,umol_m2_s1,min_elapsed,2.4677095585472353,15.406228434740918,21.9,18.3,45
UP 1-3,co2,50.14993822647155,4.44026511860796e-4,2023-06-15,301.45,UP_1,UP,1,3,0.007968503,5.367793944977819,umol_m2_s1,min_elapsed,2.9515229830665315,16.991207086711373,25.5,18,30
UP 1-4,co2,39.77335603488076,9.259016932863474e-5,2023-06-15,301.4,UP_1,UP,1,4,0.007905165,4.2240000088331415,umol_m2_s1,min_elapsed,1.3843755270807083,28.730178522263056,23.5,17.9,35
UP 2-1,co2,39.45865159200319,8.498631130775021e-4,2023-06-15,303.3,UP_2,UP,2,1,0.00891858,4.698178613300903,umol_m2_s1,min_elapsed,2.889854617006786,13.654199543391956,13.3,18.8,10
UP 2-2,co2,54.367312738566774,0.00272954525373582,2023-06-15,302.65,UP_2,UP,2,2,0.006765073,4.92077670139023,umol_m2_s1,min_elapsed,5.919541191717541,9.184379494585832,22.1,18.6,15
UP 2-3,co2,29.20335094596158,1.2117304714529266e-4,2023-06-15,302.25,UP_2,UP,2,3,0.008981918,3.5139812940961086,umol_m2_s1,min_elapsed,1.112155237075764,26.25834053773569,15.8,18.1,5
UP 2-4,co2,34.1224075994443,5.693745053344562e-4,2023-06-15,301.75,UP_2,UP,2,4,0.008475211,3.8806715641392873,umol_m2_s1,min_elapsed,2.183418553685254,15.627973638792822,15.3,18.5,25
SW 1-1,ch4,-0.00242719317885475,0.06196088489993938,2023-06-15,305.5,SW_1,SW,1,1,0.006385043,-0.2054096942488677,nmol_m2_s1,min_elapsed,8.33883301812164e-4,-2.910710855559848,41.3,24.1,15
SW 1-2,ch4,-8.046063288269523e-4,0.3319423848521693,2023-06-15,303.05,SW_1,SW,1,2,0.007651811,-0.08226164156122111,nmol_m2_s1,min_elapsed,6.96982489925315e-4,-1.154413978051543,45.2,24.4,5
SW 1-3,ch4,-0.00210682841870343,0.17389350394906702,2023-06-15,303.365,SW_1,SW,1,3,0.006955088,-0.19558264041889556,nmol_m2_s1,min_elapsed,0.00118657819815437,-1.775549577752591,40.1,24.2,10
SW 1-4,ch4,-0.00112923507494497,0.20303188074314815,2023-06-15,304.35,SW_1,SW,1,4,0.01012201,-0.15206938745343906,nmol_m2_s1,min_elapsed,6.957390247915268e-4,-1.62307278261895,45.7,23.9,30
SW 2-1,ch4,-0.00587033291516111,0.00122341038115714,2023-06-15,301.2,SW_2,SW,2,1,0.007588473,-0.5988611480536782,nmol_m2_s1,min_elapsed,4.863012513836289e-4,-12.07139175245547,11.9,18.8,40
SW 2-2,ch4,-0.0057614918904136,0.01975145096453834,2023-06-15,301,SW_2,SW,2,2,0.007145104,-0.5537847540715557,nmol_m2_s1,min_elapsed,0.0012629784257808,-4.561829222737271,14.1,19.1,5
SW 2-3,ch4,-0.0130928582448684,0.02621381210517891,2023-06-15,301.9,SW_2,SW,2,3,0.007081765,-1.2435889239679048,nmol_m2_s1,min_elapsed,0.00319168828763048,-4.102173227758586,19.5,18.2,10
SW 2-4,ch4,-0.01448058636499596,0.00140823545249026,2023-06-15,302.4,SW_2,SW,2,4,0.008538549,-1.6555885638648156,nmol_m2_s1,min_elapsed,0.00125819341361575,-11.509030494272038,25.3,18.2,60
UP 1-1,ch4,-0.00992776082488798,9.926261527236349e-4,2023-06-15,300.55,UP_1,UP,1,1,0.009171934,-1.2267596299721173,nmol_m2_s1,min_elapsed,7.662461896619279e-4,-12.956359142572923,17.3,18.8,40
UP 1-2,ch4,-0.01095619510222875,0.00636325558097619,2023-06-15,302.7,UP_1,UP,1,2,0.009551964,-1.3999225034888725,nmol_m2_s1,min_elapsed,0.0015989748808906,-6.852012019179635,21.9,18.3,45
UP 1-3,ch4,-0.01003078367919468,0.00193144256799536,2023-06-15,301.45,UP_1,UP,1,3,0.007968503,-1.0736439924095962,nmol_m2_s1,min_elapsed,9.704042319846082e-4,-10.336706445189728,25.5,18,30
UP 1-4,ch4,-0.01172949120578716,0.00970163308919692,2023-06-15,301.4,UP_1,UP,1,4,0.007905165,-1.2456924910586502,nmol_m2_s1,min_elapsed,0.0019866079701984,-5.904280754806261,23.5,17.9,35
UP 2-1,ch4,-0.00322096598117954,0.02212950396381671,2023-06-15,303.3,UP_2,UP,2,1,0.00891858,-0.3835071112773226,nmol_m2_s1,min_elapsed,7.366220200397e-4,-4.372617018706486,13.3,18.8,10
UP 2-2,ch4,-0.00855214732209382,0.00788984048260145,2023-06-15,302.65,UP_2,UP,2,2,0.006765073,-0.7740534738543988,nmol_m2_s1,min_elapsed,0.0013461325046117,-6.35312444562115,22.1,18.6,15
UP 2-3,ch4,-0.0042810948525181,0.07185967095126126,2023-06-15,302.25,UP_2,UP,2,3,0.008981918,-0.515135651995446,nmol_m2_s1,min_elapsed,0.0015673976705229,-2.731339297633297,15.8,18.1,5
UP 2-4,ch4,-0.00422989677906375,0.05439367147522329,2023-06-15,301.75,UP_2,UP,2,4,0.008475211,-0.4810575016407804,nmol_m2_s1,min_elapsed,0.0013760487190046,-3.073944054919467,15.3,18.5,25
SW 1-1,n2o,-1.1293724156376478e-4,0.8405039967053047,2023-06-15,305.5,SW_1,SW,1,1,0.006385043,-0.00955770824548436,nmol_m2_s1,min_elapsed,5.150364611104692e-4,-0.2192800900352977,41.3,24.1,15
SW 1-2,n2o,0.00118743960825107,0.05514164196881684,2023-06-15,303.05,SW_1,SW,1,2,0.007651811,0.1214018929877876,nmol_m2_s1,min_elapsed,3.8848728942771386e-4,3.0565726101368917,45.2,24.4,5
SW 1-3,n2o,0.00100175141998235,0.05641937692366267,2023-06-15,303.365,SW_1,SW,1,3,0.006955088,0.0929953222693384,nmol_m2_s1,min_elapsed,3.308761264549305e-4,3.0275723749407724,40.1,24.2,10
SW 1-4,n2o,4.407161435981623e-4,0.01143309206894324,2023-06-15,304.35,SW_1,SW,1,4,0.01012201,0.05934940871463846,nmol_m2_s1,min_elapsed,7.91551827081133e-5,5.567748421771876,45.7,23.9,30
SW 2-1,n2o,4.361807480177159e-4,0.5701244229408129,2023-06-15,301.2,SW_2,SW,2,1,0.007588473,0.04449691479033137,nmol_m2_s1,min_elapsed,6.860964131728188e-4,0.6357426443910699,11.9,18.8,40
SW 2-2,n2o,3.103931643793387e-4,0.41855403695253984,2023-06-15,301,SW_2,SW,2,2,0.007145104,0.02983446049578046,nmol_m2_s1,min_elapsed,3.318038371633671e-4,0.9354718951803844,14.1,19.1,5
SW 2-3,n2o,0.00107897339632604,0.0094092101254451,2023-06-15,301.9,SW_2,SW,2,3,0.007081765,0.10248330347981877,nmol_m2_s1,min_elapsed,1.8076528012735867e-4,5.968919449386816,19.5,18.2,10
SW 2-4,n2o,5.74864584082928e-4,0.44946647309968446,2023-06-15,302.4,SW_2,SW,2,4,0.008538549,0.06572518592750128,nmol_m2_s1,min_elapsed,6.626272909463772e-4,0.8675534375620044,25.3,18.2,60
UP 1-1,n2o,0.00216343838380787,1.0111455517206534e-4,2023-06-15,300.55,UP_1,UP,1,1,0.009171934,0.26733307923114324,nmol_m2_s1,min_elapsed,7.755217257291176e-5,27.896554178077785,17.3,18.8,40
UP 1-2,n2o,4.588509361582024e-4,0.5422701531825689,2023-06-15,302.7,UP_1,UP,1,2,0.009551964,0.05862945532469871,nmol_m2_s1,min_elapsed,6.694047036172392e-4,0.6854611771903086,21.9,18.3,45
UP 1-3,n2o,0.00176541666854985,0.01933917303911371,2023-06-15,301.45,UP_1,UP,1,3,0.007968503,0.1889612079083819,nmol_m2_s1,min_elapsed,3.8398289889444287e-4,4.597643993086181,25.5,18,30
UP 1-4,n2o,0.00134029610419297,0.00366897906858063,2023-06-15,301.4,UP_1,UP,1,4,0.007905165,0.14234179160001334,nmol_m2_s1,min_elapsed,1.6155208041911107e-4,8.296371676030873,23.5,17.9,35
UP 2-1,n2o,8.439750381130649e-4,0.20038592966029695,2023-06-15,303.3,UP_2,UP,2,1,0.00891858,0.10048862072687256,nmol_m2_s1,min_elapsed,5.159203780987108e-4,1.6358629624658625,13.3,18.8,10
UP 2-2,n2o,3.199415982929569e-4,0.19276186958149016,2023-06-15,302.65,UP_2,UP,2,2,0.006765073,0.02895786242472719,nmol_m2_s1,min_elapsed,1.9114594399802817e-4,1.6738079375425168,22.1,18.6,15
UP 2-3,n2o,0.00108128862056179,0.04391437870381878,2023-06-15,302.25,UP_2,UP,2,3,0.008981918,0.1301093149619719,nmol_m2_s1,min_elapsed,3.223467862915511e-4,3.3544265571917484,15.8,18.1,5
