"chamber","gas","estimate","p.value","date","average_temp_kelvin","ecosystem_name","ecosystem_block","rep","total_vol_m3","flux","units","term","std.error","statistic","soil_moist_percent","soil_temp_c","plant_cover_percent","plant_biomass_g"
"17","SW 1-4","ch4",NA,NA,2023-03-22,273,"SW",1,4,0.01012201,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"18","SW 2-1","ch4",7.76632293130812e-05,0.96295483157069,2023-03-22,285.7,"SW",2,1,0.007588473,0.00835263645327381,"nmol_m2_s1",NA,NA,NA,55.2,6.3,NA,NA
"19","SW 2-3","ch4",0.00138777441587867,0.00351563710974887,2023-03-22,285.9,"SW",2,3,0.007081765,0.139190698423385,"nmol_m2_s1",NA,NA,NA,57.2,6.8,NA,NA
"20","SW 2-4","ch4",0.00112758111640099,0.394896291793569,2023-03-22,285.6,"SW",2,4,0.008538549,0.136501570299622,"nmol_m2_s1",NA,NA,NA,56.1,5.9,NA,NA
"21","UP 1-1","ch4",0.00241975722368866,0.000784960580644459,2023-03-22,286.1,"UP",1,1,0.009171934,0.314107885740159,"nmol_m2_s1",NA,NA,NA,53.3,5.2,NA,NA
"22","UP 1-2","ch4",0.00205045079211516,0.0321630735171703,2023-03-22,285.85,"UP",1,2,0.009551964,0.277439193392965,"nmol_m2_s1",NA,NA,NA,52.4,4.9,NA,NA
"23","UP 1-3","ch4",-0.00064186521435579,0.509491145049648,2023-03-22,285.7,"UP",1,3,0.007968503,-0.0724893693426058,"nmol_m2_s1",NA,NA,NA,54.7,4.9,NA,NA
"24","UP 1-4","ch4",0.000499973613680539,0.70109421506063,2023-03-22,285.95,"UP",1,4,0.007905165,0.0559669840853278,"nmol_m2_s1",NA,NA,NA,54.1,4.8,NA,NA
"25","UP 2-1","ch4",0.000187161643865859,0.813230165469228,2023-03-22,286.25,"UP",2,1,0.00891858,0.0236119062049547,"nmol_m2_s1",NA,NA,NA,49.1,5.3,NA,NA
"26","UP 2-2","ch4",0.00233287372769463,0.0543309020585019,2023-03-22,286.45,"UP",2,2,0.006765073,0.223089368613844,"nmol_m2_s1",NA,NA,NA,48.9,5.7,NA,NA
"27","UP 2-3","ch4",0.00244122211937378,0.050413646313778,2023-03-22,285.85,"UP",2,3,0.008981918,0.310600511852768,"nmol_m2_s1",NA,NA,NA,49.2,5.4,NA,NA
"28","UP 2-4","ch4",-0.000482247562987835,0.402073070301111,2023-03-22,286.05,"UP",2,4,0.008475211,-0.0578552254410405,"nmol_m2_s1",NA,NA,NA,43.1,5.3,NA,NA
"29","SW 1-1","n2o",NA,NA,2023-03-22,273,"SW",1,1,0.006385043,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"30","SW 1-3","n2o",NA,NA,2023-03-22,273,"SW",1,3,0.006955088,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"31","SW 1-4","n2o",NA,NA,2023-03-22,273,"SW",1,4,0.01012201,NA,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"32","SW 2-1","n2o",0.000608146296533644,0.0280559578775978,2023-03-22,285.7,"SW",2,1,0.007588473,0.0654057907490951,"nmol_m2_s1",NA,NA,NA,55.2,6.3,NA,NA
"33","SW 2-3","n2o",0.000449615343524525,0.0472146783923786,2023-03-22,285.9,"SW",2,3,0.007081765,0.0450954225492223,"nmol_m2_s1",NA,NA,NA,57.2,6.8,NA,NA
"34","SW 2-4","n2o",0.000501766436228343,0.182067434325069,2023-03-22,285.6,"SW",2,4,0.008538549,0.060742331946305,"nmol_m2_s1",NA,NA,NA,56.1,5.9,NA,NA
"35","UP 1-1","n2o",0.000606199925152195,0.00870283242627883,2023-03-22,286.1,"UP",1,1,0.009171934,0.0786906120007923,"nmol_m2_s1",NA,NA,NA,53.3,5.2,NA,NA
"36","UP 1-2","n2o",0.000555622348694224,0.00962252694338914,2023-03-22,285.85,"UP",1,2,0.009551964,0.0751792809881646,"nmol_m2_s1",NA,NA,NA,52.4,4.9,NA,NA
"37","UP 1-3","n2o",0.000554735531537203,0.0368131082417398,2023-03-22,285.7,"UP",1,3,0.007968503,0.0626493349907213,"nmol_m2_s1",NA,NA,NA,54.7,4.9,NA,NA
"38","UP 1-4","n2o",0.000484144947068367,0.101748148877803,2023-03-22,285.95,"UP",1,4,0.007905165,0.0541951251149034,"nmol_m2_s1",NA,NA,NA,54.1,4.8,NA,NA
"39","UP 2-1","n2o",0.000445212814555447,0.0752050913689798,2023-03-22,286.25,"UP",2,1,0.00891858,0.0561670810396463,"nmol_m2_s1",NA,NA,NA,49.1,5.3,NA,NA
"40","UP 2-2","n2o",0.000333101938777245,0.146177406467636,2023-03-22,286.45,"UP",2,2,0.006765073,0.0318540606478939,"nmol_m2_s1",NA,NA,NA,48.9,5.7,NA,NA
"41","UP 2-3","n2o",0.000510606646996445,0.00455570771217633,2023-03-22,285.85,"UP",2,3,0.008981918,0.0649652830252103,"nmol_m2_s1",NA,NA,NA,49.2,5.4,NA,NA
"42","UP 2-4","n2o",0.000273758449652509,0.215246111828171,2023-03-22,286.05,"UP",2,4,0.008475211,0.0328427928653631,"nmol_m2_s1",NA,NA,NA,43.1,5.3,NA,NA
"43","SW 1-1","co2",34.6989370923929,6.58818268143882e-05,2023-06-02,312.1,"SW",1,1,0.006385043,2.87441989859101,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"44","SW 1-2","co2",32.6716039035334,0.00230577360920442,2023-06-02,312.1,"SW",1,2,0.007651811,3.24343278569023,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"45","SW 1-3","co2",34.8149281422434,9.92961412930545e-05,2023-06-02,311.55,"SW",1,3,0.006955088,3.14705518319785,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"46","SW 1-4","co2",43.9213407074895,3.97972668403508e-06,2023-06-02,312.6,"SW",1,4,0.01012201,5.75860590620229,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"47","SW 2-1","co2",48.7437176971437,0.0296737289599716,2023-06-02,308.55,"SW",2,1,0.007588473,4.85413078959247,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"48","SW 2-2","co2",35.0429765813477,0.00168475618804622,2023-06-02,309.5,"SW",2,2,0.007145104,3.27576600033331,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"49","SW 2-3","co2",23.834809167669,0.000597438436356995,2023-06-02,310.25,"SW",2,3,0.007081765,2.20295376034906,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"50","SW 2-4","co2",45.1292491155099,0.0014296822236309,2023-06-02,310,"SW",2,4,0.008538549,5.03320327107066,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"51","UP 1-1","co2",32.9194647290463,0.000388070721381175,2023-06-02,309.25,"UP",1,1,0.009171934,3.95337452149689,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"52","UP 1-2","co2",28.5738955733215,0.00074800108592709,2023-06-02,309.8,"UP",1,2,0.009551964,3.56734159904661,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"53","UP 1-3","co2",29.1225748479589,0.00126318081831305,2023-06-02,309.8,"UP",1,3,0.007968503,3.03311640918058,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"54","UP 1-4","co2",29.1401072225216,0.000759405944427994,2023-06-02,310.35,"UP",1,4,0.007905165,3.00548328016345,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"55","UP 2-1","co2",26.3172890010665,0.000225124554616898,2023-06-02,309,"UP",2,1,0.00891858,3.0756886072235,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"56","UP 2-2","co2",26.6115218157917,0.00146180890147641,2023-06-02,308.7,"UP",2,2,0.006765073,2.36139995277793,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"57","UP 2-3","co2",14.6761073326784,0.0326193175825818,2023-06-02,308.55,"UP",2,3,0.008981918,1.7298896322091,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"58","UP 2-4","co2",36.430471269527,0.000710193625380082,2023-06-02,310.4,"UP",2,4,0.008475211,4.02770428884571,"umol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"59","SW 1-1","ch4",0.00130178901267736,0.489176381426643,2023-06-02,312.1,"SW",1,1,0.006385043,0.107838699261693,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"60","SW 1-2","ch4",-0.00763349574332692,0.271232615750704,2023-06-02,312.1,"SW",1,2,0.007651811,-0.757805782551611,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"61","SW 1-3","ch4",-0.00108163697101822,0.760648125717228,2023-06-02,311.55,"SW",1,3,0.006955088,-0.0977733236177799,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"62","SW 1-4","ch4",0.0118789819519957,0.0252514158652173,2023-06-02,312.6,"SW",1,4,0.01012201,1.55747467009285,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"63","SW 2-1","ch4",-0.00515800605756823,0.261621267169363,2023-06-02,308.55,"SW",2,1,0.007588473,-0.513658727725923,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"64","SW 2-2","ch4",-0.0061684968532024,0.0494027744143928,2023-06-02,309.5,"SW",2,2,0.007145104,-0.576622029181128,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"65","SW 2-3","ch4",-0.00942418209972757,0.0935345029978198,2023-06-02,310.25,"SW",2,3,0.007081765,-0.871038540680691,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"66","SW 2-4","ch4",-0.0121270711308714,0.0537427456492731,2023-06-02,310,"SW",2,4,0.008538549,-1.35251561416809,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"67","UP 1-1","ch4",-0.00587851998867842,0.386373353050272,2023-06-02,309.25,"UP",1,1,0.009171934,-0.705965037361188,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"68","UP 1-2","ch4",-0.00687107299275187,0.00556292655066563,2023-06-02,309.8,"UP",1,2,0.009551964,-0.857827188954067,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"69","UP 1-3","ch4",-0.00964660157270103,0.0235809508706378,2023-06-02,309.8,"UP",1,3,0.007968503,-1.00469363288588,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"70","UP 1-4","ch4",-0.011196456359774,0.0677353133994225,2023-06-02,310.35,"UP",1,4,0.007905165,-1.15479198924748,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"71","UP 2-1","ch4",0.00421304155422209,0.140570662957575,2023-06-02,309,"UP",2,1,0.00891858,0.492376091988614,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"72","UP 2-2","ch4",-0.00223308873402283,0.457520697310044,2023-06-02,308.7,"UP",2,2,0.006765073,-0.198155357952555,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"73","UP 2-3","ch4",-0.00405078769895001,0.219088508658544,2023-06-02,308.55,"UP",2,3,0.008981918,-0.477470999894556,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"74","UP 2-4","ch4",0.00231465743532585,0.389222053115576,2023-06-02,310.4,"UP",2,4,0.008475211,0.255905437250512,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"75","SW 1-1","n2o",0.00125817680999923,0.125105886089376,2023-06-02,312.1,"SW",1,1,0.006385043,0.104225914729832,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"76","SW 1-2","n2o",0.00183370629304797,0.0325722896303103,2023-06-02,312.1,"SW",1,2,0.007651811,0.182038908397609,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"77","SW 1-3","n2o",0.00298560874402743,0.0156430097316262,2023-06-02,311.55,"SW",1,3,0.006955088,0.269880651038647,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"78","SW 1-4","n2o",0.00130703616472687,0.0145490017602918,2023-06-02,312.6,"SW",1,4,0.01012201,0.171367860283297,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"79","SW 2-1","n2o",0.00148762446659273,0.255909874433553,2023-06-02,308.55,"SW",2,1,0.007588473,0.148144705980479,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"80","SW 2-2","n2o",0.000163940246590581,0.842470564278604,2023-06-02,309.5,"SW",2,2,0.007145104,0.0153248935523796,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"81","SW 2-3","n2o",-0.000621745860994553,0.279968826519817,2023-06-02,310.25,"SW",2,3,0.007081765,-0.0574654226440096,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"82","SW 2-4","n2o",4.65393055204858e-05,0.75148457270996,2023-06-02,310,"SW",2,4,0.008538549,0.00519046492839966,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"83","UP 1-1","n2o",0.000403607737503415,0.516924827260259,2023-06-02,309.25,"UP",1,1,0.009171934,0.0484701850184437,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"84","UP 1-2","n2o",0.000447525237091936,0.0300913239341787,2023-06-02,309.8,"UP",1,2,0.009551964,0.0558718145660137,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"85","UP 1-3","n2o",0.000178486614269521,0.687891575305517,2023-06-02,309.8,"UP",1,3,0.007968503,0.018589382339519,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"86","UP 1-4","n2o",0.000304704962257147,0.385404591261938,2023-06-02,310.35,"UP",1,4,0.007905165,0.0314269835197759,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"87","UP 2-1","n2o",0.00095463840040157,0.033711176577386,2023-06-02,309,"UP",2,1,0.00891858,0.111568119801936,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"88","UP 2-2","n2o",0.00070848135447398,0.0577268581665576,2023-06-02,308.7,"UP",2,2,0.006765073,0.0628678002175023,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"89","UP 2-3","n2o",0.000182891937792915,0.600166573545067,2023-06-02,308.55,"UP",2,3,0.008981918,0.0215576828262986,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"90","UP 2-4","n2o",0.000144630738149516,0.374603816929875,2023-06-02,310.4,"UP",2,4,0.008475211,0.0159901814070408,"nmol_m2_s1",NA,NA,NA,NA,NA,NA,NA
"91","SW 1-1","co2",30.6144273131288,0.00166000254814109,2023-06-15,305.5,"SW",1,1,0.006385043,2.59085276309204,"umol_m2_s1","min_elapsed",2.81289462066685,10.8836026377238,NA,NA,NA,NA
"92","SW 1-2","co2",29.4376162509452,0.000202617915019231,2023-06-15,303.05,"SW",1,2,0.007651811,3.00965397573059,"umol_m2_s1","min_elapsed",1.33158309841683,22.1072318249943,NA,NA,NA,NA
"93","SW 1-3","co2",25.4210916839435,0.000134028980513768,2023-06-15,303.365,"SW",1,3,0.006955088,2.35990942107013,"umol_m2_s1","min_elapsed",1.00132950366002,25.3873391236606,NA,NA,NA,NA
"94","SW 1-4","co2",31.6416497989432,7.74029102788299e-05,2023-06-15,304.35,"SW",1,4,0.01012201,4.26104927990835,"umol_m2_s1","min_elapsed",1.03732273628014,30.5031873806321,NA,NA,NA,NA
"95","SW 2-1","co2",42.2701048829645,0.000157431198275803,2023-06-15,301.2,"SW",2,1,0.007588473,4.31217852622703,"umol_m2_s1","min_elapsed",1.75713462194647,24.0562699949192,NA,NA,NA,NA
"96","SW 2-2","co2",37.1819342829879,0.000236477659595662,2023-06-15,301,"SW",2,2,0.007145104,3.57386397906238,"umol_m2_s1","min_elapsed",1.77126691388626,20.9917172795875,NA,NA,NA,NA
"97","SW 2-3","co2",36.131869194763,0.000363908022143378,2023-06-15,301.9,"SW",2,3,0.007081765,3.43188565036786,"umol_m2_s1","min_elapsed",1.98900833865619,18.1657705966051,NA,NA,NA,NA
"98","SW 2-4","co2",51.5375026524548,0.000422622530847369,2023-06-15,302.4,"SW",2,4,0.008538549,5.89236498100749,"umol_m2_s1","min_elapsed",2.98324318726517,17.2756625649754,NA,NA,NA,NA
"99","UP 1-1","co2",45.4965228377324,7.32985956761848e-05,2023-06-15,300.55,"UP",1,1,0.009171934,5.62194219884063,"umol_m2_s1","min_elapsed",1.46462283892223,31.0636442561636,NA,NA,NA,NA
"100","UP 1-2","co2",38.0180971695724,0.000594064471788912,2023-06-15,302.7,"UP",1,2,0.009551964,4.85774388561995,"umol_m2_s1","min_elapsed",2.46770955854724,15.4062284347409,NA,NA,NA,NA
"101","UP 1-3","co2",50.1499382264715,0.000444026511860796,2023-06-15,301.45,"UP",1,3,0.007968503,5.36779394497782,"umol_m2_s1","min_elapsed",2.95152298306653,16.9912070867114,NA,NA,NA,NA
"102","UP 1-4","co2",39.7733560348808,9.25901693286347e-05,2023-06-15,301.4,"UP",1,4,0.007905165,4.22400000883314,"umol_m2_s1","min_elapsed",1.38437552708071,28.7301785222631,NA,NA,NA,NA
"103","UP 2-1","co2",39.4586515920032,0.000849863113077502,2023-06-15,303.3,"UP",2,1,0.00891858,4.6981786133009,"umol_m2_s1","min_elapsed",2.88985461700679,13.654199543392,NA,NA,NA,NA
"104","UP 2-2","co2",54.3673127385668,0.00272954525373582,2023-06-15,302.65,"UP",2,2,0.006765073,4.92077670139023,"umol_m2_s1","min_elapsed",5.91954119171754,9.18437949458583,NA,NA,NA,NA
"105","UP 2-3","co2",29.2033509459616,0.000121173047145293,2023-06-15,302.25,"UP",2,3,0.008981918,3.51398129409611,"umol_m2_s1","min_elapsed",1.11215523707576,26.2583405377357,NA,NA,NA,NA
"106","UP 2-4","co2",34.1224075994443,0.000569374505334456,2023-06-15,301.75,"UP",2,4,0.008475211,3.88067156413929,"umol_m2_s1","min_elapsed",2.18341855368525,15.6279736387928,NA,NA,NA,NA
"107","SW 1-1","ch4",-0.00242719317885475,0.0619608848999394,2023-06-15,305.5,"SW",1,1,0.006385043,-0.205409694248868,"nmol_m2_s1","min_elapsed",0.000833883301812164,-2.91071085555985,NA,NA,NA,NA
"108","SW 1-2","ch4",-0.000804606328826952,0.331942384852169,2023-06-15,303.05,"SW",1,2,0.007651811,-0.0822616415612211,"nmol_m2_s1","min_elapsed",0.000696982489925315,-1.15441397805154,NA,NA,NA,NA
"109","SW 1-3","ch4",-0.00210682841870343,0.173893503949067,2023-06-15,303.365,"SW",1,3,0.006955088,-0.195582640418896,"nmol_m2_s1","min_elapsed",0.00118657819815437,-1.77554957775259,NA,NA,NA,NA
"110","SW 1-4","ch4",-0.00112923507494497,0.203031880743148,2023-06-15,304.35,"SW",1,4,0.01012201,-0.152069387453439,"nmol_m2_s1","min_elapsed",0.000695739024791527,-1.62307278261895,NA,NA,NA,NA
"111","SW 2-1","ch4",-0.00587033291516111,0.00122341038115714,2023-06-15,301.2,"SW",2,1,0.007588473,-0.598861148053678,"nmol_m2_s1","min_elapsed",0.000486301251383629,-12.0713917524555,NA,NA,NA,NA
"112","SW 2-2","ch4",-0.0057614918904136,0.0197514509645383,2023-06-15,301,"SW",2,2,0.007145104,-0.553784754071556,"nmol_m2_s1","min_elapsed",0.0012629784257808,-4.56182922273727,NA,NA,NA,NA
"113","SW 2-3","ch4",-0.0130928582448684,0.0262138121051789,2023-06-15,301.9,"SW",2,3,0.007081765,-1.2435889239679,"nmol_m2_s1","min_elapsed",0.00319168828763048,-4.10217322775859,NA,NA,NA,NA
"114","SW 2-4","ch4",-0.014480586364996,0.00140823545249026,2023-06-15,302.4,"SW",2,4,0.008538549,-1.65558856386482,"nmol_m2_s1","min_elapsed",0.00125819341361575,-11.509030494272,NA,NA,NA,NA
"115","UP 1-1","ch4",-0.00992776082488798,0.000992626152723635,2023-06-15,300.55,"UP",1,1,0.009171934,-1.22675962997212,"nmol_m2_s1","min_elapsed",0.000766246189661928,-12.9563591425729,NA,NA,NA,NA
"116","UP 1-2","ch4",-0.0109561951022287,0.00636325558097619,2023-06-15,302.7,"UP",1,2,0.009551964,-1.39992250348887,"nmol_m2_s1","min_elapsed",0.0015989748808906,-6.85201201917963,NA,NA,NA,NA
"117","UP 1-3","ch4",-0.0100307836791947,0.00193144256799536,2023-06-15,301.45,"UP",1,3,0.007968503,-1.0736439924096,"nmol_m2_s1","min_elapsed",0.000970404231984608,-10.3367064451897,NA,NA,NA,NA
"118","UP 1-4","ch4",-0.0117294912057872,0.00970163308919692,2023-06-15,301.4,"UP",1,4,0.007905165,-1.24569249105865,"nmol_m2_s1","min_elapsed",0.0019866079701984,-5.90428075480626,NA,NA,NA,NA
"119","UP 2-1","ch4",-0.00322096598117954,0.0221295039638167,2023-06-15,303.3,"UP",2,1,0.00891858,-0.383507111277323,"nmol_m2_s1","min_elapsed",0.0007366220200397,-4.37261701870649,NA,NA,NA,NA
"120","UP 2-2","ch4",-0.00855214732209382,0.00788984048260145,2023-06-15,302.65,"UP",2,2,0.006765073,-0.774053473854399,"nmol_m2_s1","min_elapsed",0.0013461325046117,-6.35312444562115,NA,NA,NA,NA
"121","UP 2-3","ch4",-0.0042810948525181,0.0718596709512613,2023-06-15,302.25,"UP",2,3,0.008981918,-0.515135651995446,"nmol_m2_s1","min_elapsed",0.0015673976705229,-2.7313392976333,NA,NA,NA,NA
"122","UP 2-4","ch4",-0.00422989677906375,0.0543936714752233,2023-06-15,301.75,"UP",2,4,0.008475211,-0.48105750164078,"nmol_m2_s1","min_elapsed",0.0013760487190046,-3.07394405491947,NA,NA,NA,NA
"123","SW 1-1","n2o",-0.000112937241563765,0.840503996705305,2023-06-15,305.5,"SW",1,1,0.006385043,-0.00955770824548436,"nmol_m2_s1","min_elapsed",0.000515036461110469,-0.219280090035298,NA,NA,NA,NA
"124","SW 1-2","n2o",0.00118743960825107,0.0551416419688168,2023-06-15,303.05,"SW",1,2,0.007651811,0.121401892987788,"nmol_m2_s1","min_elapsed",0.000388487289427714,3.05657261013689,NA,NA,NA,NA
"125","SW 1-3","n2o",0.00100175141998235,0.0564193769236627,2023-06-15,303.365,"SW",1,3,0.006955088,0.0929953222693384,"nmol_m2_s1","min_elapsed",0.00033087612645493,3.02757237494077,NA,NA,NA,NA
"126","SW 1-4","n2o",0.000440716143598162,0.0114330920689432,2023-06-15,304.35,"SW",1,4,0.01012201,0.0593494087146385,"nmol_m2_s1","min_elapsed",7.91551827081133e-05,5.56774842177188,NA,NA,NA,NA
"127","SW 2-1","n2o",0.000436180748017716,0.570124422940813,2023-06-15,301.2,"SW",2,1,0.007588473,0.0444969147903314,"nmol_m2_s1","min_elapsed",0.000686096413172819,0.63574264439107,NA,NA,NA,NA
"128","SW 2-2","n2o",0.000310393164379339,0.41855403695254,2023-06-15,301,"SW",2,2,0.007145104,0.0298344604957805,"nmol_m2_s1","min_elapsed",0.000331803837163367,0.935471895180384,NA,NA,NA,NA
"129","SW 2-3","n2o",0.00107897339632604,0.0094092101254451,2023-06-15,301.9,"SW",2,3,0.007081765,0.102483303479819,"nmol_m2_s1","min_elapsed",0.000180765280127359,5.96891944938682,NA,NA,NA,NA
"130","SW 2-4","n2o",0.000574864584082928,0.449466473099684,2023-06-15,302.4,"SW",2,4,0.008538549,0.0657251859275013,"nmol_m2_s1","min_elapsed",0.000662627290946377,0.867553437562004,NA,NA,NA,NA
"131","UP 1-1","n2o",0.00216343838380787,0.000101114555172065,2023-06-15,300.55,"UP",1,1,0.009171934,0.267333079231143,"nmol_m2_s1","min_elapsed",7.75521725729118e-05,27.8965541780778,NA,NA,NA,NA
"132","UP 1-2","n2o",0.000458850936158202,0.542270153182569,2023-06-15,302.7,"UP",1,2,0.009551964,0.0586294553246987,"nmol_m2_s1","min_elapsed",0.000669404703617239,0.685461177190309,NA,NA,NA,NA
"133","UP 1-3","n2o",0.00176541666854985,0.0193391730391137,2023-06-15,301.45,"UP",1,3,0.007968503,0.188961207908382,"nmol_m2_s1","min_elapsed",0.000383982898894443,4.59764399308618,NA,NA,NA,NA
"134","UP 1-4","n2o",0.00134029610419297,0.00366897906858063,2023-06-15,301.4,"UP",1,4,0.007905165,0.142341791600013,"nmol_m2_s1","min_elapsed",0.000161552080419111,8.29637167603087,NA,NA,NA,NA
"135","UP 2-1","n2o",0.000843975038113065,0.200385929660297,2023-06-15,303.3,"UP",2,1,0.00891858,0.100488620726873,"nmol_m2_s1","min_elapsed",0.000515920378098711,1.63586296246586,NA,NA,NA,NA
"136","UP 2-2","n2o",0.000319941598292957,0.19276186958149,2023-06-15,302.65,"UP",2,2,0.006765073,0.0289578624247272,"nmol_m2_s1","min_elapsed",0.000191145943998028,1.67380793754252,NA,NA,NA,NA
