genus,species,native,n,fraction,year,plot,change_species_freq,mean_native_species_freq
ambrosia,artemisiifolia,1,36,0.163,1987,NA,0.07700000000000001,-0.025
ambrosia,artemisiifolia,1,17,0.077,1995,NA,-0.08600000000000001,-0.025
ambrosia,artemisiifolia,1,11,0.045,2005,NA,-0.032,-0.025
ambrosia,trifida,1,37,0.167,1979,NA,NA,-0.022
ambrosia,trifida,1,41,0.185,1980,NA,0.017999999999999988,-0.022
ambrosia,trifida,1,41,0.186,1981,NA,0.0010000000000000009,-0.022
ambrosia,trifida,1,36,0.162,1982,NA,-0.023999999999999994,-0.022
ambrosia,trifida,1,28,0.126,1984,NA,-0.036000000000000004,-0.022
ambrosia,trifida,1,23,0.104,1987,NA,-0.022000000000000006,-0.022
ambrosia,trifida,1,8,0.036,1995,NA,-0.068,-0.022
ambrosia,trifida,1,3,0.012,2005,NA,-0.023999999999999997,-0.022
amorpha,canescens,1,13,0.059,1979,NA,NA,-0.002
amorpha,canescens,1,14,0.063,1980,NA,0.0040000000000000036,-0.002
amorpha,canescens,1,14,0.063,1981,NA,0,-0.002
amorpha,canescens,1,15,0.068,1982,NA,0.0050000000000000044,-0.002
amorpha,canescens,1,13,0.059,1984,NA,-0.009000000000000008,-0.002
amorpha,canescens,1,15,0.068,1987,NA,0.009000000000000008,-0.002
amorpha,canescens,1,14,0.063,1995,NA,-0.0050000000000000044,-0.002
amorpha,canescens,1,11,0.045,2005,NA,-0.018000000000000002,-0.002
amphicarpaea,bracteata,1,2,0.009,1979,NA,NA,0.005
amphicarpaea,bracteata,1,4,0.018,1980,NA,0.009,0.005
amphicarpaea,bracteata,1,5,0.023,1981,NA,0.005000000000000001,0.005
amphicarpaea,bracteata,1,7,0.032,1982,NA,0.009000000000000001,0.005
amphicarpaea,bracteata,1,8,0.036,1984,NA,0.003999999999999997,0.005
amphicarpaea,bracteata,1,8,0.036,1987,NA,0,0.005
andropogon,gerardii,1,30,0.135,1979,NA,NA,-0.006
andropogon,gerardii,1,33,0.149,1980,NA,0.013999999999999985,-0.006
andropogon,gerardii,1,37,0.167,1981,NA,0.018000000000000016,-0.006
andropogon,gerardii,1,36,0.162,1982,NA,-0.0050000000000000044,-0.006
andropogon,gerardii,1,47,0.212,1984,NA,0.04999999999999999,-0.006
andropogon,gerardii,1,60,0.271,1987,NA,0.059000000000000025,-0.006
andropogon,gerardii,1,21,0.095,1995,NA,-0.17600000000000002,-0.006
andropogon,gerardii,1,22,0.091,2005,NA,-0.0040000000000000036,-0.006
anemone,cylindrica,1,2,0.009,1979,NA,NA,0.003
anemone,cylindrica,1,3,0.014,1980,NA,0.005000000000000001,0.003
anemone,cylindrica,1,5,0.023,1981,NA,0.009,0.003
anemone,cylindrica,1,3,0.014,1982,NA,-0.009,0.003
anemone,cylindrica,1,3,0.014,1984,NA,0,0.003
anemone,cylindrica,1,5,0.023,1987,NA,0.009,0.003
anemone,cylindrica,1,8,0.036,1995,NA,0.012999999999999998,0.003
anemone,cylindrica,1,8,0.033,2005,NA,-0.0029999999999999957,0.003
antennaria,neglecta,1,5,0.023,1979,NA,NA,-0.002
antennaria,neglecta,1,5,0.023,1980,NA,0,-0.002
antennaria,neglecta,1,5,0.023,1981,NA,0,-0.002
antennaria,neglecta,1,5,0.023,1982,NA,0,-0.002
antennaria,neglecta,1,1,0.005,1987,NA,-0.018,-0.002
antennaria,neglecta,1,2,0.009,1995,NA,0.003999999999999999,-0.002
antennaria,neglecta,1,2,0.008,2005,NA,-9.999999999999992e-4,-0.002
apios,americana,1,1,0.005,1987,NA,NA,0.027
apios,americana,1,7,0.032,1995,NA,0.027,0.027
apocynum,cannabinum,1,41,0.185,1979,NA,NA,-0.002
apocynum,cannabinum,1,42,0.189,1980,NA,0.0040000000000000036,-0.002
apocynum,cannabinum,1,49,0.222,1981,NA,0.033,-0.002
apocynum,cannabinum,1,45,0.203,1982,NA,-0.01899999999999999,-0.002
apocynum,cannabinum,1,31,0.14,1984,NA,-0.063,-0.002
apocynum,cannabinum,1,44,0.199,1987,NA,0.059,-0.002
apocynum,cannabinum,1,56,0.253,1995,NA,0.05399999999999999,-0.002
apocynum,cannabinum,1,41,0.169,2005,NA,-0.08399999999999999,-0.002
arnoglossum,plantagineum,1,3,0.014,1979,NA,NA,-0.002
arnoglossum,plantagineum,1,4,0.018,1980,NA,0.003999999999999998,-0.002
arnoglossum,plantagineum,1,4,0.018,1981,NA,0,-0.002
arnoglossum,plantagineum,1,3,0.014,1982,NA,-0.003999999999999998,-0.002
arnoglossum,plantagineum,1,1,0.005,1984,NA,-0.009000000000000001,-0.002
arnoglossum,plantagineum,1,1,0.005,1995,NA,0,-0.002
arnoglossum,plantagineum,1,1,0.004,2005,NA,-0.001,-0.002
asclepias,incarnata,1,1,0.005,1987,NA,NA,NA
asclepias,syriaca,1,6,0.027,1979,NA,NA,0.005
asclepias,syriaca,1,8,0.036,1980,NA,0.008999999999999998,0.005
asclepias,syriaca,1,8,0.036,1981,NA,0,0.005
asclepias,syriaca,1,12,0.054,1982,NA,0.018000000000000002,0.005
asclepias,syriaca,1,10,0.045,1984,NA,-0.009000000000000001,0.005
asclepias,syriaca,1,12,0.054,1987,NA,0.009000000000000001,0.005
asclepias,syriaca,1,13,0.059,1995,NA,0.0049999999999999975,0.005
asclepias,verticillata,1,1,0.005,1979,NA,NA,0
asclepias,verticillata,1,1,0.005,1980,NA,0,0
asclepias,verticillata,1,2,0.009,1981,NA,0.003999999999999999,0
asclepias,verticillata,1,2,0.009,1982,NA,0,0
asclepias,verticillata,1,1,0.005,1984,NA,-0.003999999999999999,0
asclepias,verticillata,1,1,0.005,1987,NA,0,0
baptisia,alba var. macrophylla,1,3,0.014,1979,NA,NA,-0.001
baptisia,alba var. macrophylla,1,3,0.014,1980,NA,0,-0.001
baptisia,alba var. macrophylla,1,3,0.014,1981,NA,0,-0.001
baptisia,alba var. macrophylla,1,2,0.009,1982,NA,-0.005000000000000001,-0.001
baptisia,alba var. macrophylla,1,5,0.023,1984,NA,0.014,-0.001
baptisia,alba var. macrophylla,1,6,0.027,1987,NA,0.004,-0.001
baptisia,alba var. macrophylla,1,1,0.005,1995,NA,-0.022,-0.001
baptisia,bracteata,1,3,0.014,1979,NA,NA,-0.002
baptisia,bracteata,1,3,0.014,1980,NA,0,-0.002
baptisia,bracteata,1,3,0.014,1981,NA,0,-0.002
baptisia,bracteata,1,3,0.014,1982,NA,0,-0.002
baptisia,bracteata,1,2,0.009,1987,NA,-0.005000000000000001,-0.002
baptisia,bracteata,1,6,0.027,1995,NA,0.018000000000000002,-0.002
baptisia,bracteata,1,1,0.004,2005,NA,-0.023,-0.002
bidens,aristosa,1,4,0.017,2005,NA,NA,NA
bidens,frondosa,1,16,0.072,1979,NA,NA,-0.009
bidens,frondosa,1,19,0.086,1980,NA,0.013999999999999999,-0.009
bidens,frondosa,1,22,0.1,1981,NA,0.014000000000000012,-0.009
bidens,frondosa,1,21,0.095,1982,NA,-0.0050000000000000044,-0.009
bidens,frondosa,1,15,0.068,1984,NA,-0.026999999999999996,-0.009
bidens,frondosa,1,15,0.068,1987,NA,0,-0.009
bidens,frondosa,1,4,0.018,1995,NA,-0.05,-0.009
brickellia,eupatorioides var. corymbulosa,1,2,0.009,1982,NA,NA,0.004
brickellia,eupatorioides var. corymbulosa,1,2,0.009,1984,NA,0,0.004
brickellia,eupatorioides var. corymbulosa,1,4,0.018,1987,NA,0.009,0.004
bromus,kalmii,1,1,0.004,2005,NA,NA,NA
calamagrostis,canadensis,1,25,0.113,1979,NA,NA,0.011
calamagrostis,canadensis,1,27,0.122,1980,NA,0.008999999999999994,0.011
calamagrostis,canadensis,1,31,0.14,1981,NA,0.018000000000000016,0.011
calamagrostis,canadensis,1,27,0.122,1982,NA,-0.018000000000000016,0.011
calamagrostis,canadensis,1,32,0.144,1984,NA,0.021999999999999992,0.011
calamagrostis,canadensis,1,34,0.154,1987,NA,0.010000000000000009,0.011
calamagrostis,canadensis,1,40,0.181,1995,NA,0.026999999999999996,0.011
calamagrostis,canadensis,1,46,0.19,2005,NA,0.009000000000000008,0.011
calystegia,sepium,1,14,0.063,1979,NA,NA,0.002
calystegia,sepium,1,16,0.072,1980,NA,0.008999999999999994,0.002
calystegia,sepium,1,17,0.077,1981,NA,0.0050000000000000044,0.002
calystegia,sepium,1,22,0.099,1982,NA,0.022000000000000006,0.002
calystegia,sepium,1,5,0.023,1984,NA,-0.07600000000000001,0.002
calystegia,sepium,1,13,0.059,1987,NA,0.036,0.002
calystegia,sepium,1,18,0.081,1995,NA,0.022000000000000006,0.002
calystegia,sepium,1,18,0.074,2005,NA,-0.007000000000000006,0.002
carex,bicknellii,1,1,0.005,1995,NA,NA,NA
carex,brevior,1,10,0.045,1995,NA,NA,-0.041
carex,brevior,1,1,0.004,2005,NA,-0.040999999999999995,-0.041
carex,buxbaumii,1,20,0.09,1995,NA,NA,-0.069
carex,buxbaumii,1,5,0.021,2005,NA,-0.06899999999999999,-0.069
carex,cristatella,1,5,0.023,1995,NA,NA,NA
carex,pellita,1,146,0.661,1995,NA,NA,-0.07
carex,pellita,1,143,0.591,2005,NA,-0.07000000000000006,-0.07
carex,pensylvanica,1,1,0.005,1995,NA,NA,NA
carex,sp.,1,67,0.302,1979,NA,NA,0.021
carex,sp.,1,80,0.36,1980,NA,0.057999999999999996,0.021
carex,sp.,1,85,0.385,1981,NA,0.025000000000000022,0.021
carex,sp.,1,77,0.347,1982,NA,-0.038000000000000034,0.021
carex,sp.,1,45,0.203,1984,NA,-0.14399999999999996,0.021
carex,sp.,1,90,0.407,1987,NA,0.20399999999999996,0.021
carex,stricta,1,17,0.077,1995,NA,NA,0.063
carex,stricta,1,34,0.14,2005,NA,0.06300000000000001,0.063
carex,tetanica,1,8,0.036,1995,NA,NA,-0.032
carex,tetanica,1,1,0.004,2005,NA,-0.032,-0.032
celtis,occidentalis,1,1,0.005,1995,NA,NA,NA
cirsium,discolor,1,6,0.027,1979,NA,NA,-0
cirsium,discolor,1,7,0.032,1980,NA,0.005000000000000001,-0
cirsium,discolor,1,10,0.045,1981,NA,0.012999999999999998,-0
cirsium,discolor,1,16,0.072,1982,NA,0.026999999999999996,-0
cirsium,discolor,1,21,0.095,1984,NA,0.023000000000000007,-0
cirsium,discolor,1,15,0.068,1987,NA,-0.026999999999999996,-0
cirsium,discolor,1,14,0.063,1995,NA,-0.0050000000000000044,-0
cirsium,discolor,1,6,0.025,2005,NA,-0.038,-0
comandra,umbellata,1,85,0.383,1979,NA,NA,0.008
comandra,umbellata,1,90,0.405,1980,NA,0.02200000000000002,0.008
comandra,umbellata,1,94,0.425,1981,NA,0.019999999999999962,0.008
comandra,umbellata,1,95,0.428,1982,NA,0.0030000000000000027,0.008
comandra,umbellata,1,101,0.455,1984,NA,0.027000000000000024,0.008
comandra,umbellata,1,103,0.466,1987,NA,0.01100000000000001,0.008
comandra,umbellata,1,124,0.561,1995,NA,0.09500000000000003,0.008
comandra,umbellata,1,107,0.442,2005,NA,-0.11900000000000005,0.008
coreopsis,palmata,1,56,0.252,1979,NA,NA,-0.001
coreopsis,palmata,1,59,0.266,1980,NA,0.014000000000000012,-0.001
coreopsis,palmata,1,60,0.271,1981,NA,0.0050000000000000044,-0.001
coreopsis,palmata,1,61,0.275,1982,NA,0.0040000000000000036,-0.001
coreopsis,palmata,1,65,0.293,1984,NA,0.01799999999999996,-0.001
coreopsis,palmata,1,57,0.258,1987,NA,-0.034999999999999976,-0.001
coreopsis,palmata,1,64,0.29,1995,NA,0.03199999999999997,-0.001
coreopsis,palmata,1,59,0.244,2005,NA,-0.045999999999999985,-0.001
coreopsis,tripteris,1,2,0.009,1979,NA,NA,-0.001
coreopsis,tripteris,1,2,0.009,1980,NA,0,-0.001
coreopsis,tripteris,1,2,0.009,1981,NA,0,-0.001
coreopsis,tripteris,1,2,0.009,1982,NA,0,-0.001
coreopsis,tripteris,1,1,0.005,1984,NA,-0.003999999999999999,-0.001
coreopsis,tripteris,1,1,0.005,1987,NA,0,-0.001
coreopsis,tripteris,1,1,0.004,2005,NA,-0.001,-0.001
cornus,racemosa,1,7,0.032,1979,NA,NA,0.007
cornus,racemosa,1,10,0.045,1980,NA,0.012999999999999998,0.007
cornus,racemosa,1,10,0.045,1981,NA,0,0.007
cornus,racemosa,1,11,0.05,1982,NA,0.0050000000000000044,0.007
cornus,racemosa,1,5,0.023,1984,NA,-0.027000000000000003,0.007
cornus,racemosa,1,7,0.032,1987,NA,0.009000000000000001,0.007
cornus,racemosa,1,11,0.05,1995,NA,0.018000000000000002,0.007
cornus,racemosa,1,20,0.083,2005,NA,0.033,0.007
crataegus,mollis,1,1,0.004,2005,NA,NA,NA
dalea,candida,1,2,0.009,1979,NA,NA,-0.001
dalea,candida,1,2,0.009,1980,NA,0,-0.001
dalea,candida,1,3,0.014,1981,NA,0.005000000000000001,-0.001
dalea,candida,1,2,0.009,1982,NA,-0.005000000000000001,-0.001
dalea,candida,1,1,0.005,1987,NA,-0.003999999999999999,-0.001
dalea,purpurea,1,31,0.14,1979,NA,NA,-0.018
dalea,purpurea,1,33,0.149,1980,NA,0.00899999999999998,-0.018
dalea,purpurea,1,37,0.167,1981,NA,0.018000000000000016,-0.018
dalea,purpurea,1,33,0.149,1982,NA,-0.018000000000000016,-0.018
dalea,purpurea,1,14,0.063,1984,NA,-0.086,-0.018
dalea,purpurea,1,15,0.068,1987,NA,0.0050000000000000044,-0.018
dalea,purpurea,1,7,0.032,1995,NA,-0.036000000000000004,-0.018
dalea,purpurea,1,4,0.017,2005,NA,-0.015,-0.018
desmodium,canadense,1,1,0.005,1987,NA,NA,NA
dichanthelium,acuminatum,1,6,0.027,1979,NA,NA,-0.004
dichanthelium,acuminatum,1,7,0.032,1980,NA,0.005000000000000001,-0.004
dichanthelium,acuminatum,1,7,0.032,1981,NA,0,-0.004
dichanthelium,acuminatum,1,8,0.036,1982,NA,0.003999999999999997,-0.004
dichanthelium,acuminatum,1,2,0.009,1984,NA,-0.026999999999999996,-0.004
dichanthelium,acuminatum,1,4,0.018,1987,NA,0.009,-0.004
dichanthelium,acuminatum,1,1,0.005,1995,NA,-0.012999999999999998,-0.004
dichanthelium,leibergii,1,73,0.329,1979,NA,NA,-0.007
dichanthelium,leibergii,1,77,0.347,1980,NA,0.01799999999999996,-0.007
dichanthelium,leibergii,1,79,0.357,1981,NA,0.010000000000000009,-0.007
dichanthelium,leibergii,1,77,0.347,1982,NA,-0.010000000000000009,-0.007
dichanthelium,leibergii,1,60,0.27,1984,NA,-0.07699999999999996,-0.007
dichanthelium,leibergii,1,76,0.344,1987,NA,0.07399999999999995,-0.007
dichanthelium,leibergii,1,67,0.303,1995,NA,-0.04099999999999998,-0.007
dichanthelium,leibergii,1,68,0.281,2005,NA,-0.021999999999999964,-0.007
dodecatheon,meadia,1,1,0.005,1980,NA,NA,0
dodecatheon,meadia,1,1,0.005,1981,NA,0,0
drymocallis,arguta,1,1,0.005,1979,NA,NA,0.001
drymocallis,arguta,1,1,0.005,1980,NA,0,0.001
drymocallis,arguta,1,1,0.005,1981,NA,0,0.001
drymocallis,arguta,1,1,0.005,1982,NA,0,0.001
drymocallis,arguta,1,2,0.009,1984,NA,0.003999999999999999,0.001
drymocallis,arguta,1,2,0.009,1987,NA,0,0.001
drymocallis,arguta,1,3,0.014,1995,NA,0.005000000000000001,0.001
drymocallis,arguta,1,3,0.012,2005,NA,-0.002,0.001
echinacea,pallida,1,2,0.008,2005,NA,NA,NA
echinacea,purpurea,1,1,0.004,2005,NA,NA,NA
eleocharis,compressa,1,3,0.014,1995,NA,NA,-0.006
eleocharis,compressa,1,2,0.008,2005,NA,-0.006,-0.006
eleocharis,erythropoda,1,1,0.005,1995,NA,NA,NA
eleocharis,palustris,1,6,0.027,1979,NA,NA,-0.002
eleocharis,palustris,1,6,0.027,1980,NA,0,-0.002
eleocharis,palustris,1,6,0.027,1981,NA,0,-0.002
eleocharis,palustris,1,8,0.036,1982,NA,0.008999999999999998,-0.002
eleocharis,palustris,1,3,0.014,1984,NA,-0.022,-0.002
eleocharis,palustris,1,1,0.005,1987,NA,-0.009000000000000001,-0.002
eleocharis,palustris,1,3,0.014,1995,NA,0.009000000000000001,-0.002
eleocharis,sp.,1,3,0.014,1987,NA,NA,NA
elymus,canadensis,1,5,0.023,1980,NA,NA,-0.002
elymus,canadensis,1,8,0.036,1981,NA,0.012999999999999998,-0.002
elymus,canadensis,1,6,0.027,1982,NA,-0.008999999999999998,-0.002
elymus,canadensis,1,4,0.018,1984,NA,-0.009000000000000001,-0.002
elymus,canadensis,1,6,0.027,1987,NA,0.009000000000000001,-0.002
elymus,canadensis,1,3,0.014,1995,NA,-0.013,-0.002
elymus,trachycaulus ssp. subsecundus,1,1,0.005,1984,NA,NA,NA
equisetum,arvense,1,46,0.207,1979,NA,NA,-0.021
equisetum,arvense,1,51,0.23,1980,NA,0.02300000000000002,-0.021
equisetum,arvense,1,51,0.231,1981,NA,0.0010000000000000009,-0.021
equisetum,arvense,1,55,0.248,1982,NA,0.016999999999999987,-0.021
equisetum,arvense,1,37,0.167,1984,NA,-0.08099999999999999,-0.021
equisetum,arvense,1,54,0.244,1987,NA,0.07699999999999999,-0.021
equisetum,arvense,1,40,0.181,1995,NA,-0.063,-0.021
equisetum,arvense,1,14,0.058,2005,NA,-0.123,-0.021
erigeron,annuus,1,3,0.014,1979,NA,NA,-0
erigeron,annuus,1,3,0.014,1980,NA,0,-0
erigeron,annuus,1,3,0.014,1981,NA,0,-0
erigeron,annuus,1,3,0.014,1982,NA,0,-0
erigeron,annuus,1,10,0.045,1995,NA,0.031,-0
erigeron,annuus,1,3,0.012,2005,NA,-0.033,-0
erigeron,philadelphicus,1,2,0.009,1981,NA,NA,NA
erigeron,strigosus,1,53,0.239,1979,NA,NA,-0.034
erigeron,strigosus,1,72,0.324,1980,NA,0.08500000000000002,-0.034
erigeron,strigosus,1,72,0.326,1981,NA,0.0020000000000000018,-0.034
erigeron,strigosus,1,81,0.365,1982,NA,0.03899999999999998,-0.034
erigeron,strigosus,1,51,0.23,1984,NA,-0.13499999999999998,-0.034
erigeron,strigosus,1,35,0.158,1987,NA,-0.07200000000000001,-0.034
erigeron,strigosus,1,12,0.054,1995,NA,-0.10400000000000001,-0.034
erigeron,strigosus,1,1,0.004,2005,NA,-0.05,-0.034
eryngium,yuccifolium,1,65,0.293,1979,NA,NA,0
eryngium,yuccifolium,1,66,0.297,1980,NA,0.0040000000000000036,0
eryngium,yuccifolium,1,67,0.303,1981,NA,0.006000000000000005,0
eryngium,yuccifolium,1,69,0.311,1982,NA,0.008000000000000007,0
eryngium,yuccifolium,1,38,0.171,1984,NA,-0.13999999999999999,0
eryngium,yuccifolium,1,89,0.403,1987,NA,0.232,0
eryngium,yuccifolium,1,89,0.403,1995,NA,0,0
eryngium,yuccifolium,1,71,0.293,2005,NA,-0.11000000000000004,0
eupatorium,altissimum,1,1,0.005,1979,NA,NA,0.006
eupatorium,altissimum,1,2,0.009,1980,NA,0.003999999999999999,0.006
eupatorium,altissimum,1,2,0.009,1981,NA,0,0.006
eupatorium,altissimum,1,1,0.005,1982,NA,-0.003999999999999999,0.006
eupatorium,altissimum,1,16,0.072,1995,NA,0.06699999999999999,0.006
eupatorium,altissimum,1,9,0.037,2005,NA,-0.034999999999999996,0.006
eupatorium,serotinum,1,2,0.009,1995,NA,NA,0.016
eupatorium,serotinum,1,6,0.025,2005,NA,0.016,0.016
euthamia,graminifolia,1,1,0.005,1995,NA,NA,0.007
euthamia,graminifolia,1,3,0.012,2005,NA,0.007,0.007
euthamia,gymnospermoides,1,3,0.014,1979,NA,NA,0
euthamia,gymnospermoides,1,2,0.009,1980,NA,-0.005000000000000001,0
euthamia,gymnospermoides,1,2,0.009,1981,NA,0,0
euthamia,gymnospermoides,1,4,0.018,1982,NA,0.009,0
euthamia,gymnospermoides,1,3,0.014,1984,NA,-0.003999999999999998,0
euthamia,gymnospermoides,1,4,0.018,1987,NA,0.003999999999999998,0
euthamia,gymnospermoides,1,4,0.018,1995,NA,0,0
euthamia,gymnospermoides,1,4,0.017,2005,NA,-9.999999999999974e-4,0
eutrochium,maculatum,1,1,0.005,1981,NA,NA,NA
fragaria,virginiana,1,109,0.491,1979,NA,NA,-0.022
fragaria,virginiana,1,111,0.5,1980,NA,0.009000000000000008,-0.022
fragaria,virginiana,1,115,0.52,1981,NA,0.020000000000000018,-0.022
fragaria,virginiana,1,115,0.518,1982,NA,-0.0020000000000000018,-0.022
fragaria,virginiana,1,133,0.599,1984,NA,0.08099999999999996,-0.022
fragaria,virginiana,1,132,0.597,1987,NA,-0.0020000000000000018,-0.022
fragaria,virginiana,1,107,0.484,1995,NA,-0.11299999999999999,-0.022
fragaria,virginiana,1,82,0.339,2005,NA,-0.14499999999999996,-0.022
fraxinus,pennsylvanica,1,4,0.018,1979,NA,NA,0.004
fraxinus,pennsylvanica,1,10,0.045,1980,NA,0.027,0.004
fraxinus,pennsylvanica,1,9,0.041,1981,NA,-0.003999999999999997,0.004
fraxinus,pennsylvanica,1,8,0.036,1982,NA,-0.0050000000000000044,0.004
fraxinus,pennsylvanica,1,4,0.018,1984,NA,-0.018,0.004
fraxinus,pennsylvanica,1,8,0.036,1995,NA,0.018,0.004
galium,aparine,1,8,0.036,1995,NA,NA,NA
galium,obtusum,1,25,0.113,1995,NA,NA,0.048
galium,obtusum,1,39,0.161,2005,NA,0.048,0.048
galium,sp.,1,29,0.131,1979,NA,NA,0.014
galium,sp.,1,30,0.135,1980,NA,0.0040000000000000036,0.014
galium,sp.,1,35,0.158,1981,NA,0.022999999999999993,0.014
galium,sp.,1,36,0.162,1982,NA,0.0040000000000000036,0.014
galium,sp.,1,27,0.122,1984,NA,-0.04000000000000001,0.014
galium,sp.,1,44,0.199,1987,NA,0.07700000000000001,0.014
galium,tinctorium,1,3,0.014,1995,NA,NA,NA
gentiana,alba,1,1,0.004,2005,NA,NA,NA
gentiana,andrewsii,1,2,0.009,1979,NA,NA,0.005
gentiana,andrewsii,1,2,0.009,1980,NA,0,0.005
gentiana,andrewsii,1,2,0.009,1981,NA,0,0.005
gentiana,andrewsii,1,2,0.009,1982,NA,0,0.005
gentiana,andrewsii,1,6,0.027,1995,NA,0.018000000000000002,0.005
gentiana,puberulenta,1,10,0.045,1979,NA,NA,-0.002
gentiana,puberulenta,1,12,0.054,1980,NA,0.009000000000000001,-0.002
gentiana,puberulenta,1,13,0.059,1981,NA,0.0049999999999999975,-0.002
gentiana,puberulenta,1,11,0.05,1982,NA,-0.008999999999999994,-0.002
gentiana,puberulenta,1,5,0.023,1984,NA,-0.027000000000000003,-0.002
gentiana,puberulenta,1,12,0.054,1987,NA,0.031,-0.002
gentiana,puberulenta,1,8,0.036,1995,NA,-0.018000000000000002,-0.002
gentiana,puberulenta,1,8,0.033,2005,NA,-0.0029999999999999957,-0.002
geum,aleppicum,1,2,0.009,1979,NA,NA,0.036
geum,aleppicum,1,2,0.009,1980,NA,0,0.036
geum,aleppicum,1,2,0.009,1981,NA,0,0.036
geum,aleppicum,1,7,0.032,1982,NA,0.023,0.036
geum,aleppicum,1,1,0.005,1984,NA,-0.027,0.036
geum,aleppicum,1,39,0.176,1995,NA,0.17099999999999999,0.036
geum,aleppicum,1,54,0.223,2005,NA,0.047000000000000014,0.036
geum,canadense,1,6,0.027,1979,NA,NA,-0.002
geum,canadense,1,8,0.036,1980,NA,0.008999999999999998,-0.002
geum,canadense,1,11,0.05,1981,NA,0.014000000000000005,-0.002
geum,canadense,1,9,0.041,1982,NA,-0.009000000000000001,-0.002
geum,canadense,1,17,0.077,1984,NA,0.036,-0.002
geum,canadense,1,44,0.199,1987,NA,0.12200000000000001,-0.002
geum,canadense,1,15,0.068,1995,NA,-0.131,-0.002
geum,canadense,1,3,0.012,2005,NA,-0.05600000000000001,-0.002
glyceria,striata,1,1,0.005,1980,NA,NA,0.001
glyceria,striata,1,1,0.005,1981,NA,0,0.001
glyceria,striata,1,1,0.005,1982,NA,0,0.001
glyceria,striata,1,1,0.005,1987,NA,0,0.001
glyceria,striata,1,3,0.014,1995,NA,0.009000000000000001,0.001
glyceria,striata,1,2,0.008,2005,NA,-0.006,0.001
helianthus,grosseserratus,1,26,0.117,1979,NA,NA,0.013
helianthus,grosseserratus,1,31,0.14,1980,NA,0.023000000000000007,0.013
helianthus,grosseserratus,1,32,0.145,1981,NA,0.004999999999999977,0.013
helianthus,grosseserratus,1,39,0.176,1982,NA,0.031,0.013
helianthus,grosseserratus,1,49,0.221,1984,NA,0.04500000000000001,0.013
helianthus,grosseserratus,1,61,0.276,1987,NA,0.05500000000000002,0.013
helianthus,grosseserratus,1,46,0.208,1995,NA,-0.06800000000000003,0.013
helianthus,grosseserratus,1,50,0.207,2005,NA,-0.0010000000000000009,0.013
