genus,species,percent_cover,plot,native,richness,year,c_value
allium,cernuum,3,F2,1,1,1979,7
ambrosia,artemisiifolia,1,F2,1,1,1979,0
andropogon,gerardii,4,F2,1,1,1979,5
symphyotrichum,ericoides,4,F2,1,1,1979,6
symphyotrichum,laeve,8,F2,1,1,1979,9
symphyotrichum,pilosum,2,F2,1,1,1979,0
comandra,umbellata,4,F2,1,1,1979,9
eryngium,yuccifolium,3,F2,1,1,1979,9
fragaria,virginiana,15,F2,1,1,1979,0
dichanthelium,leibergii,1,F2,1,1,1979,10
parthenium,integrifolium,4,F2,1,1,1979,8
dalea,purpurea,3,F2,1,1,1979,9
poa,compressa,1,F2,0,1,1979,0
ratibida,pinnata,10,F2,1,1,1979,4
rosa,carolina,10,F2,1,1,1979,5
maianthemum,stellatum,5,F2,1,1,1979,5
solidago,rigida,35,F2,1,1,1979,3
viola,sororia,1,F2,1,1,1979,3
allium,canadense,2,G2,1,1,1979,3
symphyotrichum,ericoides,6,G2,1,1,1979,6
symphyotrichum,laeve,3,G2,1,1,1979,9
comandra,umbellata,2,G2,1,1,1979,9
helianthus,grosseserratus,4,G2,1,1,1979,4
panicum,virgatum,3,G2,1,1,1979,3
ratibida,pinnata,10,G2,1,1,1979,4
rosa,carolina,5,G2,1,1,1979,5
packera,paupercula,2,G2,1,1,1979,4
solidago,canadensis,3,G2,1,1,1979,1
solidago,rigida,8,G2,1,1,1979,3
sporobolus,heterolepis,10,G2,1,1,1979,10
viola,sororia,1,G2,1,1,1979,3
achillea,millefolium,1,H2,1,1,1979,0
ambrosia,artemisiifolia,1,H2,1,1,1979,0
symphyotrichum,ericoides,6,H2,1,1,1979,6
carex,sp.,15,H2,1,1,1979,7
comandra,umbellata,4,H2,1,1,1979,9
calystegia,sepium,2,H2,1,1,1979,1
daucus,carota,1,H2,0,1,1979,0
equisetum,arvense,3,H2,1,1,1979,0
fragaria,virginiana,3,H2,1,1,1979,0
galium,sp.,4,H2,1,1,1979,5
lactuca,canadensis,2,H2,1,1,1979,1
lycopus,americanus,1,H2,1,1,1979,4
melilotus,officinalis,1,H2,0,1,1979,0
panicum,virgatum,35,H2,1,1,1979,3
pycnanthemum,virginianum,1,H2,1,1,1979,5
ratibida,pinnata,2,H2,1,1,1979,4
rosa,carolina,15,H2,1,1,1979,5
solidago,canadensis,6,H2,1,1,1979,1
solidago,rigida,2,H2,1,1,1979,3
allium,canadense,1,I2,1,1,1979,3
ambrosia,artemisiifolia,3,I2,1,1,1979,0
apocynum,cannabinum,20,I2,1,1,1979,2
symphyotrichum,novae-angliae,1,I2,1,1,1979,3
carex,sp.,40,I2,1,1,1979,7
fragaria,virginiana,1,I2,1,1,1979,0
galium,sp.,6,I2,1,1,1979,5
lycopus,americanus,10,I2,1,1,1979,4
panicum,virgatum,10,I2,1,1,1979,3
spartina,pectinata,4,I2,1,1,1979,4
ambrosia,artemisiifolia,1,J2,1,1,1979,0
apocynum,cannabinum,40,J2,1,1,1979,2
bidens,frondosa,3,J2,1,1,1979,1
carex,sp.,20,J2,1,1,1979,7
panicum,virgatum,15,J2,1,1,1979,3
apocynum,cannabinum,15,K2,1,1,1979,2
bidens,frondosa,3,K2,1,1,1979,1
carex,sp.,65,K2,1,1,1979,7
ambrosia,artemisiifolia,2,L2,1,1,1979,0
apocynum,cannabinum,5,L2,1,1,1979,2
symphyotrichum,sp.,3,L2,1,1,1979,6
bidens,frondosa,3,L2,1,1,1979,1
carex,sp.,10,L2,1,1,1979,7
cirsium,vulgare,3,L2,0,1,1979,0
daucus,carota,2,L2,0,1,1979,0
melilotus,officinalis,4,L2,0,1,1979,0
poa,pratensis,2,L2,0,1,1979,0
solanum,dulcamara,40,L2,0,1,1979,0
spartina,pectinata,4,L2,1,1,1979,4
syringa,vulgaris,25,L2,0,1,1979,0
trifolium,pratense,3,L2,0,1,1979,0
ambrosia,artemisiifolia,1,A3,1,1,1979,0
ambrosia,trifida,40,A3,1,1,1979,0
symphyotrichum,laeve,15,A3,1,1,1979,9
cirsium,vulgare,3,A3,0,1,1979,0
calystegia,sepium,10,A3,1,1,1979,1
daucus,carota,3,A3,0,1,1979,0
schedonorus,arundinaceus,15,A3,0,1,1979,0
fragaria,virginiana,15,A3,1,1,1979,0
helianthus,grosseserratus,2,A3,1,1,1979,4
potentilla,simplex,5,A3,1,1,1979,3
rosa,carolina,25,A3,1,1,1979,5
solanum,dulcamara,3,A3,0,1,1979,0
ambrosia,artemisiifolia,1,B3,1,1,1979,0
symphyotrichum,ericoides,1,B3,1,1,1979,6
symphyotrichum,laeve,2,B3,1,1,1979,9
comandra,umbellata,3,B3,1,1,1979,9
daucus,carota,1,B3,0,1,1979,0
equisetum,arvense,1,B3,1,1,1979,0
fragaria,virginiana,2,B3,1,1,1979,0
poa,compressa,1,B3,0,1,1979,0
poa,pratensis,1,B3,0,1,1979,0
ratibida,pinnata,20,B3,1,1,1979,4
rosa,carolina,3,B3,1,1,1979,5
silphium,terebinthinaceum,15,B3,1,1,1979,5
solidago,rigida,30,B3,1,1,1979,3
symphyotrichum,ericoides,5,C3,1,1,1979,6
symphyotrichum,laeve,3,C3,1,1,1979,9
comandra,umbellata,10,C3,1,1,1979,9
fragaria,virginiana,15,C3,1,1,1979,0
pycnanthemum,virginianum,3,C3,1,1,1979,5
ratibida,pinnata,10,C3,1,1,1979,4
rosa,carolina,4,C3,1,1,1979,5
solidago,rigida,18,C3,1,1,1979,3
sporobolus,heterolepis,5,C3,1,1,1979,10
veronicastrum,virginicum,4,C3,1,1,1979,8
viola,sororia,2,C3,1,1,1979,3
elymus,repens,3,D3,0,1,1979,0
allium,cernuum,8,D3,1,1,1979,7
symphyotrichum,laeve,3,D3,1,1,1979,9
carex,sp.,1,D3,1,1,1979,7
eryngium,yuccifolium,5,D3,1,1,1979,9
oxalis,stricta,3,D3,1,1,1979,0
parthenium,integrifolium,8,D3,1,1,1979,8
potentilla,simplex,5,D3,1,1,1979,3
ratibida,pinnata,7,D3,1,1,1979,4
rosa,carolina,5,D3,1,1,1979,5
scutellaria,parvula,2,D3,1,1,1979,7
solidago,rigida,15,D3,1,1,1979,3
sporobolus,heterolepis,20,D3,1,1,1979,10
zizia,aurea,45,D3,1,1,1979,5
allium,canadense,1,E3,1,1,1979,3
andropogon,gerardii,70,E3,1,1,1979,5
symphyotrichum,laeve,3,E3,1,1,1979,9
comandra,umbellata,1,E3,1,1,1979,9
coreopsis,palmata,5,E3,1,1,1979,10
liatris,sp.,2,E3,1,1,1979,7
dichanthelium,leibergii,4,E3,1,1,1979,10
pedicularis,canadensis,3,E3,1,1,1979,9
potentilla,simplex,2,E3,1,1,1979,3
ratibida,pinnata,8,E3,1,1,1979,4
rosa,carolina,15,E3,1,1,1979,5
silphium,terebinthinaceum,15,E3,1,1,1979,5
maianthemum,stellatum,8,E3,1,1,1979,5
viola,sororia,3,E3,1,1,1979,3
zizia,aurea,10,E3,1,1,1979,5
amorpha,canescens,20,F3,1,1,1979,10
symphyotrichum,laeve,15,F3,1,1,1979,9
symphyotrichum,novae-angliae,3,F3,1,1,1979,3
calystegia,sepium,2,F3,1,1,1979,1
coreopsis,palmata,10,F3,1,1,1979,10
eryngium,yuccifolium,5,F3,1,1,1979,9
fragaria,virginiana,7,F3,1,1,1979,0
lathyrus,palustris,1,F3,1,1,1979,7
liatris,sp.,2,F3,1,1,1979,7
dichanthelium,leibergii,12,F3,1,1,1979,10
dalea,purpurea,2,F3,1,1,1979,9
phlox,pilosa ssp. fulgida,2,F3,1,1,1979,8
rosa,carolina,8,F3,1,1,1979,5
silphium,terebinthinaceum,3,F3,1,1,1979,5
sisyrinchium,albidum,1,F3,1,1,1979,6
solidago,rigida,20,F3,1,1,1979,3
vinca,minor,3,F3,0,1,1979,0
viola,sororia,4,F3,1,1,1979,3
zizia,aurea,40,F3,1,1,1979,5
allium,cernuum,10,G3,1,1,1979,7
andropogon,gerardii,25,G3,1,1,1979,5
symphyotrichum,laeve,30,G3,1,1,1979,9
comandra,umbellata,7,G3,1,1,1979,9
calystegia,sepium,4,G3,1,1,1979,1
coreopsis,palmata,8,G3,1,1,1979,10
eryngium,yuccifolium,15,G3,1,1,1979,9
lathyrus,palustris,2,G3,1,1,1979,7
dichanthelium,leibergii,10,G3,1,1,1979,10
phlox,pilosa ssp. fulgida,3,G3,1,1,1979,8
ratibida,pinnata,8,G3,1,1,1979,4
silphium,laciniatum,12,G3,1,1,1979,5
silphium,terebinthinaceum,3,G3,1,1,1979,5
maianthemum,stellatum,3,G3,1,1,1979,5
elymus,repens,25,H3,0,1,1979,0
allium,canadense,1,H3,1,1,1979,3
symphyotrichum,ericoides,5,H3,1,1,1979,6
symphyotrichum,pilosum,1,H3,1,1,1979,0
comandra,umbellata,20,H3,1,1,1979,9
daucus,carota,3,H3,0,1,1979,0
equisetum,arvense,1,H3,1,1,1979,0
fragaria,virginiana,3,H3,1,1,1979,0
rosa,carolina,5,H3,1,1,1979,5
silphium,laciniatum,10,H3,1,1,1979,5
solidago,rigida,10,H3,1,1,1979,3
ulmus,rubra,2,H3,1,1,1979,4
zizia,aurea,35,H3,1,1,1979,5
allium,cernuum,8,I3,1,1,1979,7
symphyotrichum,ericoides,8,I3,1,1,1979,6
symphyotrichum,laeve,1,I3,1,1,1979,9
comandra,umbellata,20,I3,1,1,1979,9
fragaria,virginiana,10,I3,1,1,1979,0
dichanthelium,leibergii,4,I3,1,1,1979,10
solidago,sp.,5,I3,1,1,1979,5
sporobolus,heterolepis,35,I3,1,1,1979,10
tradescantia,ohiensis,3,I3,1,1,1979,3
zizia,aurea,15,I3,1,1,1979,5
allium,cernuum,2,J3,1,1,1979,7
ambrosia,artemisiifolia,10,J3,1,1,1979,0
bidens,frondosa,3,J3,1,1,1979,1
erigeron,strigosus,1,J3,1,1,1979,5
eryngium,yuccifolium,4,J3,1,1,1979,9
fragaria,virginiana,5,J3,1,1,1979,0
dichanthelium,leibergii,2,J3,1,1,1979,10
pycnanthemum,virginianum,40,J3,1,1,1979,5
rosa,carolina,25,J3,1,1,1979,5
silphium,laciniatum,8,J3,1,1,1979,5
viola,sororia,2,J3,1,1,1979,3
carex,sp.,85,K3,1,1,1979,7
apocynum,cannabinum,8,L3,1,1,1979,2
bidens,frondosa,4,L3,1,1,1979,1
carex,sp.,45,L3,1,1,1979,7
daucus,carota,1,L3,0,1,1979,0
galium,sp.,3,L3,1,1,1979,5
ambrosia,trifida,40,A4,1,1,1979,0
symphyotrichum,ericoides,8,A4,1,1,1979,6
bidens,frondosa,15,A4,1,1,1979,1
calamagrostis,canadensis,25,A4,1,1,1979,6
carex,sp.,15,A4,1,1,1979,7
calystegia,sepium,4,A4,1,1,1979,1
polygonum,sp.,2,A4,1,1,1979,2
rosa,multiflora,5,A4,0,1,1979,0
solanum,dulcamara,15,A4,0,1,1979,0
allium,canadense,2,B4,1,1,1979,3
symphyotrichum,ericoides,15,B4,1,1,1979,6
carex,sp.,15,B4,1,1,1979,7
cirsium,vulgare,1,B4,0,1,1979,0
calystegia,sepium,2,B4,1,1,1979,1
erigeron,annuus,3,B4,1,1,1979,0
lycopus,americanus,3,B4,1,1,1979,4
rosa,carolina,20,B4,1,1,1979,5
rudbeckia,hirta,1,B4,1,1,1979,1
silphium,terebinthinaceum,4,B4,1,1,1979,5
solidago,rigida,2,B4,1,1,1979,3
tradescantia,ohiensis,10,B4,1,1,1979,3
allium,cernuum,5,C4,1,1,1979,7
symphyotrichum,novae-angliae,10,C4,1,1,1979,3
comandra,umbellata,5,C4,1,1,1979,9
eryngium,yuccifolium,3,C4,1,1,1979,9
fragaria,virginiana,6,C4,1,1,1979,0
juncus,balticus ssp. littoralis,4,C4,1,1,1979,2
lobelia,spicata,1,C4,1,1,1979,4
lycopus,americanus,2,C4,1,1,1979,4
dalea,purpurea,1,C4,1,1,1979,9
pycnanthemum,virginianum,20,C4,1,1,1979,5
rosa,carolina,30,C4,1,1,1979,5
silphium,terebinthinaceum,10,C4,1,1,1979,5
spartina,pectinata,2,C4,1,1,1979,4
sporobolus,heterolepis,4,C4,1,1,1979,10
tradescantia,ohiensis,2,C4,1,1,1979,3
allium,cernuum,5,D4,1,1,1979,7
ambrosia,artemisiifolia,3,D4,1,1,1979,0
apocynum,cannabinum,5,D4,1,1,1979,2
symphyotrichum,novae-angliae,15,D4,1,1,1979,3
carex,sp.,3,D4,1,1,1979,7
calystegia,sepium,4,D4,1,1,1979,1
galium,sp.,4,D4,1,1,1979,5
lycopus,americanus,3,D4,1,1,1979,4
oenothera,biennis,2,D4,1,1,1979,0
dichanthelium,leibergii,1,D4,1,1,1979,10
pycnanthemum,virginianum,30,D4,1,1,1979,5
sphenopholis,obtusata,3,D4,1,1,1979,4
tradescantia,ohiensis,2,D4,1,1,1979,3
veronicastrum,virginicum,15,D4,1,1,1979,8
symphyotrichum,laeve,2,E4,1,1,1979,9
symphyotrichum,pilosum,2,E4,1,1,1979,0
baptisia,bracteata,8,E4,1,1,1979,10
comandra,umbellata,2,E4,1,1,1979,9
coreopsis,palmata,5,E4,1,1,1979,10
eryngium,yuccifolium,15,E4,1,1,1979,9
galium,sp.,3,E4,1,1,1979,5
heuchera,richardsonii,3,E4,1,1,1979,10
dichanthelium,leibergii,25,E4,1,1,1979,10
ratibida,pinnata,3,E4,1,1,1979,4
rosa,carolina,10,E4,1,1,1979,5
silphium,terebinthinaceum,2,E4,1,1,1979,5
solidago,rigida,25,E4,1,1,1979,3
spartina,pectinata,4,E4,1,1,1979,4
viola,sororia,1,E4,1,1,1979,3
symphyotrichum,ericoides,8,F4,1,1,1979,6
symphyotrichum,laeve,3,F4,1,1,1979,9
arnoglossum,plantagineum,2,F4,1,1,1979,10
comandra,umbellata,5,F4,1,1,1979,9
coreopsis,palmata,8,F4,1,1,1979,10
eryngium,yuccifolium,15,F4,1,1,1979,9
gentiana,puberulenta,5,F4,1,1,1979,10
dichanthelium,leibergii,10,F4,1,1,1979,10
dalea,purpurea,3,F4,1,1,1979,9
potentilla,simplex,3,F4,1,1,1979,3
rosa,carolina,5,F4,1,1,1979,5
maianthemum,stellatum,3,F4,1,1,1979,5
solidago,rigida,20,F4,1,1,1979,3
sporobolus,heterolepis,3,F4,1,1,1979,10
zizia,aurea,8,F4,1,1,1979,5
allium,cernuum,1,G4,1,1,1979,7
comandra,umbellata,5,G4,1,1,1979,9
coreopsis,palmata,10,G4,1,1,1979,10
coreopsis,tripteris,1,G4,1,1,1979,5
equisetum,arvense,2,G4,1,1,1979,0
eryngium,yuccifolium,8,G4,1,1,1979,9
liatris,sp.,15,G4,1,1,1979,7
lobelia,spicata,1,G4,1,1,1979,4
dichanthelium,leibergii,10,G4,1,1,1979,10
dalea,purpurea,4,G4,1,1,1979,9
phlox,pilosa ssp. fulgida,2,G4,1,1,1979,8
drymocallis,arguta,6,G4,1,1,1979,10
ratibida,pinnata,4,G4,1,1,1979,4
rosa,carolina,3,G4,1,1,1979,5
silphium,laciniatum,15,G4,1,1,1979,5
viola,pedatifida,1,G4,1,1,1979,9
zizia,aurea,20,G4,1,1,1979,5
acer,negundo,8,H4,1,1,1979,0
elymus,repens,20,H4,0,1,1979,0
allium,canadense,3,H4,1,1,1979,3
ambrosia,artemisiifolia,2,H4,1,1,1979,0
symphyotrichum,laeve,4,H4,1,1,1979,9
comandra,umbellata,8,H4,1,1,1979,9
convolvulus,arvensis,8,H4,0,1,1979,0
coreopsis,palmata,5,H4,1,1,1979,10
dichanthelium,leibergii,10,H4,1,1,1979,10
phlox,pilosa ssp. fulgida,1,H4,1,1,1979,8
