genus,species,native,n,fraction,year,plot
symphyotrichum,laeve,1,56,0.231,2005,NA
daucus,carota,0,51,0.23,1979,NA
maianthemum,stellatum,1,51,0.23,1979,NA
equisetum,arvense,1,51,0.23,1980,NA
poa,pratensis,0,51,0.23,1980,NA
tradescantia,ohiensis,1,51,0.23,1980,NA
pycnanthemum,virginianum,1,51,0.23,1982,NA
erigeron,strigosus,1,51,0.23,1984,NA
pycnanthemum,virginianum,1,51,0.23,1984,NA
symphyotrichum,pilosum,1,50,0.226,1981,NA
solidago,canadensis,1,50,0.226,1995,NA
ambrosia,artemisiifolia,1,50,0.225,1980,NA
liatris,sp.,1,50,0.225,1982,NA
geum,aleppicum,1,54,0.223,2005,NA
apocynum,cannabinum,1,49,0.222,1981,NA
ambrosia,artemisiifolia,1,49,0.221,1979,NA
solidago,canadensis,1,49,0.221,1979,NA
helianthus,grosseserratus,1,49,0.221,1984,NA
poa,pratensis,0,49,0.221,1984,NA
pycnanthemum,virginianum,1,53,0.219,2005,NA
poa,compressa,0,48,0.217,1981,NA
pycnanthemum,virginianum,1,48,0.216,1980,NA
solidago,rigida,1,52,0.215,2005,NA
allium,canadense,1,47,0.212,1979,NA
ambrosia,artemisiifolia,1,47,0.212,1982,NA
symphyotrichum,pilosum,1,47,0.212,1982,NA
andropogon,gerardii,1,47,0.212,1984,NA
helianthus,grosseserratus,1,46,0.208,1995,NA
equisetum,arvense,1,46,0.207,1979,NA
pycnanthemum,virginianum,1,46,0.207,1979,NA
tradescantia,ohiensis,1,46,0.207,1979,NA
poa,compressa,0,46,0.207,1980,NA
helianthus,grosseserratus,1,50,0.207,2005,NA
silphium,laciniatum,1,45,0.204,1987,NA
viola,sororia,1,45,0.204,1987,NA
apocynum,cannabinum,1,45,0.203,1982,NA
poa,compressa,0,45,0.203,1982,NA
carex,sp.,1,45,0.203,1984,NA
apocynum,cannabinum,1,44,0.199,1987,NA
galium,sp.,1,44,0.199,1987,NA
geum,canadense,1,44,0.199,1987,NA
scutellaria,parvula,1,44,0.199,1987,NA
liatris,sp.,1,43,0.195,1981,NA
sporobolus,heterolepis,1,43,0.195,1987,NA
symphyotrichum,ericoides,1,43,0.194,1984,NA
silphium,laciniatum,1,42,0.19,1981,NA
achillea,millefolium,1,42,0.19,1987,NA
calamagrostis,canadensis,1,46,0.19,2005,NA
allium,canadense,1,42,0.189,1980,NA
apocynum,cannabinum,1,42,0.189,1980,NA
symphyotrichum,pilosum,1,42,0.189,1980,NA
lycopus,americanus,1,42,0.189,1982,NA
ambrosia,trifida,1,41,0.186,1981,NA
scutellaria,parvula,1,41,0.186,1981,NA
sporobolus,heterolepis,1,41,0.186,1981,NA
apocynum,cannabinum,1,41,0.185,1979,NA
ambrosia,trifida,1,41,0.185,1980,NA
silphium,laciniatum,1,41,0.185,1982,NA
sporobolus,heterolepis,1,41,0.185,1982,NA
calamagrostis,canadensis,1,40,0.181,1995,NA
equisetum,arvense,1,40,0.181,1995,NA
silphium,laciniatum,1,40,0.18,1980,NA
scutellaria,parvula,1,40,0.18,1982,NA
sporobolus,heterolepis,1,40,0.18,1984,NA
liatris,aspera,1,43,0.178,2005,NA
sporobolus,heterolepis,1,43,0.178,2005,NA
helianthus,grosseserratus,1,39,0.176,1982,NA
rudbeckia,hirta,1,39,0.176,1982,NA
scutellaria,parvula,1,39,0.176,1984,NA
silphium,laciniatum,1,39,0.176,1984,NA
geum,aleppicum,1,39,0.176,1995,NA
rudbeckia,hirta,1,38,0.172,1981,NA
lycopus,americanus,1,38,0.172,1987,NA
eryngium,yuccifolium,1,38,0.171,1984,NA
apocynum,cannabinum,1,41,0.169,2005,NA
ambrosia,trifida,1,37,0.167,1979,NA
sporobolus,heterolepis,1,37,0.167,1980,NA
andropogon,gerardii,1,37,0.167,1981,NA
dalea,purpurea,1,37,0.167,1981,NA
lycopus,americanus,1,37,0.167,1981,NA
equisetum,arvense,1,37,0.167,1984,NA
maianthemum,stellatum,1,37,0.167,1987,NA
zizia,aurea,1,37,0.167,1995,NA
ambrosia,artemisiifolia,1,36,0.163,1987,NA
spartina,pectinata,1,36,0.163,1987,NA
sporobolus,heterolepis,1,36,0.163,1995,NA
liatris,sp.,1,36,0.162,1980,NA
ambrosia,trifida,1,36,0.162,1982,NA
andropogon,gerardii,1,36,0.162,1982,NA
galium,sp.,1,36,0.162,1982,NA
viola,sororia,1,36,0.162,1982,NA
achillea,millefolium,1,36,0.162,1984,NA
galium,obtusum,1,39,0.161,2005,NA
lycopus,americanus,1,35,0.158,1980,NA
galium,sp.,1,35,0.158,1981,NA
spartina,pectinata,1,35,0.158,1982,NA
erigeron,strigosus,1,35,0.158,1987,NA
spartina,pectinata,1,35,0.158,1995,NA
viola,sororia,1,34,0.154,1981,NA
allium,canadense,1,34,0.154,1987,NA
calamagrostis,canadensis,1,34,0.154,1987,NA
liatris,sp.,1,34,0.154,1987,NA
symphyotrichum,pilosum,1,34,0.154,1987,NA
poa,compressa,0,34,0.153,1979,NA
silphium,laciniatum,1,34,0.153,1979,NA
sporobolus,heterolepis,1,34,0.153,1979,NA
andropogon,gerardii,1,33,0.149,1980,NA
dalea,purpurea,1,33,0.149,1980,NA
dalea,purpurea,1,33,0.149,1982,NA
liatris,spicata,1,33,0.149,1984,NA
helianthus,grosseserratus,1,32,0.145,1981,NA
allium,canadense,1,32,0.145,1995,NA
achillea,millefolium,1,35,0.145,2005,NA
rudbeckia,hirta,1,32,0.144,1980,NA
achillea,millefolium,1,32,0.144,1982,NA
calamagrostis,canadensis,1,32,0.144,1984,NA
maianthemum,stellatum,1,32,0.144,1984,NA
viola,sororia,1,32,0.144,1984,NA
dalea,purpurea,1,31,0.14,1979,NA
helianthus,grosseserratus,1,31,0.14,1980,NA
scutellaria,parvula,1,31,0.14,1980,NA
calamagrostis,canadensis,1,31,0.14,1981,NA
spartina,pectinata,1,31,0.14,1981,NA
apocynum,cannabinum,1,31,0.14,1984,NA
symphyotrichum,pilosum,1,31,0.14,1984,NA
poa,compressa,0,31,0.14,1987,NA
carex,stricta,1,34,0.14,2005,NA
viola,sororia,1,34,0.14,2005,NA
lycopus,americanus,1,30,0.136,1995,NA
rudbeckia,hirta,1,30,0.136,1995,NA
symphyotrichum,ericoides,1,30,0.136,1995,NA
andropogon,gerardii,1,30,0.135,1979,NA
galium,sp.,1,30,0.135,1980,NA
spartina,pectinata,1,30,0.135,1980,NA
lycopus,americanus,1,30,0.135,1984,NA
galium,sp.,1,29,0.131,1979,NA
viola,sororia,1,29,0.131,1980,NA
panicum,virgatum,1,29,0.131,1981,NA
spartina,pectinata,1,29,0.131,1984,NA
lycopus,americanus,1,28,0.126,1979,NA
viola,sororia,1,28,0.126,1979,NA
ambrosia,trifida,1,28,0.126,1984,NA
calamagrostis,canadensis,1,27,0.122,1980,NA
elymus,repens,0,27,0.122,1981,NA
calamagrostis,canadensis,1,27,0.122,1982,NA
panicum,virgatum,1,27,0.122,1982,NA
galium,sp.,1,27,0.122,1984,NA
parthenium,integrifolium,1,27,0.122,1987,NA
rudbeckia,hirta,1,27,0.122,1987,NA
silphium,integrifolium,1,27,0.122,1987,NA
zizia,aurea,1,29,0.12,2005,NA
achillea,millefolium,1,26,0.118,1981,NA
panicum,virgatum,1,26,0.118,1987,NA
helianthus,grosseserratus,1,26,0.117,1979,NA
spartina,pectinata,1,26,0.117,1979,NA
elymus,repens,0,26,0.117,1980,NA
allium,canadense,1,26,0.117,1984,NA
calamagrostis,canadensis,1,25,0.113,1979,NA
liatris,sp.,1,25,0.113,1979,NA
achillea,millefolium,1,25,0.113,1980,NA
parthenium,integrifolium,1,25,0.113,1982,NA
silphium,integrifolium,1,25,0.113,1982,NA
liatris,spicata,1,25,0.113,1987,NA
galium,obtusum,1,25,0.113,1995,NA
silphium,integrifolium,1,25,0.113,1995,NA
parthenium,integrifolium,1,24,0.109,1981,NA
potentilla,simplex,1,24,0.109,1981,NA
phlox,pilosa ssp. fulgida,1,24,0.109,1987,NA
parthenium,integrifolium,1,24,0.109,1995,NA
elymus,repens,0,24,0.108,1979,NA
solidago,riddellii,1,24,0.108,1982,NA
taraxacum,officinale,0,24,0.108,1982,NA
panicum,virgatum,1,24,0.108,1984,NA
maianthemum,stellatum,1,26,0.107,2005,NA
solidago,gigantea,1,26,0.107,2005,NA
symphyotrichum,pilosum,1,23,0.104,1979,NA
panicum,virgatum,1,23,0.104,1980,NA
parthenium,integrifolium,1,23,0.104,1980,NA
silphium,integrifolium,1,23,0.104,1981,NA
taraxacum,officinale,0,23,0.104,1981,NA
elymus,repens,0,23,0.104,1982,NA
potentilla,simplex,1,23,0.104,1982,NA
ambrosia,trifida,1,23,0.104,1987,NA
solidago,riddellii,1,23,0.104,1987,NA
prunella,vulgaris ssp. lanceolata,1,23,0.104,1995,NA
bidens,frondosa,1,22,0.1,1981,NA
phlox,pilosa ssp. fulgida,1,22,0.1,1981,NA
solidago,riddellii,1,22,0.1,1981,NA
symphyotrichum,pilosum,1,22,0.1,1995,NA
rudbeckia,hirta,1,22,0.099,1979,NA
calystegia,sepium,1,22,0.099,1982,NA
parthenium,integrifolium,1,21,0.095,1979,NA
silphium,integrifolium,1,21,0.095,1979,NA
silphium,integrifolium,1,21,0.095,1980,NA
bidens,frondosa,1,21,0.095,1982,NA
cirsium,discolor,1,21,0.095,1984,NA
parthenium,integrifolium,1,21,0.095,1984,NA
symphyotrichum,lanceolatum,1,21,0.095,1987,NA
symphyotrichum,novae-angliae,1,21,0.095,1987,NA
andropogon,gerardii,1,21,0.095,1995,NA
oenothera,biennis,1,21,0.095,1995,NA
symphyotrichum,lanceolatum,1,21,0.095,1995,NA
lithospermum,canescens,1,23,0.095,2005,NA
andropogon,gerardii,1,22,0.091,2005,NA
achillea,millefolium,1,20,0.09,1979,NA
potentilla,simplex,1,20,0.09,1980,NA
taraxacum,officinale,0,20,0.09,1980,NA
agrostis,gigantea,0,20,0.09,1981,NA
oenothera,biennis,1,20,0.09,1981,NA
lithospermum,canescens,1,20,0.09,1982,NA
schedonorus,arundinaceus,0,20,0.09,1982,NA
solanum,dulcamara,0,20,0.09,1982,NA
symphyotrichum,novae-angliae,1,20,0.09,1982,NA
potentilla,simplex,1,20,0.09,1987,NA
carex,buxbaumii,1,20,0.09,1995,NA
lycopus,americanus,1,21,0.087,2005,NA
symphyotrichum,ericoides,1,21,0.087,2005,NA
bidens,frondosa,1,19,0.086,1980,NA
phlox,pilosa ssp. fulgida,1,19,0.086,1980,NA
solidago,riddellii,1,19,0.086,1980,NA
heserostipa,spartea,1,19,0.086,1981,NA
lithospermum,canescens,1,19,0.086,1981,NA
symphyotrichum,novae-angliae,1,19,0.086,1981,NA
phlox,pilosa ssp. fulgida,1,19,0.086,1982,NA
ambrosia,artemisiifolia,1,19,0.086,1984,NA
poa,compressa,0,19,0.086,1984,NA
silphium,integrifolium,1,19,0.086,1984,NA
lithospermum,canescens,1,19,0.086,1987,NA
solidago,gigantea,1,19,0.086,1995,NA
cornus,racemosa,1,20,0.083,2005,NA
phlox,pilosa ssp. fulgida,1,18,0.081,1979,NA
heserostipa,spartea,1,18,0.081,1980,NA
schedonorus,arundinaceus,0,18,0.081,1981,NA
oenothera,biennis,1,18,0.081,1982,NA
rhamnus,cathartica,0,18,0.081,1982,NA
rudbeckia,hirta,1,18,0.081,1984,NA
calystegia,sepium,1,18,0.081,1995,NA
liatris,spicata,1,18,0.081,1995,NA
lithospermum,canescens,1,18,0.081,1995,NA
monarda,fistulosa,1,19,0.079,2005,NA
rhamnus,cathartica,0,19,0.079,2005,NA
taraxacum,officinale,0,17,0.077,1979,NA
schedonorus,arundinaceus,0,17,0.077,1980,NA
calystegia,sepium,1,17,0.077,1981,NA
daucus,carota,0,17,0.077,1984,NA
geum,canadense,1,17,0.077,1984,NA
schedonorus,arundinaceus,0,17,0.077,1987,NA
ambrosia,artemisiifolia,1,17,0.077,1995,NA
carex,stricta,1,17,0.077,1995,NA
sorghastrum,nutans,1,17,0.077,1995,NA
calystegia,sepium,1,18,0.074,2005,NA
veronicastrum,virginicum,1,18,0.074,2005,NA
bidens,frondosa,1,16,0.072,1979,NA
schedonorus,arundinaceus,0,16,0.072,1979,NA
calystegia,sepium,1,16,0.072,1980,NA
lithospermum,canescens,1,16,0.072,1980,NA
oenothera,biennis,1,16,0.072,1980,NA
melilotus,officinalis,0,16,0.072,1981,NA
rhamnus,cathartica,0,16,0.072,1981,NA
solanum,dulcamara,0,16,0.072,1981,NA
cirsium,discolor,1,16,0.072,1982,NA
eupatorium,altissimum,1,16,0.072,1995,NA
heserostipa,spartea,1,16,0.072,1995,NA
panicum,virgatum,1,16,0.072,1995,NA
parthenium,integrifolium,1,17,0.07,2005,NA
silphium,integrifolium,1,17,0.07,2005,NA
panicum,virgatum,1,15,0.068,1979,NA
potentilla,simplex,1,15,0.068,1979,NA
scutellaria,parvula,1,15,0.068,1979,NA
agrostis,gigantea,0,15,0.068,1982,NA
amorpha,canescens,1,15,0.068,1982,NA
bidens,frondosa,1,15,0.068,1984,NA
amorpha,canescens,1,15,0.068,1987,NA
bidens,frondosa,1,15,0.068,1987,NA
cirsium,discolor,1,15,0.068,1987,NA
dalea,purpurea,1,15,0.068,1987,NA
elymus,repens,0,15,0.068,1987,NA
geum,canadense,1,15,0.068,1995,NA
monarda,fistulosa,1,15,0.068,1995,NA
packera,aurea,1,15,0.068,1995,NA
calystegia,sepium,1,14,0.063,1979,NA
amorpha,canescens,1,14,0.063,1980,NA
symphyotrichum,novae-angliae,1,14,0.063,1980,NA
amorpha,canescens,1,14,0.063,1981,NA
dalea,purpurea,1,14,0.063,1984,NA
potentilla,simplex,1,14,0.063,1984,NA
solidago,riddellii,1,14,0.063,1984,NA
daucus,carota,0,14,0.063,1987,NA
valeriana,edulis var. ciliata,1,14,0.063,1987,NA
amorpha,canescens,1,14,0.063,1995,NA
cirsium,discolor,1,14,0.063,1995,NA
daucus,carota,0,14,0.063,1995,NA
amorpha,canescens,1,13,0.059,1979,NA
heserostipa,spartea,1,13,0.059,1979,NA
lithospermum,canescens,1,13,0.059,1979,NA
gentiana,puberulenta,1,13,0.059,1981,NA
heserostipa,spartea,1,13,0.059,1982,NA
melilotus,officinalis,0,13,0.059,1982,NA
amorpha,canescens,1,13,0.059,1984,NA
solanum,dulcamara,0,13,0.059,1984,NA
calystegia,sepium,1,13,0.059,1987,NA
packera,paupercula,1,13,0.059,1987,NA
asclepias,syriaca,1,13,0.059,1995,NA
symphyotrichum,novae-angliae,1,13,0.059,1995,NA
equisetum,arvense,1,14,0.058,2005,NA
liatris,spicata,1,14,0.058,2005,NA
phalaris,arundinacea,0,14,0.058,2005,NA
solidago,nemoralis,1,14,0.058,2005,NA
spartina,pectinata,1,14,0.058,2005,NA
symphyotrichum,lanceolatum,1,14,0.058,2005,NA
rhamnus,cathartica,0,12,0.054,1979,NA
gentiana,puberulenta,1,12,0.054,1980,NA
rhamnus,cathartica,0,12,0.054,1980,NA
rumex,crispus,0,12,0.054,1981,NA
asclepias,syriaca,1,12,0.054,1982,NA
rumex,crispus,0,12,0.054,1982,NA
monarda,fistulosa,1,12,0.054,1984,NA
symphyotrichum,novae-angliae,1,12,0.054,1984,NA
asclepias,syriaca,1,12,0.054,1987,NA
gentiana,puberulenta,1,12,0.054,1987,NA
phalaris,arundinacea,0,12,0.054,1987,NA
taraxacum,officinale,0,12,0.054,1987,NA
erigeron,strigosus,1,12,0.054,1995,NA
phalaris,arundinacea,0,12,0.054,1995,NA
poa,compressa,0,12,0.054,1995,NA
schizachyrium,scoparium,1,12,0.054,1995,NA
sisyrinchium,albidum,1,12,0.054,1995,NA
symphyotrichum,novae-angliae,1,13,0.054,2005,NA
symphyotrichum,novae-angliae,1,11,0.05,1979,NA
agrostis,gigantea,0,11,0.05,1980,NA
rumex,crispus,0,11,0.05,1980,NA
solanum,dulcamara,0,11,0.05,1980,NA
geum,canadense,1,11,0.05,1981,NA
lobelia,spicata,1,11,0.05,1981,NA
packera,paupercula,1,11,0.05,1981,NA
cornus,racemosa,1,11,0.05,1982,NA
gentiana,puberulenta,1,11,0.05,1982,NA
oenothera,biennis,1,11,0.05,1984,NA
schedonorus,arundinaceus,0,11,0.05,1984,NA
monarda,fistulosa,1,11,0.05,1987,NA
schizachyrium,scoparium,1,11,0.05,1987,NA
cornus,racemosa,1,11,0.05,1995,NA
elymus,repens,0,11,0.05,1995,NA
taraxacum,officinale,0,11,0.05,1995,NA
alliaria,petiolata,0,12,0.05,2005,NA
atriplex,patula,0,12,0.05,2005,NA
persicaria,amphibia,1,12,0.05,2005,NA
rudbeckia,hirta,1,12,0.05,2005,NA
convolvulus,arvensis,0,10,0.045,1979,NA
gentiana,puberulenta,1,10,0.045,1979,NA
melilotus,officinalis,0,10,0.045,1979,NA
oenothera,biennis,1,10,0.045,1979,NA
solanum,dulcamara,0,10,0.045,1979,NA
cornus,racemosa,1,10,0.045,1980,NA
fraxinus,pennsylvanica,1,10,0.045,1980,NA
melilotus,officinalis,0,10,0.045,1980,NA
cirsium,discolor,1,10,0.045,1981,NA
cornus,racemosa,1,10,0.045,1981,NA
pedicularis,canadensis,1,10,0.045,1981,NA
juncus,dudleyi,1,10,0.045,1982,NA
lonicera,tatarica,0,10,0.045,1982,NA
persicaria,amphibia,1,10,0.045,1982,NA
valeriana,edulis var. ciliata,1,10,0.045,1982,NA
asclepias,syriaca,1,10,0.045,1984,NA
lythrum,alatum,1,10,0.045,1987,NA
oenothera,biennis,1,10,0.045,1987,NA
carex,brevior,1,10,0.045,1995,NA
erigeron,annuus,1,10,0.045,1995,NA
juncus,dudleyi,1,10,0.045,1995,NA
ambrosia,artemisiifolia,1,11,0.045,2005,NA
amorpha,canescens,1,11,0.045,2005,NA
packera,aurea,1,11,0.045,2005,NA
agrostis,gigantea,0,9,0.041,1979,NA
hordeum,jubatum,0,9,0.041,1979,NA
rumex,crispus,0,9,0.041,1979,NA
persicaria,amphibia,1,9,0.041,1980,NA
convolvulus,arvensis,0,9,0.041,1981,NA
fraxinus,pennsylvanica,1,9,0.041,1981,NA
hordeum,jubatum,0,9,0.041,1981,NA
juncus,dudleyi,1,9,0.041,1981,NA
lonicera,tatarica,0,9,0.041,1981,NA
ulmus,rubra,1,9,0.041,1981,NA
geum,canadense,1,9,0.041,1982,NA
monarda,fistulosa,1,9,0.041,1982,NA
packera,paupercula,1,9,0.041,1982,NA
phleum,pratense,0,9,0.041,1982,NA
agrostis,gigantea,0,9,0.041,1984,NA
convolvulus,arvensis,0,9,0.041,1984,NA
heserostipa,spartea,1,9,0.041,1984,NA
lithospermum,canescens,1,9,0.041,1984,NA
rhamnus,cathartica,0,9,0.041,1984,NA
pedicularis,canadensis,1,9,0.041,1987,NA
solanum,dulcamara,0,9,0.041,1987,NA
viola,pedatifida,1,9,0.041,1987,NA
glechoma,hederacea,0,9,0.041,1995,NA
persicaria,amphibia,1,9,0.041,1995,NA
veronicastrum,virginicum,1,9,0.041,1995,NA
heserostipa,spartea,1,10,0.041,2005,NA
prunella,vulgaris ssp. lanceolata,1,10,0.041,2005,NA
symphyotrichum,pilosum,1,10,0.041,2005,NA
taraxacum,officinale,0,10,0.041,2005,NA
elymus,repens,0,9,0.037,2005,NA
eupatorium,altissimum,1,9,0.037,2005,NA
cirsium,vulgare,0,8,0.036,1979,NA
lobelia,spicata,1,8,0.036,1979,NA
lonicera,tatarica,0,8,0.036,1979,NA
persicaria,amphibia,1,8,0.036,1979,NA
solidago,riddellii,1,8,0.036,1979,NA
asclepias,syriaca,1,8,0.036,1980,NA
cirsium,vulgare,0,8,0.036,1980,NA
convolvulus,arvensis,0,8,0.036,1980,NA
geum,canadense,1,8,0.036,1980,NA
juncus,dudleyi,1,8,0.036,1980,NA
lobelia,spicata,1,8,0.036,1980,NA
monarda,fistulosa,1,8,0.036,1980,NA
packera,paupercula,1,8,0.036,1980,NA
asclepias,syriaca,1,8,0.036,1981,NA
elymus,canadensis,1,8,0.036,1981,NA
monarda,fistulosa,1,8,0.036,1981,NA
persicaria,amphibia,1,8,0.036,1981,NA
phleum,pratense,0,8,0.036,1981,NA
sisyrinchium,albidum,1,8,0.036,1981,NA
valeriana,edulis var. ciliata,1,8,0.036,1981,NA
chenopodium,album,0,8,0.036,1982,NA
cirsium,vulgare,0,8,0.036,1982,NA
convolvulus,arvensis,0,8,0.036,1982,NA
dichanthelium,acuminatum,1,8,0.036,1982,NA
eleocharis,palustris,1,8,0.036,1982,NA
fraxinus,pennsylvanica,1,8,0.036,1982,NA
hordeum,jubatum,0,8,0.036,1982,NA
amphicarpaea,bracteata,1,8,0.036,1984,NA
elymus,repens,0,8,0.036,1984,NA
