genus,species,native,n,fraction,year,plot,change_species_freq,mean_nonnative_species_freq
hypericum,perforatum,0,2,0.009,1995,NA,NA,0.008
hypericum,perforatum,0,4,0.017,2005,NA,0.008000000000000002,0.008
lactuca,serriola,0,5,0.023,1995,NA,NA,-0.006
lactuca,serriola,0,4,0.017,2005,NA,-0.005999999999999998,-0.006
lepidium,campestre,0,1,0.005,1981,NA,NA,-0.001
lepidium,campestre,0,1,0.004,2005,NA,-0.001,-0.001
leucanthemum,vulgare,0,1,0.005,1979,NA,NA,0.002
leucanthemum,vulgare,0,4,0.018,1980,NA,0.012999999999999998,0.002
leucanthemum,vulgare,0,3,0.014,1981,NA,-0.003999999999999998,0.002
leucanthemum,vulgare,0,2,0.009,1982,NA,-0.005000000000000001,0.002
leucanthemum,vulgare,0,2,0.009,1984,NA,0,0.002
leucanthemum,vulgare,0,1,0.005,1987,NA,-0.003999999999999999,0.002
leucanthemum,vulgare,0,4,0.018,1995,NA,0.012999999999999998,0.002
leucanthemum,vulgare,0,5,0.021,2005,NA,0.0030000000000000027,0.002
lonicera,tatarica,0,8,0.036,1979,NA,NA,-0.005
lonicera,tatarica,0,6,0.027,1980,NA,-0.008999999999999998,-0.005
lonicera,tatarica,0,9,0.041,1981,NA,0.014000000000000002,-0.005
lonicera,tatarica,0,10,0.045,1982,NA,0.003999999999999997,-0.005
lonicera,tatarica,0,3,0.014,1984,NA,-0.031,-0.005
lonicera,tatarica,0,5,0.023,1987,NA,0.009,-0.005
lonicera,tatarica,0,1,0.005,1995,NA,-0.018,-0.005
lonicera,x bella,0,3,0.014,1995,NA,NA,NA
lythrum,salicaria,0,2,0.009,1979,NA,NA,0
lythrum,salicaria,0,2,0.009,1980,NA,0,0
lythrum,salicaria,0,3,0.014,1981,NA,0.005000000000000001,0
lythrum,salicaria,0,2,0.009,1982,NA,-0.005000000000000001,0
lythrum,salicaria,0,2,0.009,1987,NA,0,0
malus,sp.,0,2,0.009,1979,NA,NA,0
malus,sp.,0,2,0.009,1980,NA,0,0
malus,sp.,0,3,0.014,1981,NA,0.005000000000000001,0
malus,sp.,0,2,0.009,1982,NA,-0.005000000000000001,0
malus,sp.,0,2,0.009,1987,NA,0,0
malus,toringa,0,3,0.014,1995,NA,NA,NA
medicago,lupulina,0,2,0.009,1995,NA,NA,NA
melilotus,officinalis,0,10,0.045,1979,NA,NA,-0.007
melilotus,officinalis,0,10,0.045,1980,NA,0,-0.007
melilotus,officinalis,0,16,0.072,1981,NA,0.026999999999999996,-0.007
melilotus,officinalis,0,13,0.059,1982,NA,-0.012999999999999998,-0.007
melilotus,officinalis,0,5,0.023,1984,NA,-0.036,-0.007
melilotus,officinalis,0,2,0.009,1987,NA,-0.014,-0.007
melilotus,sp.,0,2,0.009,1982,NA,NA,-0.004
melilotus,sp.,0,1,0.005,1987,NA,-0.003999999999999999,-0.004
nepeta,cataria,0,1,0.005,1995,NA,NA,0.007
nepeta,cataria,0,3,0.012,2005,NA,0.007,0.007
persicaria,maculosa,0,1,0.005,1981,NA,NA,0
persicaria,maculosa,0,1,0.005,1984,NA,0,0
persicaria,maculosa,0,3,0.014,1987,NA,0.009000000000000001,0
persicaria,maculosa,0,1,0.005,1995,NA,-0.009000000000000001,0
phalaris,arundinacea,0,5,0.023,1979,NA,NA,0.005
phalaris,arundinacea,0,5,0.023,1980,NA,0,0.005
phalaris,arundinacea,0,7,0.032,1981,NA,0.009000000000000001,0.005
phalaris,arundinacea,0,5,0.023,1982,NA,-0.009000000000000001,0.005
phalaris,arundinacea,0,5,0.023,1984,NA,0,0.005
phalaris,arundinacea,0,12,0.054,1987,NA,0.031,0.005
phalaris,arundinacea,0,12,0.054,1995,NA,0,0.005
phalaris,arundinacea,0,14,0.058,2005,NA,0.0040000000000000036,0.005
phleum,pratense,0,6,0.027,1979,NA,NA,-0.002
phleum,pratense,0,7,0.032,1980,NA,0.005000000000000001,-0.002
phleum,pratense,0,8,0.036,1981,NA,0.003999999999999997,-0.002
phleum,pratense,0,9,0.041,1982,NA,0.0050000000000000044,-0.002
phleum,pratense,0,1,0.005,1984,NA,-0.036000000000000004,-0.002
phleum,pratense,0,2,0.009,1987,NA,0.003999999999999999,-0.002
phleum,pratense,0,3,0.014,1995,NA,0.005000000000000001,-0.002
phlox,paniculata,0,1,0.005,1987,NA,NA,NA
plantago,major,0,6,0.027,1979,NA,NA,-0.004
plantago,major,0,6,0.027,1980,NA,0,-0.004
plantago,major,0,6,0.027,1981,NA,0,-0.004
plantago,major,0,5,0.023,1982,NA,-0.004,-0.004
plantago,major,0,2,0.009,1984,NA,-0.014,-0.004
plantago,major,0,1,0.005,1987,NA,-0.003999999999999999,-0.004
poa,compressa,0,34,0.153,1979,NA,NA,-0.016
poa,compressa,0,46,0.207,1980,NA,0.05399999999999999,-0.016
poa,compressa,0,48,0.217,1981,NA,0.010000000000000009,-0.016
poa,compressa,0,45,0.203,1982,NA,-0.013999999999999985,-0.016
poa,compressa,0,19,0.086,1984,NA,-0.11700000000000002,-0.016
poa,compressa,0,31,0.14,1987,NA,0.05400000000000002,-0.016
poa,compressa,0,12,0.054,1995,NA,-0.08600000000000002,-0.016
poa,pratensis,0,52,0.234,1979,NA,NA,0.001
poa,pratensis,0,51,0.23,1980,NA,-0.0040000000000000036,0.001
poa,pratensis,0,55,0.249,1981,NA,0.01899999999999999,0.001
poa,pratensis,0,57,0.257,1982,NA,0.008000000000000007,0.001
poa,pratensis,0,49,0.221,1984,NA,-0.036000000000000004,0.001
poa,pratensis,0,53,0.24,1987,NA,0.01899999999999999,0.001
poa,pratensis,0,63,0.285,1995,NA,0.044999999999999984,0.001
poa,pratensis,0,59,0.244,2005,NA,-0.04099999999999998,0.001
poa,sp.,0,1,0.005,1987,NA,NA,NA
polygonum,aviculare,0,1,0.005,1995,NA,NA,NA
rhamnus,cathartica,0,12,0.054,1979,NA,NA,0.004
rhamnus,cathartica,0,12,0.054,1980,NA,0,0.004
rhamnus,cathartica,0,16,0.072,1981,NA,0.017999999999999995,0.004
rhamnus,cathartica,0,18,0.081,1982,NA,0.009000000000000008,0.004
rhamnus,cathartica,0,9,0.041,1984,NA,-0.04,0.004
rhamnus,cathartica,0,7,0.032,1987,NA,-0.009000000000000001,0.004
rhamnus,cathartica,0,8,0.036,1995,NA,0.003999999999999997,0.004
rhamnus,cathartica,0,19,0.079,2005,NA,0.043000000000000003,0.004
rosa,multiflora,0,2,0.009,1979,NA,NA,-0.001
rosa,multiflora,0,3,0.014,1980,NA,0.005000000000000001,-0.001
rosa,multiflora,0,5,0.023,1981,NA,0.009,-0.001
rosa,multiflora,0,4,0.018,1982,NA,-0.005000000000000001,-0.001
rosa,multiflora,0,1,0.005,1984,NA,-0.012999999999999998,-0.001
rosa,multiflora,0,1,0.005,1987,NA,0,-0.001
rosa,multiflora,0,1,0.004,2005,NA,-0.001,-0.001
rumex,crispus,0,9,0.041,1979,NA,NA,-0.004
rumex,crispus,0,11,0.05,1980,NA,0.009000000000000001,-0.004
rumex,crispus,0,12,0.054,1981,NA,0.003999999999999997,-0.004
rumex,crispus,0,12,0.054,1982,NA,0,-0.004
rumex,crispus,0,4,0.018,1984,NA,-0.036000000000000004,-0.004
rumex,crispus,0,2,0.009,1987,NA,-0.009,-0.004
rumex,crispus,0,5,0.023,1995,NA,0.014,-0.004
rumex,crispus,0,3,0.012,2005,NA,-0.011,-0.004
schedonorus,arundinaceus,0,16,0.072,1979,NA,NA,-0.009
schedonorus,arundinaceus,0,17,0.077,1980,NA,0.0050000000000000044,-0.009
schedonorus,arundinaceus,0,18,0.081,1981,NA,0.0040000000000000036,-0.009
schedonorus,arundinaceus,0,20,0.09,1982,NA,0.008999999999999994,-0.009
schedonorus,arundinaceus,0,11,0.05,1984,NA,-0.039999999999999994,-0.009
schedonorus,arundinaceus,0,17,0.077,1987,NA,0.026999999999999996,-0.009
schedonorus,arundinaceus,0,3,0.014,1995,NA,-0.063,-0.009
schedonorus,arundinaceus,0,3,0.012,2005,NA,-0.002,-0.009
securigera,varia,0,1,0.005,1979,NA,NA,0
securigera,varia,0,1,0.005,1981,NA,0,0
securigera,varia,0,1,0.005,1982,NA,0,0
solanum,dulcamara,0,10,0.045,1979,NA,NA,-0.006
solanum,dulcamara,0,11,0.05,1980,NA,0.0050000000000000044,-0.006
solanum,dulcamara,0,16,0.072,1981,NA,0.021999999999999992,-0.006
solanum,dulcamara,0,20,0.09,1982,NA,0.018000000000000002,-0.006
solanum,dulcamara,0,13,0.059,1984,NA,-0.031,-0.006
solanum,dulcamara,0,9,0.041,1987,NA,-0.017999999999999995,-0.006
solanum,dulcamara,0,4,0.018,1995,NA,-0.023000000000000003,-0.006
solanum,dulcamara,0,1,0.004,2005,NA,-0.013999999999999999,-0.006
sonchus,arvensis,0,1,0.005,1979,NA,NA,0.001
sonchus,arvensis,0,1,0.005,1980,NA,0,0.001
sonchus,arvensis,0,1,0.005,1981,NA,0,0.001
sonchus,arvensis,0,2,0.009,1982,NA,0.003999999999999999,0.001
sonchus,asper,0,1,0.005,1995,NA,NA,-0.001
sonchus,asper,0,1,0.004,2005,NA,-0.001,-0.001
sporobolus,compositus,0,1,0.004,2005,NA,NA,NA
stellaria,media,0,1,0.005,1987,NA,NA,NA
syringa,vulgaris,0,6,0.027,1979,NA,NA,-0.004
syringa,vulgaris,0,7,0.032,1980,NA,0.005000000000000001,-0.004
syringa,vulgaris,0,7,0.032,1981,NA,0,-0.004
syringa,vulgaris,0,7,0.032,1982,NA,0,-0.004
syringa,vulgaris,0,3,0.014,1987,NA,-0.018000000000000002,-0.004
syringa,vulgaris,0,2,0.008,2005,NA,-0.006,-0.004
taraxacum,officinale,0,17,0.077,1979,NA,NA,-0.005
taraxacum,officinale,0,20,0.09,1980,NA,0.012999999999999998,-0.005
taraxacum,officinale,0,23,0.104,1981,NA,0.013999999999999999,-0.005
taraxacum,officinale,0,24,0.108,1982,NA,0.0040000000000000036,-0.005
taraxacum,officinale,0,5,0.023,1984,NA,-0.08499999999999999,-0.005
taraxacum,officinale,0,12,0.054,1987,NA,0.031,-0.005
taraxacum,officinale,0,11,0.05,1995,NA,-0.003999999999999997,-0.005
taraxacum,officinale,0,10,0.041,2005,NA,-0.009000000000000001,-0.005
tragopogon,pratensis,0,1,0.005,1980,NA,NA,0
tragopogon,pratensis,0,1,0.005,1981,NA,0,0
tragopogon,pratensis,0,1,0.005,1982,NA,0,0
tragopogon,sp.,0,3,0.014,1979,NA,NA,0
tragopogon,sp.,0,3,0.014,1980,NA,0,0
tragopogon,sp.,0,4,0.018,1981,NA,0.003999999999999998,0
tragopogon,sp.,0,4,0.018,1982,NA,0,0
tragopogon,sp.,0,2,0.009,1984,NA,-0.009,0
tragopogon,sp.,0,3,0.014,1987,NA,0.005000000000000001,0
trifolium,pratense,0,1,0.005,1979,NA,NA,0
trifolium,pratense,0,1,0.005,1980,NA,0,0
trifolium,pratense,0,1,0.005,1981,NA,0,0
trifolium,pratense,0,1,0.005,1982,NA,0,0
trifolium,repens,0,4,0.018,1979,NA,NA,-0.003
trifolium,repens,0,3,0.014,1980,NA,-0.003999999999999998,-0.003
trifolium,repens,0,4,0.018,1981,NA,0.003999999999999998,-0.003
trifolium,repens,0,3,0.014,1982,NA,-0.003999999999999998,-0.003
trifolium,repens,0,2,0.009,1984,NA,-0.005000000000000001,-0.003
trifolium,repens,0,1,0.005,1987,NA,-0.003999999999999999,-0.003
ulmus,pumila,0,1,0.005,1979,NA,NA,0
ulmus,pumila,0,2,0.009,1980,NA,0.003999999999999999,0
ulmus,pumila,0,2,0.009,1981,NA,0,0
ulmus,pumila,0,2,0.009,1982,NA,0,0
ulmus,pumila,0,2,0.009,1984,NA,0,0
ulmus,pumila,0,1,0.005,1995,NA,-0.003999999999999999,0
verbascum,thapsus,0,2,0.008,2005,NA,NA,NA
vinca,minor,0,1,0.005,1979,NA,NA,0
vinca,minor,0,1,0.005,1981,NA,0,0
vinca,minor,0,1,0.005,1982,NA,0,0
vinca,minor,0,1,0.005,1995,NA,0,0
