chamber,term,estimate,std.error,statistic,p.value,gas,date,average_temp_kelvin,ecosystem_name,ecosystem_block,rep,total_vol_m3,flux,units
SW 1-3,min_elapsed,-0.00210682841870343,0.00118657819815437,-1.775549577752591,0.17389350394906702,ch4,2023-06-15,303.365,SW,1,3,0.006955088,-0.19558264041889556,nmol_m2_s1
SW 1-4,min_elapsed,-0.00112923507494497,6.957390247915268e-4,-1.62307278261895,0.20303188074314815,ch4,2023-06-15,304.35,SW,1,4,0.01012201,-0.15206938745343906,nmol_m2_s1
SW 2-1,min_elapsed,-0.00587033291516111,4.863012513836289e-4,-12.07139175245547,0.00122341038115714,ch4,2023-06-15,301.2,SW,2,1,0.007588473,-0.5988611480536782,nmol_m2_s1
SW 2-2,min_elapsed,-0.0057614918904136,0.0012629784257808,-4.561829222737271,0.01975145096453834,ch4,2023-06-15,301,SW,2,2,0.007145104,-0.5537847540715557,nmol_m2_s1
SW 2-3,min_elapsed,-0.0130928582448684,0.00319168828763048,-4.102173227758586,0.02621381210517891,ch4,2023-06-15,301.9,SW,2,3,0.007081765,-1.2435889239679048,nmol_m2_s1
SW 2-4,min_elapsed,-0.01448058636499596,0.00125819341361575,-11.509030494272038,0.00140823545249026,ch4,2023-06-15,302.4,SW,2,4,0.008538549,-1.6555885638648156,nmol_m2_s1
UP 1-1,min_elapsed,-0.00992776082488798,7.662461896619279e-4,-12.956359142572923,9.926261527236349e-4,ch4,2023-06-15,300.55,UP,1,1,0.009171934,-1.2267596299721173,nmol_m2_s1
UP 1-2,min_elapsed,-0.01095619510222875,0.0015989748808906,-6.852012019179635,0.00636325558097619,ch4,2023-06-15,302.7,UP,1,2,0.009551964,-1.3999225034888725,nmol_m2_s1
UP 1-3,min_elapsed,-0.01003078367919468,9.704042319846082e-4,-10.336706445189728,0.00193144256799536,ch4,2023-06-15,301.45,UP,1,3,0.007968503,-1.0736439924095962,nmol_m2_s1
UP 1-4,min_elapsed,-0.01172949120578716,0.0019866079701984,-5.904280754806261,0.00970163308919692,ch4,2023-06-15,301.4,UP,1,4,0.007905165,-1.2456924910586502,nmol_m2_s1
UP 2-1,min_elapsed,-0.00322096598117954,7.366220200397e-4,-4.372617018706486,0.02212950396381671,ch4,2023-06-15,303.3,UP,2,1,0.00891858,-0.3835071112773226,nmol_m2_s1
UP 2-2,min_elapsed,-0.00855214732209382,0.0013461325046117,-6.35312444562115,0.00788984048260145,ch4,2023-06-15,302.65,UP,2,2,0.006765073,-0.7740534738543988,nmol_m2_s1
UP 2-3,min_elapsed,-0.0042810948525181,0.0015673976705229,-2.731339297633297,0.07185967095126126,ch4,2023-06-15,302.25,UP,2,3,0.008981918,-0.515135651995446,nmol_m2_s1
UP 2-4,min_elapsed,-0.00422989677906375,0.0013760487190046,-3.073944054919467,0.05439367147522329,ch4,2023-06-15,301.75,UP,2,4,0.008475211,-0.4810575016407804,nmol_m2_s1
SW 1-1,min_elapsed,-1.1293724156376478e-4,5.150364611104692e-4,-0.2192800900352977,0.8405039967053047,n2o,2023-06-15,305.5,SW,1,1,0.006385043,-0.00955770824548436,nmol_m2_s1
SW 1-2,min_elapsed,0.00118743960825107,3.8848728942771386e-4,3.0565726101368917,0.05514164196881684,n2o,2023-06-15,303.05,SW,1,2,0.007651811,0.1214018929877876,nmol_m2_s1
SW 1-3,min_elapsed,0.00100175141998235,3.308761264549305e-4,3.0275723749407724,0.05641937692366267,n2o,2023-06-15,303.365,SW,1,3,0.006955088,0.09299532226933839,nmol_m2_s1
SW 1-4,min_elapsed,4.407161435981623e-4,7.91551827081133e-5,5.567748421771876,0.01143309206894324,n2o,2023-06-15,304.35,SW,1,4,0.01012201,0.059349408714638466,nmol_m2_s1
SW 2-1,min_elapsed,4.361807480177159e-4,6.860964131728188e-4,0.6357426443910699,0.5701244229408129,n2o,2023-06-15,301.2,SW,2,1,0.007588473,0.04449691479033137,nmol_m2_s1
SW 2-2,min_elapsed,3.103931643793387e-4,3.318038371633671e-4,0.9354718951803844,0.41855403695253984,n2o,2023-06-15,301,SW,2,2,0.007145104,0.029834460495780465,nmol_m2_s1
SW 2-3,min_elapsed,0.00107897339632604,1.8076528012735867e-4,5.968919449386816,0.0094092101254451,n2o,2023-06-15,301.9,SW,2,3,0.007081765,0.10248330347981877,nmol_m2_s1
SW 2-4,min_elapsed,5.74864584082928e-4,6.626272909463772e-4,0.8675534375620044,0.44946647309968446,n2o,2023-06-15,302.4,SW,2,4,0.008538549,0.06572518592750128,nmol_m2_s1
UP 1-1,min_elapsed,0.00216343838380787,7.755217257291176e-5,27.896554178077785,1.0111455517206534e-4,n2o,2023-06-15,300.55,UP,1,1,0.009171934,0.26733307923114324,nmol_m2_s1
UP 1-2,min_elapsed,4.588509361582024e-4,6.694047036172392e-4,0.6854611771903086,0.5422701531825689,n2o,2023-06-15,302.7,UP,1,2,0.009551964,0.058629455324698716,nmol_m2_s1
UP 1-3,min_elapsed,0.00176541666854985,3.8398289889444287e-4,4.597643993086181,0.01933917303911371,n2o,2023-06-15,301.45,UP,1,3,0.007968503,0.1889612079083819,nmol_m2_s1
UP 1-4,min_elapsed,0.00134029610419297,1.6155208041911107e-4,8.296371676030873,0.00366897906858063,n2o,2023-06-15,301.4,UP,1,4,0.007905165,0.14234179160001334,nmol_m2_s1
UP 2-1,min_elapsed,8.439750381130649e-4,5.159203780987108e-4,1.6358629624658625,0.20038592966029695,n2o,2023-06-15,303.3,UP,2,1,0.00891858,0.10048862072687256,nmol_m2_s1
UP 2-2,min_elapsed,3.199415982929569e-4,1.9114594399802817e-4,1.6738079375425168,0.19276186958149016,n2o,2023-06-15,302.65,UP,2,2,0.006765073,0.02895786242472719,nmol_m2_s1
UP 2-3,min_elapsed,0.00108128862056179,3.223467862915511e-4,3.3544265571917484,0.04391437870381878,n2o,2023-06-15,302.25,UP,2,3,0.008981918,0.1301093149619719,nmol_m2_s1
UP 2-4,min_elapsed,6.774095209451794e-4,2.974461371169955e-4,2.27741912371426,0.1071896728509632,n2o,2023-06-15,301.75,UP,2,4,0.008475211,0.07704039808879096,nmol_m2_s1
