chamber,date,soil_moist_percent,soil_temp_c,plant_cover_percent
SW 2-2,8/18/23,na,na,na
SW 2-3,8/18/23,na,na,na
SW 2-4,8/18/23,na,na,na
UP 1-1,8/18/23,43.1,20.1,80
UP 1-2,8/18/23,36.4,19.8,70
UP 1-3,8/18/23,39.9,20.1,10
UP 1-4,8/18/23,36.5,20.8,10
UP 2-1,8/18/23,40.6,21.6,20
UP 2-2,8/18/23,45.2,20.9,35
UP 2-3,8/18/23,43.9,21.2,10
UP 2-4,8/18/23,36.6,21.3,30
SW 1-1,8/2/23,34.9,24.1,na
SW 1-2,8/2/23,43.1,23.9,na
SW 1-3,8/2/23,22.5,23.1,na
SW 1-4,8/2/23,41.9,22.9,na
SW 2-1,8/2/23,15.2,23.9,40
SW 2-2,8/2/23,33.2,23.2,15
SW 2-3,8/2/23,30.6,22.9,30
SW 2-4,8/2/23,24.1,22.4,45
UP 1-1,8/2/23,27.5,24.3,na
UP 1-2,8/2/23,24.7,23.6,na
UP 1-3,8/2/23,24.9,23.4,na
UP 1-4,8/2/23,24.1,23.3,na
UP 2-1,8/2/23,24.7,24.3,15
UP 2-2,8/2/23,27.2,24.1,35
UP 2-3,8/2/23,33.9,23.7,<5
UP 2-4,8/2/23,20.3,23.6,40
