Plot,Chamber,Date,Sensor Soil Moisture (%),Oven Soil Moisture (%),Plant Biomass (g),Plant Cover (%),Soil Temperature (C),CO2_flux ppm,CH4_flux ppm,N2O_flux ppm
Swale-2,1,09/16/2022,11.9,39.2,57.5,10,19.1,,,
Swale-2,2,09/16/2022,34.4,36.7,57.5,5,19,,,
Swale-2,3,09/16/2022,20,35.2,57.5,10,18.7,,,
Swale-2,4,09/16/2022,27.5,35,57.5,65,19.2,,,
Upland-1,1,09/16/2022,26.7,33.1,82.33,5,21.2,,,
Upland-1,2,09/16/2022,28.6,29.5,82.33,5,21.2,,,
Upland-1,3,09/16/2022,23.8,31.2,82.33,<5,20.4,,,
Upland-1,4,09/16/2022,26.7,36.4,82.33,15,21.2,,,
Upland-2,1,09/16/2022,32.4,24.7,65.22,5,21.4,,,
Upland-2,2,09/16/2022,37.3,29.1,65.22,10,21.2,,,
Upland-2,3,09/16/2022,37.3,31.2,65.22,<5,21.3,,,
Upland-2,4,09/16/2022,29.9,24.5,65.22,5,21.1,,,
Swale-1,1,09/02/2022,43.2,47.9,41.09,20,20.6,,,
Swale-1,2,09/02/2022,41.9,45.5,41.09,10,20.5,,,
Swale-1,3,09/02/2022,40.5,51.4,41.09,10,20.3,,,
Swale-1,4,09/02/2022,39.9,43.5,41.09,10,20.5,,,
Swale-2,1,09/02/2022,19.4,32.8,64.21,40,21.4,,,
Swale-2,2,09/02/2022,15.2,44.6,64.21,3,21.2,,,
Swale-2,3,09/02/2022,31.2,31.7,64.21,3,21.4,,,
Swale-2,4,09/02/2022,6.4,25,64.21,60,21.2,,,
Upland-1,1,09/02/2022,21.6,31.6,53.12,5,21.8,,,
Upland-1,2,09/02/2022,18.5,29.9,53.12,10,22.3,,,
Upland-1,3,09/02/2022,19.5,34.1,53.12,5,22,,,
Upland-1,4,09/02/2022,23.3,32.4,53.12,5,21.4,,,
Upland-2,1,09/02/2022,24.6,30.5,88.47,5,22.4,,,
Upland-2,2,09/02/2022,35.2,27.8,88.47,<5,23.1,,,
Upland-2,3,09/02/2022,39.1,29,88.47,<5,22.9,,,
Upland-2,4,09/02/2022,27.5,20.8,88.47,10,22.8,,,
Swale-1,1,08/12/2022,37.8,23.8,N/A,20,20.4,,,
Swale-1,2,08/12/2022,42.7,15.5,N/A,15,21.2,,,
Swale-1,3,08/12/2022,41,28.6,N/A,20,22.1,,,
Swale-1,4,08/12/2022,35.2,23.1,N/A,15,20.9,,,
Swale-2,1,08/12/2022,3.9,23.1,N/A,40,22.7,,,
Swale-2,2,08/12/2022,9.8,20.9,N/A,10,21.3,,,
Swale-2,3,08/12/2022,10.8,22.1,N/A,5,21.9,,,
Swale-2,4,08/12/2022,8.3,16.8,N/A,55,21.6,,,
Upland-1,1,08/12/2022,17.3,21.7,N/A,10,21,,,
Upland-1,2,08/12/2022,20.6,16.5,N/A,15,21.1,,,
Upland-1,3,08/12/2022,18.7,20.6,N/A,5,20.9,,,
Upland-1,4,08/12/2022,16.9,14.1,N/A,15,20.6,,,
Upland-2,1,08/12/2022,25.1,15.5,N/A,10,20.6,,,
Upland-2,2,08/12/2022,21.7,13.4,N/A,<5,22.1,,,
Upland-2,3,08/12/2022,35.4,17.9,N/A,<5,22.1,,,
Upland-2,4,08/12/2022,25.4,12.6,N/A,10,21.5,,,
Swale-1,1,07/22/2022,N/A,N/A,59.72,10,22.6,,,
Swale-1,2,07/22/2022,N/A,N/A,59.72,5,22.9,,,
Swale-1,3,07/22/2022,N/A,N/A,59.72,15,22.5,,,
Swale-1,4,07/22/2022,N/A,N/A,59.72,N/A,N/A,,,
Swale-2,1,07/22/2022,N/A,N/A,41.74,15,23.6,,,
Swale-2,2,07/22/2022,N/A,N/A,41.74,5,23.2,,,
Swale-2,3,07/22/2022,N/A,N/A,41.74,10,23.3,,,
Swale-2,4,07/22/2022,N/A,N/A,41.74,30,23.9,,,
Upland-1,1,07/22/2022,N/A,N/A,61.13,<5 ,21.9,,,
Upland-1,2,07/22/2022,N/A,N/A,61.13,10,21.8,,,
Upland-1,3,07/22/2022,N/A,N/A,61.13,5,21.8,,,
Upland-1,4,07/22/2022,N/A,N/A,61.13,5,21.1,,,
Upland-2,1,07/22/2022,N/A,N/A,54.47,5,21.7,,,
Upland-2,2,07/22/2022,N/A,N/A,54.47,<5,22.7,,,
Upland-2,3,07/22/2022,N/A,N/A,54.47,<5,21.9,,,
Upland-2,4,07/22/2022,N/A,N/A,54.47,10,21.3,,,
Swale-1,1,07/09/2022,N/A,33.2,N/A,25,N/A,,,
Swale-1,2,07/09/2022,N/A,N/A,N/A,<5,N/A,,,
Swale-1,3,07/09/2022,N/A,N/A,N/A,5,N/A,,,
Swale-1,4,07/09/2022,N/A,N/A,N/A,N/A,N/A,,,
Swale-2,1,07/09/2022,N/A,30.3,N/A,<5,N/A,,,
Swale-2,2,07/09/2022,N/A,N/A,N/A,10,N/A,,,
Swale-2,3,07/09/2022,N/A,N/A,N/A,5,N/A,,,
Swale-2,4,07/09/2022,N/A,N/A,N/A,15,N/A,,,
Upland-1,1,07/09/2022,N/A,26.8,N/A,5,N/A,,,
Upland-1,2,07/09/2022,N/A,N/A,N/A,10,N/A,,,
Upland-1,3,07/09/2022,N/A,N/A,N/A,<5,N/A,,,
Upland-1,4,07/09/2022,N/A,N/A,N/A,<5,N/A,,,
Upland-2,1,07/09/2022,N/A,15.5,N/A,5,N/A,,,
Upland-2,2,07/09/2022,N/A,N/A,N/A,<5,N/A,,,
Upland-2,3,07/09/2022,N/A,N/A,N/A,<5,N/A,,,
Upland-2,4,07/09/2022,N/A,N/A,N/A,5,N/A,,,
