"chamber","ecosystem_name","ecosystem_block","rep","gas","estimate","p.value","average_temp_kelvin","total_vol_m3","flux","units","date","plot","soil_moist_percent","osoil_moist_percent","plant_biomass_g","plant_cover_percent","soil_temp_c","term","std.error","statistic","season"
"40","UP 1-3","UP",1,3,"N2O",0.001316369,0.289443634,305.55,0.007968503,0.528604329,"mugn-n2o_m2_d",2022-07-09,"UP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","UP 1-4","UP",1,4,"N2O",-0.000834874,0.429873191,307.05,0.007905165,-0.330964701,"mugn-n2o_m2_d",2022-07-09,"UP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","UP 2-1","UP",2,1,"N2O",0.003129192,0.455883342,307.15,0.00891858,1.399059412,"mugn-n2o_m2_d",2022-07-09,"UP_2",NA,15.5,NA,5,NA,NA,NA,NA,NA
"43","UP 2-2","UP",2,2,"N2O",-0.004703916,0.311056619,307.9,0.006765073,-1.591406081,"mugn-n2o_m2_d",2022-07-09,"UP_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","UP 2-3","UP",2,3,"N2O",0.001962764,0.115529121,307.7,0.008981918,0.882202613,"mugn-n2o_m2_d",2022-07-09,"UP_2",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","UP 2-4","UP",2,4,"N2O",0.000293786,0.789362394,308.35,0.008475211,0.124335671,"mugn-n2o_m2_d",2022-07-09,"UP_2",NA,NA,NA,5,NA,NA,NA,NA,NA
"46","SW 1-1","SW",1,1,"CO2",25.36323145,0.006281521,309.7,0.006385043,2.197090454,"mgc-co2_m2_d",2022-07-22,"SW_1",NA,NA,59.72,10,22.6,NA,NA,NA,"Summer"
"47","SW 1-2","SW",1,2,"CO2",38.28197264,0.012046311,310.35,0.007651811,3.965770013,"mgc-co2_m2_d",2022-07-22,"SW_1",NA,NA,59.72,5,22.9,NA,NA,NA,"Summer"
"48","SW 1-3","SW",1,3,"CO2",30.20157782,4.94e-06,310.1,0.006955088,2.846107022,"mgc-co2_m2_d",2022-07-22,"SW_1",NA,NA,59.72,15,22.5,NA,NA,NA,"Summer"
"49","SW 2-1","SW",2,1,"CO2",23.34507477,0.057391085,308.05,0.007588473,2.41629069,"mgc-co2_m2_d",2022-07-22,"SW_2",NA,NA,41.74,15,23.6,NA,NA,NA,"Summer"
"50","SW 2-2","SW",2,2,"CO2",29.19222309,0.000863772,309.35,0.007145104,2.832998436,"mgc-co2_m2_d",2022-07-22,"SW_2",NA,NA,41.74,5,23.2,NA,NA,NA,"Summer"
"51","SW 2-3","SW",2,3,"CO2",28.33430342,0.021588997,306.65,0.007081765,2.74936129,"mgc-co2_m2_d",2022-07-22,"SW_2",NA,NA,41.74,10,23.3,NA,NA,NA,"Summer"
"52","SW 2-4","SW",2,4,"CO2",25.20004183,0.002120553,306.4,0.008538549,2.950647348,"mgc-co2_m2_d",2022-07-22,"SW_2",NA,NA,41.74,30,23.9,NA,NA,NA,"Summer"
"53","UP 1-1","UP",1,1,"CO2",23.50736293,0.007782996,308.25,0.009171934,2.938884237,"mgc-co2_m2_d",2022-07-22,"UP_1",NA,NA,61.13,NA,21.9,NA,NA,NA,"Summer"
"54","UP 1-2","UP",1,2,"CO2",21.5773072,0.002729927,306.95,0.009551964,2.821259375,"mgc-co2_m2_d",2022-07-22,"UP_1",NA,NA,61.13,10,21.8,NA,NA,NA,"Summer"
"55","UP 1-3","UP",1,3,"CO2",11.53642939,0.444225568,308.9,0.007968503,1.25040579,"mgc-co2_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.8,NA,NA,NA,"Summer"
"56","UP 1-4","UP",1,4,"CO2",28.88799237,0.000126104,309,0.007905165,3.105206965,"mgc-co2_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.1,NA,NA,NA,"Summer"
"57","UP 2-1","UP",2,1,"CO2",22.79448283,0.000903975,308.95,0.00891858,2.7647635,"mgc-co2_m2_d",2022-07-22,"UP_2",NA,NA,54.47,5,21.7,NA,NA,NA,"Summer"
"58","UP 2-2","UP",2,2,"CO2",20.04268812,0.018700721,308.85,0.006765073,1.844597355,"mgc-co2_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,22.7,NA,NA,NA,"Summer"
"59","UP 2-3","UP",2,3,"CO2",19.43185624,0.001215035,308.9,0.008981918,2.374029972,"mgc-co2_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,21.9,NA,NA,NA,"Summer"
"60","UP 2-4","UP",2,4,"CO2",16.64686452,0.066067214,307.75,0.008475211,1.926218874,"mgc-co2_m2_d",2022-07-22,"UP_2",NA,NA,54.47,10,21.3,NA,NA,NA,"Summer"
"61","SW 1-1","SW",1,1,"CH4",-0.013535558,0.408910571,309.7,0.006385043,-1.172517986,"mugc-ch4_m2_d",2022-07-22,"SW_1",NA,NA,59.72,10,22.6,NA,NA,NA,"Summer"
"62","SW 1-2","SW",1,2,"CH4",0.001816776,0.851893813,310.35,0.007651811,0.188206447,"mugc-ch4_m2_d",2022-07-22,"SW_1",NA,NA,59.72,5,22.9,NA,NA,NA,"Summer"
"63","SW 1-3","SW",1,3,"CH4",-0.008589914,0.129226929,310.1,0.006955088,-0.809488008,"mugc-ch4_m2_d",2022-07-22,"SW_1",NA,NA,59.72,15,22.5,NA,NA,NA,"Summer"
"64","SW 2-1","SW",2,1,"CH4",-0.00394908,0.457525041,308.05,0.007588473,-0.408742541,"mugc-ch4_m2_d",2022-07-22,"SW_2",NA,NA,41.74,15,23.6,NA,NA,NA,"Summer"
"65","SW 2-2","SW",2,2,"CH4",-0.01584912,0.173106759,309.35,0.007145104,-1.538099099,"mugc-ch4_m2_d",2022-07-22,"SW_2",NA,NA,41.74,5,23.2,NA,NA,NA,"Summer"
"66","SW 2-3","SW",2,3,"CH4",0.010339903,0.6766012,306.65,0.007081765,1.003311389,"mugc-ch4_m2_d",2022-07-22,"SW_2",NA,NA,41.74,10,23.3,NA,NA,NA,"Summer"
"67","SW 2-4","SW",2,4,"CH4",-0.015078215,0.099018323,306.4,0.008538549,-1.765492873,"mugc-ch4_m2_d",2022-07-22,"SW_2",NA,NA,41.74,30,23.9,NA,NA,NA,"Summer"
"68","UP 1-1","UP",1,1,"CH4",-0.00967301,0.017657302,308.25,0.009171934,-1.209317174,"mugc-ch4_m2_d",2022-07-22,"UP_1",NA,NA,61.13,NA,21.9,NA,NA,NA,"Summer"
"69","UP 1-2","UP",1,2,"CH4",-0.018519261,0.180825718,306.95,0.009551964,-2.421416095,"mugc-ch4_m2_d",2022-07-22,"UP_1",NA,NA,61.13,10,21.8,NA,NA,NA,"Summer"
"70","UP 1-3","UP",1,3,"CH4",-0.031153005,0.091440034,308.9,0.007968503,-3.376599114,"mugc-ch4_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.8,NA,NA,NA,"Summer"
"71","UP 1-4","UP",1,4,"CH4",-0.017187102,0.025863832,309,0.007905165,-1.847463388,"mugc-ch4_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.1,NA,NA,NA,"Summer"
"72","UP 2-1","UP",2,1,"CH4",-0.012609959,0.250888598,308.95,0.00891858,-1.52947332,"mugc-ch4_m2_d",2022-07-22,"UP_2",NA,NA,54.47,5,21.7,NA,NA,NA,"Summer"
"73","UP 2-2","UP",2,2,"CH4",-0.006039467,0.046725718,308.85,0.006765073,-0.555832848,"mugc-ch4_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,22.7,NA,NA,NA,"Summer"
"74","UP 2-3","UP",2,3,"CH4",-0.005188313,0.080791268,308.9,0.008981918,-0.633866929,"mugc-ch4_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,21.9,NA,NA,NA,"Summer"
"75","UP 2-4","UP",2,4,"CH4",-0.013001782,0.016131242,307.75,0.008475211,-1.504444093,"mugc-ch4_m2_d",2022-07-22,"UP_2",NA,NA,54.47,10,21.3,NA,NA,NA,"Summer"
"76","SW 1-1","SW",1,1,"N2O",-0.001326791,0.636960999,309.7,0.006385043,-0.421195708,"mugn-n2o_m2_d",2022-07-22,"SW_1",NA,NA,59.72,10,22.6,NA,NA,NA,"Summer"
"77","SW 1-2","SW",1,2,"N2O",0.001596933,0.557224829,310.35,0.007651811,0.606258591,"mugn-n2o_m2_d",2022-07-22,"SW_1",NA,NA,59.72,5,22.9,NA,NA,NA,"Summer"
"78","SW 1-3","SW",1,3,"N2O",0.000352204,0.510890242,310.1,0.006955088,0.121633575,"mugn-n2o_m2_d",2022-07-22,"SW_1",NA,NA,59.72,15,22.5,NA,NA,NA,"Summer"
"79","SW 2-1","SW",2,1,"N2O",-0.000279228,0.908637118,308.05,0.007588473,-0.105913412,"mugn-n2o_m2_d",2022-07-22,"SW_2",NA,NA,41.74,15,23.6,NA,NA,NA,"Summer"
"80","SW 2-2","SW",2,2,"N2O",-0.001052807,0.254681459,309.35,0.007145104,-0.374426042,"mugn-n2o_m2_d",2022-07-22,"SW_2",NA,NA,41.74,5,23.2,NA,NA,NA,"Summer"
"81","SW 2-3","SW",2,3,"N2O",0.00348427,0.454987006,306.65,0.007081765,1.238993463,"mugn-n2o_m2_d",2022-07-22,"SW_2",NA,NA,41.74,10,23.3,NA,NA,NA,"Summer"
"82","SW 2-4","SW",2,4,"N2O",-0.001189043,0.155443293,306.4,0.008538549,-0.510212915,"mugn-n2o_m2_d",2022-07-22,"SW_2",NA,NA,41.74,30,23.9,NA,NA,NA,"Summer"
"83","UP 1-1","UP",1,1,"N2O",0.000515134,0.594841007,308.25,0.009171934,0.236013565,"mugn-n2o_m2_d",2022-07-22,"UP_1",NA,NA,61.13,NA,21.9,NA,NA,NA,"Summer"
"84","UP 1-2","UP",1,2,"N2O",-0.001052072,0.320674686,306.95,0.009551964,-0.504114728,"mugn-n2o_m2_d",2022-07-22,"UP_1",NA,NA,61.13,10,21.8,NA,NA,NA,"Summer"
"85","UP 1-3","UP",1,3,"N2O",-0.005035567,0.061266984,308.9,0.007968503,-2.000165275,"mugn-n2o_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.8,NA,NA,NA,"Summer"
"86","UP 1-4","UP",1,4,"N2O",-0.000132561,0.796735503,309,0.007905165,-0.052218986,"mugn-n2o_m2_d",2022-07-22,"UP_1",NA,NA,61.13,5,21.1,NA,NA,NA,"Summer"
"87","UP 2-1","UP",2,1,"N2O",-0.00153126,0.37550608,308.95,0.00891858,-0.680636298,"mugn-n2o_m2_d",2022-07-22,"UP_2",NA,NA,54.47,5,21.7,NA,NA,NA,"Summer"
"88","UP 2-2","UP",2,2,"N2O",0.000198912,0.314055933,308.85,0.006765073,0.067087827,"mugn-n2o_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,22.7,NA,NA,NA,"Summer"
"89","UP 2-3","UP",2,3,"N2O",-0.000156269,0.467581761,308.9,0.008981918,-0.069965395,"mugn-n2o_m2_d",2022-07-22,"UP_2",NA,NA,54.47,NA,21.9,NA,NA,NA,"Summer"
"90","UP 2-4","UP",2,4,"N2O",-0.001213843,0.661605985,307.75,0.008475211,-0.51472328,"mugn-n2o_m2_d",2022-07-22,"UP_2",NA,NA,54.47,10,21.3,NA,NA,NA,"Summer"
"91","SW 1-1","SW",1,1,"CO2",18.03129645,0.000256106,300.75,0.006385043,1.608443741,"mgc-co2_m2_d",2022-08-12,"SW_1",37.8,23.8,NA,20,20.4,NA,NA,NA,NA
"92","SW 1-2","SW",1,2,"CO2",19.81411646,0.001326978,300.65,0.007651811,2.118841491,"mgc-co2_m2_d",2022-08-12,"SW_1",42.7,15.5,NA,15,21.2,NA,NA,NA,NA
"93","SW 1-3","SW",1,3,"CO2",20.68843018,0.049439266,301.25,0.006955088,2.006891266,"mgc-co2_m2_d",2022-08-12,"SW_1",41,28.6,NA,20,22.1,NA,NA,NA,NA
"94","SW 1-4","SW",1,4,"CO2",10.26953047,0.036960017,301.1,0.01012201,1.450532039,"mgc-co2_m2_d",2022-08-12,"SW_1",35.2,23.1,NA,15,20.9,NA,NA,NA,NA
"95","SW 2-1","SW",2,1,"CO2",22.98771331,0.001058761,300.05,0.007588473,2.442740121,"mgc-co2_m2_d",2022-08-12,"SW_2",3.9,23.1,NA,40,22.7,NA,NA,NA,NA
"96","SW 2-2","SW",2,2,"CO2",19.10408215,0.000236497,299.9,0.007145104,1.912401154,"mgc-co2_m2_d",2022-08-12,"SW_2",9.8,20.9,NA,10,21.3,NA,NA,NA,NA
"97","SW 2-3","SW",2,3,"CO2",18.24998928,5.88e-05,299.75,0.007081765,1.811613984,"mgc-co2_m2_d",2022-08-12,"SW_2",10.8,22.1,NA,5,21.9,NA,NA,NA,NA
"98","SW 2-4","SW",2,4,"CO2",23.33524899,0.008700935,300.25,0.008538549,2.78826617,"mgc-co2_m2_d",2022-08-12,"SW_2",8.3,16.8,NA,55,21.6,NA,NA,NA,NA
"99","UP 1-1","UP",1,1,"CO2",26.04864892,0.004919202,299.8,0.009171934,3.348383755,"mgc-co2_m2_d",2022-08-12,"UP_1",17.3,21.7,NA,10,21,NA,NA,NA,NA
"100","UP 1-2","UP",1,2,"CO2",17.92725693,0.000188013,299.55,0.009551964,2.401916619,"mgc-co2_m2_d",2022-08-12,"UP_1",20.6,16.5,NA,15,21.1,NA,NA,NA,NA
"101","UP 1-3","UP",1,3,"CO2",22.60224896,0.000426561,299.35,0.007968503,2.527958054,"mgc-co2_m2_d",2022-08-12,"UP_1",18.7,20.6,NA,5,20.9,NA,NA,NA,NA
"102","UP 1-4","UP",1,4,"CO2",21.98788688,0.000403804,299.8,0.007905165,2.436035068,"mgc-co2_m2_d",2022-08-12,"UP_1",16.9,14.1,NA,15,20.6,NA,NA,NA,NA
"103","UP 2-1","UP",2,1,"CO2",17.32915815,0.000245659,299.85,0.00891858,2.165657908,"mgc-co2_m2_d",2022-08-12,"UP_2",25.1,15.5,NA,10,20.6,NA,NA,NA,NA
"104","UP 2-2","UP",2,2,"CO2",18.5041141,0.004281978,299.4,0.006765073,1.756749022,"mgc-co2_m2_d",2022-08-12,"UP_2",21.7,13.4,NA,NA,22.1,NA,NA,NA,NA
"105","UP 2-3","UP",2,3,"CO2",16.16826074,0.000109994,299.25,0.008981918,2.039008153,"mgc-co2_m2_d",2022-08-12,"UP_2",35.4,17.9,NA,NA,22.1,NA,NA,NA,NA
"106","UP 2-4","UP",2,4,"CO2",20.38705018,0.00173556,299.55,0.008475211,2.423574188,"mgc-co2_m2_d",2022-08-12,"UP_2",25.4,12.6,NA,10,21.5,NA,NA,NA,NA
"107","SW 1-1","SW",1,1,"CH4",-0.014261245,0.15873805,300.75,0.006385043,-1.272144276,"mugc-ch4_m2_d",2022-08-12,"SW_1",37.8,23.8,NA,20,20.4,NA,NA,NA,NA
"108","SW 1-2","SW",1,2,"CH4",0.002647088,0.180085047,300.65,0.007651811,0.283068932,"mugc-ch4_m2_d",2022-08-12,"SW_1",42.7,15.5,NA,15,21.2,NA,NA,NA,NA
"109","SW 1-3","SW",1,3,"CH4",-0.002983219,0.442324396,301.25,0.006955088,-0.289388639,"mugc-ch4_m2_d",2022-08-12,"SW_1",41,28.6,NA,20,22.1,NA,NA,NA,NA
"110","SW 1-4","SW",1,4,"CH4",-0.007294607,0.219397037,301.1,0.01012201,-1.03033547,"mugc-ch4_m2_d",2022-08-12,"SW_1",35.2,23.1,NA,15,20.9,NA,NA,NA,NA
"111","SW 2-1","SW",2,1,"CH4",-0.014741214,0.153624066,300.05,0.007588473,-1.566443574,"mugc-ch4_m2_d",2022-08-12,"SW_2",3.9,23.1,NA,40,22.7,NA,NA,NA,NA
"112","SW 2-2","SW",2,2,"CH4",-0.002920115,0.349339148,299.9,0.007145104,-0.292316083,"mugc-ch4_m2_d",2022-08-12,"SW_2",9.8,20.9,NA,10,21.3,NA,NA,NA,NA
"113","SW 2-3","SW",2,3,"CH4",-0.013301284,0.132695311,299.75,0.007081765,-1.32037291,"mugc-ch4_m2_d",2022-08-12,"SW_2",10.8,22.1,NA,5,21.9,NA,NA,NA,NA
"114","SW 2-4","SW",2,4,"CH4",-0.009772611,0.025870188,300.25,0.008538549,-1.167703017,"mugc-ch4_m2_d",2022-08-12,"SW_2",8.3,16.8,NA,55,21.6,NA,NA,NA,NA
"115","UP 1-1","UP",1,1,"CH4",0.0103714,0.525054374,299.8,0.009171934,1.333175813,"mugc-ch4_m2_d",2022-08-12,"UP_1",17.3,21.7,NA,10,21,NA,NA,NA,NA
"116","UP 1-2","UP",1,2,"CH4",-0.006247825,0.015581607,299.55,0.009551964,-0.83709156,"mugc-ch4_m2_d",2022-08-12,"UP_1",20.6,16.5,NA,15,21.1,NA,NA,NA,NA
"117","UP 1-3","UP",1,3,"CH4",-0.01439609,0.069595699,299.35,0.007968503,-1.610136761,"mugc-ch4_m2_d",2022-08-12,"UP_1",18.7,20.6,NA,5,20.9,NA,NA,NA,NA
"118","UP 1-4","UP",1,4,"CH4",-0.007138404,0.011659325,299.8,0.007905165,-0.790862857,"mugc-ch4_m2_d",2022-08-12,"UP_1",16.9,14.1,NA,15,20.6,NA,NA,NA,NA
"119","UP 2-1","UP",2,1,"CH4",-0.01325164,0.147553645,299.85,0.00891858,-1.656082756,"mugc-ch4_m2_d",2022-08-12,"UP_2",25.1,15.5,NA,10,20.6,NA,NA,NA,NA
"120","UP 2-2","UP",2,2,"CH4",-0.003387094,0.047998394,299.4,0.006765073,-0.321564949,"mugc-ch4_m2_d",2022-08-12,"UP_2",21.7,13.4,NA,NA,22.1,NA,NA,NA,NA
"121","UP 2-3","UP",2,3,"CH4",-0.007317663,0.34604283,299.25,0.008981918,-0.922843462,"mugc-ch4_m2_d",2022-08-12,"UP_2",35.4,17.9,NA,NA,22.1,NA,NA,NA,NA
"122","UP 2-4","UP",2,4,"CH4",0.00957711,0.426126657,299.55,0.008475211,1.138508857,"mugc-ch4_m2_d",2022-08-12,"UP_2",25.4,12.6,NA,10,21.5,NA,NA,NA,NA
"123","SW 1-1","SW",1,1,"N2O",0.000421477,0.672180467,300.75,0.006385043,0.137781377,"mugn-n2o_m2_d",2022-08-12,"SW_1",37.8,23.8,NA,20,20.4,NA,NA,NA,NA
"124","SW 1-2","SW",1,2,"N2O",-0.000437502,0.797990229,300.65,0.007651811,-0.171451558,"mugn-n2o_m2_d",2022-08-12,"SW_1",42.7,15.5,NA,15,21.2,NA,NA,NA,NA
"125","SW 1-3","SW",1,3,"N2O",0.000428837,0.431695508,301.25,0.006955088,0.15244978,"mugn-n2o_m2_d",2022-08-12,"SW_1",41,28.6,NA,20,22.1,NA,NA,NA,NA
"126","SW 1-4","SW",1,4,"N2O",-0.001177993,0.476541494,301.1,0.01012201,-0.609757638,"mugn-n2o_m2_d",2022-08-12,"SW_1",35.2,23.1,NA,15,20.9,NA,NA,NA,NA
"127","SW 2-1","SW",2,1,"N2O",-0.000394145,0.583643745,300.05,0.007588473,-0.153488338,"mugn-n2o_m2_d",2022-08-12,"SW_2",3.9,23.1,NA,40,22.7,NA,NA,NA,NA
"128","SW 2-2","SW",2,2,"N2O",0.001803214,0.190668801,299.9,0.007145104,0.661512414,"mugn-n2o_m2_d",2022-08-12,"SW_2",9.8,20.9,NA,10,21.3,NA,NA,NA,NA
"129","SW 2-3","SW",2,3,"N2O",-0.000785053,0.172190145,299.75,0.007081765,-0.28558792,"mugn-n2o_m2_d",2022-08-12,"SW_2",10.8,22.1,NA,5,21.9,NA,NA,NA,NA
