date,ecosystem_name,ecosystem_block,rep,time_point,min_elapsed,gas,amount,delta,reason,pass
221019,UP,2,1,4,30.02,co2_umol,147.95816042503213,-193.85209908661642,JUMP->LEVEL_OUTLIER(z=7.22),1
221019,UP,2,2,0,0.2,ch4_nmol,1410.1724686029793,NA,JUMP->LEVEL_OUTLIER(z=6.94),1
221019,UP,2,2,4,30.02,ch4_nmol,1154.1040327103713,-40.02672945816312,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,2,2,0,0.2,n2o_nmol,10.568822411324202,NA,JUMP->LEVEL_OUTLIER(z=3.57),1
221019,UP,2,2,1,5.03,n2o_nmol,29.470754800807878,18.901932389483676,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,2,3,1,5.03,ch4_nmol,1425.348064358308,19.433804030449892,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,2,3,4,30.02,ch4_nmol,1638.885998887026,247.54709158200558,JUMP->LEVEL_OUTLIER(z=14.48),1
221019,UP,2,3,4,30.02,n2o_nmol,525.0436508165031,246.9869096564375,LEVEL_OUTLIER_MULTI(z≥3),1
221019,UP,2,4,0,0.4,n2o_nmol,501.84854512572207,NA,LEVEL_OUTLIER_MULTI(z≥3),1
221019,SW,1,2,2,10.02,ch4_nmol,1259.3117608525597,-23.472217475795333,LEVEL_OUTLIER_MULTI(z≥3),2
221019,UP,1,2,1,5,ch4_nmol,887.8396191781518,-573.1779056403774,LEVEL_OUTLIER_MULTI(z≥3),2
221019,UP,1,2,1,5,co2_umol,171.61794424433484,-125.85563024082754,LEVEL_OUTLIER_MULTI(z≥3),2
221019,UP,1,3,0,0.58,ch4_nmol,1477.0575676436856,NA,LEVEL_OUTLIER_MULTI(z≥3),2
221019,UP,1,3,4,30.02,n2o_nmol,13.954721372928564,3.525793963904823,LEVEL_OUTLIER_MULTI(z≥3),2
221019,UP,2,3,3,20.02,n2o_nmol,278.05674116006566,240.6778332221122,JUMP->LEVEL_OUTLIER(z=39.28),2
221019,UP,2,4,3,20,n2o_nmol,445.3776640883585,-11.933114628527733,LEVEL_OUTLIER_MULTI(z≥3),2
