row,date_collected,timepoint,gc_run_date,filename,chamber,co2_height,ch4_height,n2o_height
75,2023-07-18,T3,2023-08-28,07182023_075,UP 2-2,1256360,5647,3965
76,2023-07-18,T3,2023-08-28,07182023_076,UP 2-3,1020100,2228,4005
77,2023-07-18,T3,2023-08-28,07182023_077,UP 2-4,1245099,2271,3920
78,2023-07-18,STD,2023-08-28,07182023_078,STD,970628,10488,12320
79,2023-07-18,T4,2023-08-28,07182023_079,SW 1-1,1517805,2223,4076
80,2023-07-18,T4,2023-08-28,07182023_080,SW 1-2,1388616,5425,4114
81,2023-07-18,T4,2023-08-28,07182023_081,SW 1-3,1357227,2227,4020
82,2023-07-18,T4,2023-08-28,07182023_082,SW 1-4,1241827,2272,3920
83,2023-07-18,T4,2023-08-28,07182023_083,UP 1-1,1947671,5520,3960
84,2023-07-18,T4,2023-08-28,07182023_084,UP 1-2,1603073,2051,3854
85,2023-07-18,T4,2023-08-28,07182023_085,UP 1-3,1808583,2020,3965
86,2023-07-18,T4,2023-08-28,07182023_086,UP 1-4,1623565,5390,3852
87,2023-07-18,STD,2023-08-28,07182023_087,STD,996576,9823,12051
88,2023-07-18,T4,2023-08-28,07182023_088,SW 2-1,1959614,2206,3793
89,2023-07-18,T4,2023-08-28,07182023_089,SW 2-2,1471903,2119,3893
90,2023-07-18,T4,2023-08-28,07182023_090,SW 2-3,1588148,5935,3915
91,2023-07-18,T4,2023-08-28,07182023_091,SW 2-4,1715571,3095,3746
92,2023-07-18,T4,2023-08-28,07182023_092,UP 2-1,1705736,2175,3981
93,2023-07-18,T4,2023-08-28,07182023_093,UP 2-2,1538645,2168,3965
94,2023-07-18,T4,2023-08-28,07182023_094,UP 2-3,1227930,2245,3942
95,2023-07-18,T4,2023-08-28,07182023_095,UP 2-4,1529507,2248,3914
